signal_id,signal_class,mean_rank_ic,ic_information_ratio,positive_ic_share,mean_top_excess,bh_adjusted_p_value,maximum_symbol_contribution_share,missing_label_share,positive_regime_cell_count,failed_gate_count,failed_gate_ids,confirmed,external_replication_candidate,final_decision
REVERSAL_1BAR_VOL_NORMALIZED,CONFIRMATORY_NOVEL,-0.0002432446658134,-0.0011118758828311,0.4958791208791209,-0.0010354436183007,1.0,0.082914974897629,0.0,9,6,mean_ic|ic_ir|positive_ic_share|top_excess|fold_top|bh,False,False,NOT_CONFIRMED
REVERSAL_3BAR_VOL_NORMALIZED,CONFIRMATORY_NOVEL,0.0117938530978482,0.0515496628370652,0.5096153846153846,-0.0006747428082637,0.2483751624837516,0.1368818169652309,0.0,13,7,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|bh,False,False,NOT_CONFIRMED
REVERSAL_6BAR_VOL_NORMALIZED,CONFIRMATORY_NOVEL,0.0273769912070214,0.120007720961954,0.5425824175824175,-5.7182047165311054e-05,0.0011248875112488,0.0798717334329386,0.0,14,5,ic_ir|positive_ic_share|top_excess|fold_top|grid_top,False,False,NOT_CONFIRMED
DISTANCE_FROM_EMA20_ATR_4H,CONFIRMATORY_NOVEL,0.0428625865959985,0.1872987106155932,0.5755494505494505,-1.4919387615336825e-05,0.0007499250074992,0.1186346631380807,0.0,14,3,ic_ir|top_excess|grid_top,False,False,NOT_CONFIRMED
RETURN_6BAR,CONFIRMATORY_NOVEL,-0.0371835370963566,-0.1479233681697951,0.4244505494505494,-0.0006308025961982,1.0,0.0910214539403617,0.0,0,10,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|grid_top|bh|regime,False,False,NOT_CONFIRMED
RETURN_18BAR,CONFIRMATORY_NOVEL,-0.0484989093752063,-0.1923957673985661,0.4230769230769231,-0.0002516989542986,1.0,0.0677260223200387,0.0,0,10,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|grid_top|bh|regime,False,False,NOT_CONFIRMED
RETURN_42BAR,CONFIRMATORY_NOVEL,-0.0557367047950438,-0.2253029424559089,0.3832417582417582,0.0006859334993279,1.0,0.0905024237169586,0.0,0,7,mean_ic|ic_ir|positive_ic_share|fold_ic|grid_ic|bh|regime,False,False,NOT_CONFIRMED
XSM_18BAR_SKIP_1BAR,CONFIRMATORY_NOVEL,-0.0459301558459003,-0.1836886186647884,0.4093406593406593,0.0002274695285333,1.0,0.0640996808225501,0.0,0,7,mean_ic|ic_ir|positive_ic_share|fold_ic|grid_ic|bh|regime,False,False,NOT_CONFIRMED
DONCHIAN_42_POSITION,CONFIRMATORY_NOVEL,-0.0249457890506075,-0.1164005973873769,0.4491758241758242,0.0001584460322041,1.0,0.0692534788949684,0.0,1,8,mean_ic|ic_ir|positive_ic_share|fold_ic|fold_top|grid_ic|bh|regime,False,False,NOT_CONFIRMED
PATH_EFFICIENCY_42BAR,CONFIRMATORY_NOVEL,-0.0488350823809577,-0.2171169177021802,0.4162087912087912,0.0002314462165626,1.0,0.0823476751323034,0.0,0,8,mean_ic|ic_ir|positive_ic_share|fold_ic|fold_top|grid_ic|bh|regime,False,False,NOT_CONFIRMED
VOLATILITY_CONTRACTION_BREAKOUT_4H,CONFIRMATORY_NOVEL,0.0042835518151686,0.0197546505287033,0.5338345864661654,0.0023017136940102,0.9886511348865114,0.1585978441479364,0.0,8,5,mean_ic|ic_ir|positive_ic_share|grid_ic|bh,False,False,NOT_CONFIRMED
QUOTE_TURNOVER_ACCELERATION_6_42,CONFIRMATORY_NOVEL,-0.0173863796200756,-0.08153083387118,0.4725274725274725,0.0007434350441957,1.0,0.079958644987589,0.0,1,7,mean_ic|ic_ir|positive_ic_share|fold_ic|grid_ic|bh|regime,False,False,NOT_CONFIRMED
PRICE_TURNOVER_CONFIRMATION_18,CONFIRMATORY_NOVEL,-0.0078678323444512,-0.0383028953069517,0.4752747252747252,0.000392399576836,1.0,0.1128042751511745,0.0,3,6,mean_ic|ic_ir|positive_ic_share|fold_ic|grid_ic|bh,False,False,NOT_CONFIRMED
LOW_REALIZED_VOLATILITY_42,POST_HOC_DIRECTIONAL_REPLICATION,0.0675649478245562,0.2140226166381488,0.5851648351648352,-0.000292521667382,0.0007499250074992,0.2083742801746284,0.0,15,3,top_excess|fold_top|grid_top,False,False,NOT_CONFIRMED
DRAWDOWN_RESILIENCE_42,POST_HOC_DIRECTIONAL_REPLICATION,0.0345575723408916,0.1110344933384501,0.5412087912087912,-7.09971869959775e-05,0.000999900009999,0.1542854948956524,0.0,14,5,ic_ir|positive_ic_share|top_excess|fold_top|grid_top,False,False,NOT_CONFIRMED
