source_id,schema,primary_key
OHLCV_4H,"symbol:str|source_exchange:str|source_symbol:str|bar_open_time:datetime64[us, UTC]|bar_close_time:datetime64[ms, UTC]|open:float64|high:float64|low:float64|close:float64|volume:float64",symbol|bar_open_time
OHLCV_8H,"symbol:str|source_exchange:str|bar_open_time:datetime64[us, UTC]|bar_close_time:datetime64[us, UTC]|open:float64|high:float64|low:float64|close:float64|volume:float64",symbol|bar_open_time
OHLCV_1D,"symbol:str|source_exchange:str|bar_open_time:datetime64[us, UTC]|bar_close_time:datetime64[us, UTC]|open:float64|high:float64|low:float64|close:float64|volume:float64",symbol|bar_open_time
AVAILABILITY,"symbol:str|exchange:str|tradable_from:datetime64[us, UTC]|tradable_until:datetime64[us, UTC]|listing_delay_hours:float64|delisting_advance_hours:float64|source_symbols:str|availability_basis:str|segment_id:float64|bar_count:float64",REGISTERED_NATIVE_KEY
PIT_MEMBERSHIP,"asset:str|day:str|source_timestamp:str|available_at:str|market_cap_usd:float64|canonical_asset:str|canonical_symbol:str|normalization_rule:str|stablecoin_excluded:bool|investable_identity:bool|raw_form_count:int64|canonical_source_asset:str|identity_overlay_rule:str|identity_excluded:bool|identity_exclusion_reason:float64|d0b_raw_form_count:int64|rebalance_time:datetime64[us, UTC]|market_cap_rank:int64|venue_data_eligible:bool|venue_rank:int64",REGISTERED_NATIVE_KEY
QUOTE_TURNOVER_4H,"venue_pair:str|bar_open_time:datetime64[ms, UTC]|bar_close_time:datetime64[us, UTC]|open:float64|high:float64|low:float64|close:float64|base_volume:float64|quote_turnover_usdt:float64",REGISTERED_NATIVE_KEY
