month,strategy_return,benchmark_return,observations,strategy_positive,target_met
2021-01,0.14101426869651434,0.18723435210491846,31,True,False
2021-02,0.041535306612054956,0.34549443880349684,28,True,False
2021-03,0.02324039239554332,0.2741052686362615,31,True,False
2021-04,0.06263782762704095,-0.08843903285870358,30,True,False
2021-05,-0.492459600795516,-0.33447601123259807,31,False,False
2021-06,-0.11367815291934569,0.007420520474464176,30,False,False
2021-07,-0.21653229128173257,0.17567511118413504,31,False,False
2021-08,0.3282765244704786,0.11284026415773662,31,True,True
2021-09,-0.13892946723931543,-0.11587875949852078,30,False,False
2021-10,0.10566956731741328,0.48917950063678384,31,True,False
2021-11,0.20069900484366676,-0.06593550493970657,30,True,False
2021-12,-0.3338717740567405,-0.18441466732667067,31,False,False
2022-01,-0.0688338779117541,-0.1960320357197427,31,False,False
2022-02,-0.005767794635223478,-0.004703721007578876,28,False,False
2022-03,0.11054206069007932,0.24824235480697054,31,True,False
2022-04,0.030854432424807676,-0.18003233681276265,30,True,False
2022-05,-0.3485825170466611,-0.17753766826019923,31,False,False
2022-06,-0.42902607830886885,-0.36593188140521815,30,False,False
2022-07,0.21038529049467902,0.174482272040702,31,True,False
2022-08,-0.2582498783148247,-0.16196310194135743,31,False,False
2022-09,-0.056694270496249755,-0.011156207091511328,30,False,False
2022-10,0.08081769898183055,0.053005319420480035,31,True,False
2022-11,0.1495581408037039,-0.2030212974319936,30,True,False
2022-12,-0.13890190517897738,0.01001873570489975,31,False,False
2023-01,0.42539165224183795,0.37482157806298466,31,True,True
2023-02,-0.06828959305949311,0.029070327764002757,28,False,False
2023-03,-0.1476726633208868,0.19311651270699515,31,False,False
2023-04,0.04588299004757812,0.04276157345464271,30,True,False
2023-05,-0.12130405226473995,-0.05242250051324171,31,False,False
2023-06,-0.00569797332665356,0.0994767800851446,30,False,False
2023-07,0.1758073432283167,-0.03844158062058245,31,True,False
2023-08,-0.020147712217655878,-0.06753465877458731,31,False,False
2023-09,-0.005708925957134681,-0.014329145452547709,30,False,False
2023-10,0.33511467855850885,0.2810760392124798,31,True,True
2023-11,-0.0741624894398063,0.09802892076522607,30,False,False
2023-12,0.4027057169648154,0.11339950175548008,31,True,True
2024-01,0.01569171417289117,0.01893207799664931,31,True,False
2024-02,0.49110870681286145,0.4537704368318225,29,True,True
2024-03,1.0590664375370098,0.11438786346882912,31,True,True
2024-04,-0.09012059287187191,-0.08209035674398368,30,False,False
2024-05,0.10479104297537556,0.07036038321447946,31,True,False
2024-06,-0.2632375885402698,-0.10780653372931703,30,False,False
2024-07,0.06696365092048695,0.08536159425161705,31,True,False
2024-08,-0.26799844567472686,-0.10688655956053628,31,False,False
2024-09,0.21448255600264066,0.10966759705658435,30,True,False
2024-10,-0.1591435174798923,0.10286289216134659,31,False,False
2024-11,0.6063050200200946,0.347117170912951,30,True,True
2024-12,-0.2624549455894618,-0.047833938722322,31,False,False
