kucoin_canonical_symbol,kucoin_pair,binance_usdt_pair,mapping_basis,notes,first_binance_bar,last_binance_bar,download_status,coverage_status,parquet_path,parquet_sha256
CRO,CRO-USDT,CROUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,,,NO_VERIFIED_ARCHIVE,UNAVAILABLE,,
CRV,CRV-USDT,CRVUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2021-01-01 00:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\CRVUSDT-4h-2021-2024.parquet,3676d3d3e7b7ecde530cdfbef1c2c0ecae99f2b557d847c3beee6ba3a99f940b
DASH,DASH-USDT,DASHUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2021-01-01 00:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\DASHUSDT-4h-2021-2024.parquet,adcb0452e00d565d55fbaf0abea401acd874ff3a05b3862410af4204aa4ae492
DOGE,DOGE-USDT,DOGEUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2021-01-01 00:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\DOGEUSDT-4h-2021-2024.parquet,5bfd1ee2c784c3938e123f93e10bded03317a488b428877cfe26e2e67e692a9e
DOT,DOT-USDT,DOTUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2021-01-01 00:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\DOTUSDT-4h-2021-2024.parquet,faf70752d0306a6effa2e45f1125b36d7e34dbd535fe79f1ba5395f2231bd997
ETC,ETC-USDT,ETCUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2021-01-01 00:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\ETCUSDT-4h-2021-2024.parquet,d09b53d6abeea68b8bc1516e5a83f62413fcd943095e0a697f7a3e8e9a9ea40c
ETH,ETH-USDT,ETHUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2021-01-01 00:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\ETHUSDT-4h-2021-2024.parquet,621cd5a3d47a340c2e2353df6f42d401b3c0ecc3c3c0cf5c071dae503725ac74
FLOW,FLOW-USDT,FLOWUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2021-07-30 12:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\FLOWUSDT-4h-2021-2024.parquet,497a9202ae90ed6faf688f4b59ddff3892087af0c1bbfd45842f36fd93901405
FTT,FTT-USDT,FTTUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2021-01-01 00:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\FTTUSDT-4h-2021-2024.parquet,0155cc3e9e5781a023cc037e3f61544d77b3948e8430e1cbe0cfe7630f6b4b59
ICP,ICP-USDT,ICPUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2021-05-11 00:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\ICPUSDT-4h-2021-2024.parquet,1c641468bfdd311990cf58ed3a091dac546bbfa1c484ec3cca13193f110b7cab
LDO,LDO-USDT,LDOUSDT,CANONICAL_SYMBOL_MATCH,No economic identities are merged,2022-05-09 08:00:00+00:00,2024-12-31 23:59:59.999000+00:00,SOURCE_READY,PARTIAL_OR_COMPLETE,data\research\rd07\binance-spot-4h\LDOUSDT-4h-2021-2024.parquet,361f4305f027ba407050bc9af9b44e65f13854b8f99890f1f933c0afab3d8c55
