universe_mode,cost_mode,fold_id,original_vs_generated_control_exact,original_final_cash,generated_final_cash,original_trade_count,generated_trade_count
FIXED_SURVIVOR_30,ZERO_COST,WF01,True,56565.230459581035,56565.230459581035,29,29
FIXED_SURVIVOR_30,ZERO_COST,WF02,True,220633.37625800841,220633.37625800841,59,59
FIXED_SURVIVOR_30,ZERO_COST,WF03,True,338010.9520029098,338010.9520029098,59,59
PIT_UNIVERSE,ZERO_COST,WF01,True,41126.52520414399,41126.52520414399,33,33
PIT_UNIVERSE,ZERO_COST,WF02,True,127828.0839167634,127828.0839167634,57,57
PIT_UNIVERSE,ZERO_COST,WF03,True,113347.32668629232,113347.32668629232,63,63
FIXED_SURVIVOR_30,BASE_COST,WF01,True,55151.60476965138,55151.60476965138,29,29
FIXED_SURVIVOR_30,BASE_COST,WF02,True,208940.51609172765,208940.51609172765,59,59
FIXED_SURVIVOR_30,BASE_COST,WF03,True,319883.50111110136,319883.50111110136,59,59
PIT_UNIVERSE,BASE_COST,WF01,True,39951.39673977943,39951.39673977943,33,33
PIT_UNIVERSE,BASE_COST,WF02,True,121246.36636539828,121246.36636539828,57,57
PIT_UNIVERSE,BASE_COST,WF03,True,107136.57909523828,107136.57909523828,63,63
FIXED_SURVIVOR_30,STRESS_0_4_PERCENT,WF01,True,53770.37493228823,53770.37493228823,29,29
FIXED_SURVIVOR_30,STRESS_0_4_PERCENT,WF02,True,197841.40724619752,197841.40724619752,59,59
FIXED_SURVIVOR_30,STRESS_0_4_PERCENT,WF03,True,302696.876566996,302696.876566996,59,59
PIT_UNIVERSE,STRESS_0_4_PERCENT,WF01,True,38807.44931309033,38807.44931309033,33,33
PIT_UNIVERSE,STRESS_0_4_PERCENT,WF02,True,114988.55064904303,114988.55064904303,57,57
PIT_UNIVERSE,STRESS_0_4_PERCENT,WF03,True,101251.49282802951,101251.49282802951,63,63
