fold_id,train_start,train_end,validation_start,validation_end,purge_embargo_days,membership_coverage,feature_warmup_coverage,label_horizon_coverage,eligible_decision_count_estimate,symbols_available,critical_source_coverage,feasible,blocking_reason
WF01,2021-01-01,2021-12-31,2022-01-01,2022-12-31,28,MISSING_CAUSAL_2021,AVAILABLE_FROM_2021_OHLCV,CONTRACT_ONLY_NOT_COMPUTED,52,66,FAIL,False,PIT_MEMBERSHIP_2021_NOT_REGISTERED
WF02,2021-01-01,2022-12-31,2023-01-01,2023-12-31,28,COVERED_VALIDATION_ONLY,AVAILABLE_FROM_2021_OHLCV,CONTRACT_ONLY_NOT_COMPUTED,52,66,PARTIAL,False,GLOBAL_P1_BLOCKED_BY_WF01
WF03,2021-01-01,2023-12-31,2024-01-01,2024-12-31,28,COVERED_VALIDATION_ONLY,AVAILABLE_FROM_2021_OHLCV,CONTRACT_ONLY_NOT_COMPUTED,53,66,PARTIAL,False,GLOBAL_P1_BLOCKED_BY_WF01
