entry_weekday,trade_count,winning_trade_count,losing_trade_count,net_pnl,mean_return,mean_mfe,mean_mae,worst_mae,fold_count
MONDAY,62,22,40,-12978.478866205363,-0.003617635511803421,0.22726096322497785,-0.1614032456569261,-0.444234255537164,3
TUESDAY,52,16,36,-23727.21139003878,-0.03047579953503761,0.19094490195362576,-0.14037780547472797,-0.4514224369296833,3
WEDNESDAY,18,8,10,970.2246040190361,-0.013571426496735676,0.11525338967203139,-0.09716263131160824,-0.36749575466986306,3
THURSDAY,13,6,7,6868.7595253312875,0.029647710499749954,0.17035458263834566,-0.09563780118211213,-0.16614542611415173,3
FRIDAY,5,2,3,-2805.8866134803097,-0.012458797170896537,0.12574917846763448,-0.09836555469240653,-0.19647463820213318,1
SATURDAY,3,2,1,6.9349407901680955,-0.0002916939038900221,0.03074015028374477,-0.017994347563040414,-0.02438433808765106,2
SUNDAY,0,0,0,0,,,,,0
