signal_id,mean_rank_ic,ic_information_ratio,positive_ic_period_share,mean_top_excess,positive_fold_ic_count,positive_fold_top_excess_count,adjusted_p_value,missing_label_numerator,missing_label_denominator,missing_label_share,positive_regime_cell_count,mean_rank_ic_gate,ic_information_ratio_gate,positive_ic_share_gate,positive_fold_ic_gate,top_excess_gate,positive_fold_top_excess_gate,concentration_gate,missing_label_gate,adjusted_p_value_gate,positive_regime_cells_gate,failed_gate_count,failed_gate_ids,confirmed,near_miss
XSM_RETURN_7D,-0.022564754489114887,-0.0843305109348688,0.4423076923076923,0.005123764393559444,1,2,0.9998000199980002,0,3119,0.0,1,False,False,False,False,True,True,True,True,False,False,6,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|adjusted_p_value_gate|positive_regime_cells_gate,False,False
XSM_RETURN_28D,-0.04609502010781211,-0.18743647394591006,0.38461538461538464,-0.002011116652697995,0,1,0.9998000199980002,0,3116,0.0,3,False,False,False,False,False,False,True,True,False,True,7,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
XSM_RETURN_84D,-0.05024890293244019,-0.1852824168947613,0.4423076923076923,-0.004381488863721205,0,0,0.9998000199980002,0,3108,0.0,0,False,False,False,False,False,False,True,True,False,False,8,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate|positive_regime_cells_gate,False,False
XSM_28D_SKIP_1D,-0.04247973939297632,-0.1732616432854677,0.40384615384615385,-0.004636530790487385,0,1,0.9998000199980002,0,3116,0.0,4,False,False,False,False,False,False,True,True,False,True,7,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
TSM_RETURN_28D,-0.04609502010781211,-0.18743647394591006,0.38461538461538464,-0.002011116652697995,0,1,0.9998000199980002,0,3116,0.0,3,False,False,False,False,False,False,True,True,False,True,7,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
TSM_RETURN_84D,-0.05024890293244019,-0.1852824168947613,0.4423076923076923,-0.004381488863721205,0,0,0.9998000199980002,0,3108,0.0,0,False,False,False,False,False,False,True,True,False,False,8,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate|positive_regime_cells_gate,False,False
EMA_20_50_TREND_STATE,-0.029566276326565537,-0.1329013624965617,0.49038461538461536,-0.008831003110456141,1,0,0.9998000199980002,0,3113,0.0,4,False,False,False,False,False,False,True,True,False,True,7,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
MULTI_HORIZON_TREND_AGREEMENT,-0.03969076138679398,-0.17148600807532954,0.49038461538461536,0.0015679378170460638,0,1,0.9998000199980002,0,3108,0.0,0,False,False,False,False,True,False,True,True,False,False,7,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|positive_fold_ic_gate|positive_fold_top_excess_gate|adjusted_p_value_gate|positive_regime_cells_gate,False,False
REVERSAL_1D_VOL_NORMALIZED,0.02907931890134337,0.1162307093352548,0.5961538461538461,0.000721239840297217,3,2,0.6439070378676418,0,3120,0.0,13,True,False,True,True,True,True,True,True,False,True,2,ic_information_ratio_gate|adjusted_p_value_gate,False,True
REVERSAL_3D_VOL_NORMALIZED,0.01658069405566625,0.06862423684793605,0.5480769230769231,-0.00510410280720385,3,1,0.8758790787587908,0,3119,0.0,10,False,False,False,True,False,False,True,True,False,True,6,mean_rank_ic_gate|ic_information_ratio_gate|positive_ic_share_gate|top_excess_gate|positive_fold_top_excess_gate|adjusted_p_value_gate,False,False
