variant_id,cost_mode,extra_turnover_cost,compounded_return
MD01-M01,ZERO_COST,0.004,1.6946039772974961
MD01-M01,BASE_COST,0.004,1.3201686187578825
MD01-M01,STRESS_0_4_PERCENT,0.004,0.9972025741989026
MD01-M02,ZERO_COST,0.004,0.17835849779039137
MD01-M02,BASE_COST,0.004,0.07604864523011945
MD01-M02,STRESS_0_4_PERCENT,0.004,-0.0173972098041435
MD01-M03,ZERO_COST,0.004,1.7808123596431629
MD01-M03,BASE_COST,0.004,1.397776569540524
MD01-M03,STRESS_0_4_PERCENT,0.004,1.066470910333074
MD01-M04,ZERO_COST,0.004,-0.25879272677377807
MD01-M04,BASE_COST,0.004,-0.3238036795875988
MD01-M04,STRESS_0_4_PERCENT,0.004,-0.3833278522707737
MD01-M05,ZERO_COST,0.004,2.48559896440614
MD01-M05,BASE_COST,0.004,2.0332003938229994
MD01-M05,STRESS_0_4_PERCENT,0.004,1.6383686615337245
MD01-M06,ZERO_COST,0.004,-0.34343742947528677
MD01-M06,BASE_COST,0.004,-0.39497748744712147
MD01-M06,STRESS_0_4_PERCENT,0.004,-0.442633609752077
