fold_id,tuesday_signal_count,tuesday_to_friday_observation_count,tuesday_to_friday_mean_return,tuesday_mean_return_positive
WF01,9,9,-0.04741825729092243,False
WF02,19,19,0.021194664560569048,True
WF03,24,23,0.028253861039950912,True
