treatment_mode,fold_id,rebalance_time,pit_market_cap_universe_count,liquidity_eligible_count,final_rankable_count,selected_count,selected_symbols,daily_market_regime,excluded_symbols_by_reason
PIT_CONTROL,WF01,2022-01-03T00:00:00+00:00,30,49,30,0,,CRISIS,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SNX"",""SOL"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZEC"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-01-10T00:00:00+00:00,30,49,30,0,,CRISIS,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BAT"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SNX"",""SOL"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-01-17T00:00:00+00:00,30,49,30,0,,CRISIS,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BAT"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SNX"",""SOL"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-01-24T00:00:00+00:00,30,49,30,0,,CRISIS,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SNX"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-01-31T00:00:00+00:00,30,49,30,0,,CRISIS,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZEC"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-02-07T00:00:00+00:00,30,49,30,3,"FTT,MANA,SNX",RECOVERY,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""COMP"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-02-14T00:00:00+00:00,30,49,30,3,"CRO,ETC,XRP",NEUTRAL,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SNX"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-02-21T00:00:00+00:00,30,49,30,1,XRP,CRISIS,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SNX"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-02-28T00:00:00+00:00,30,49,30,1,XRP,CRISIS,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SNX"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-03-07T00:00:00+00:00,30,49,30,1,XRP,CRISIS,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SNX"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-03-14T00:00:00+00:00,30,49,30,0,,CRISIS,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""LRC"",""NEAR"",""PAXG"",""SNX"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-03-21T00:00:00+00:00,30,49,30,3,"ETC,SNX,ZEC",NEUTRAL,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""COMP"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""LRC"",""NEAR"",""PAXG"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-03-28T00:00:00+00:00,30,49,30,3,"ETC,LRC,ZEC",UPTREND,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BNB"",""COMP"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SNX"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-04-04T00:00:00+00:00,30,49,30,3,"AAVE,ETC,SNX",UPTREND,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BAT"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-04-11T00:00:00+00:00,30,49,30,3,"AAVE,ETC,LRC",NEUTRAL,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BAT"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
PIT_CONTROL,WF01,2022-04-18T00:00:00+00:00,30,49,30,3,"COMP,DOGE,XMR",DOWNTREND,"{""OUTSIDE_PIT_MARKET_CAP_TOP30"":[""BAL"",""BAT"",""BNB"",""DASH"",""DEXE"",""DGB"",""FLOW"",""GAS"",""LPT"",""NEAR"",""PAXG"",""SOL"",""SUSHI"",""TRX"",""UMA"",""VET"",""XEM"",""YFI"",""ZIL""],""VENUE_UNAVAILABLE"":[""CVC"",""DCR"",""ENA"",""GRAM"",""HYPE"",""ICX"",""KNC"",""LDO"",""MATIC"",""ONDO"",""PEPE"",""QTUM"",""SEI"",""SUI"",""SYN"",""TAO"",""ZRX""]}"
