month,strategy_return,benchmark_return,observations,strategy_positive,target_met
2021-01,0.0,0.18723435210491846,31,False,False
2021-02,-0.08465228523060708,0.34549443880349684,28,False,False
2021-03,0.07806713988731362,0.2741052686362615,31,True,False
2021-04,1.0543150933140133,-0.08843903285870358,30,True,True
2021-05,0.0,-0.33447601123259807,31,False,False
2021-06,0.0,0.007420520474464176,30,False,False
2021-07,0.11439660819455066,0.17567511118413504,31,True,False
2021-08,0.374379291120001,0.11284026415773662,31,True,True
2021-09,-0.2222614947690601,-0.11587875949852078,30,False,False
2021-10,-0.09827821205943044,0.48917950063678384,31,False,False
2021-11,-0.12328164649331408,-0.06593550493970657,30,False,False
2021-12,0.0,-0.18441466732667067,31,False,False
2022-01,-0.3254602909133647,-0.1960320357197427,31,False,False
2022-02,-0.23000837913555205,-0.004703721007578876,28,False,False
2022-03,0.23437768386030378,0.24824235480697054,31,True,False
2022-04,-0.1897660114902595,-0.18003233681276265,30,False,False
2022-05,0.0,-0.17753766826019923,31,False,False
2022-06,0.0,-0.36593188140521815,30,False,False
2022-07,0.14215303821791347,0.174482272040702,31,True,False
2022-08,-0.17543328851254025,-0.16196310194135743,31,False,False
2022-09,-0.18395404829047546,-0.011156207091511328,30,False,False
2022-10,-0.004090700757914734,0.053005319420480035,31,False,False
2022-11,-0.04894838729790019,-0.2030212974319936,30,False,False
2022-12,0.0,0.01001873570489975,31,False,False
2023-01,0.23815296187163826,0.37482157806298466,31,True,False
2023-02,-0.07808233018241029,0.029070327764002757,28,False,False
2023-03,0.0,0.19311651270699515,31,False,False
2023-04,-0.11591016935591691,0.04276157345464271,30,False,False
2023-05,0.1108220409733236,-0.05242250051324171,31,True,False
2023-06,-0.07186410121782316,0.0994767800851446,30,False,False
2023-07,-0.058189655676269436,-0.03844158062058245,31,False,False
2023-08,-0.21935365898990056,-0.06753465877458731,31,False,False
2023-09,0.09452588179718169,-0.014329145452547709,30,True,False
2023-10,-0.05698645017371462,0.2810760392124798,31,False,False
2023-11,-0.08146004395109574,0.09802892076522607,30,False,False
2023-12,-0.10739544379469035,0.11339950175548008,31,False,False
2024-01,-0.0444238403674172,0.01893207799664931,31,False,False
2024-02,0.18640780092294484,0.4537704368318225,29,True,False
2024-03,0.0031584458288969053,0.11438786346882912,31,True,False
2024-04,0.0,-0.08209035674398368,30,False,False
2024-05,0.2164320069361796,0.07036038321447946,31,True,False
2024-06,-0.019425985255859035,-0.10780653372931703,30,False,False
2024-07,-0.03119407879957925,0.08536159425161705,31,False,False
2024-08,-0.30908657553871965,-0.10688655956053628,31,False,False
2024-09,0.7334948092172344,0.10966759705658435,30,True,True
2024-10,-0.008710302908687018,0.10286289216134659,31,False,False
2024-11,-0.051304336407466344,0.347117170912951,30,False,False
2024-12,-0.0945919154721353,-0.047833938722322,31,False,False
