signal_id,label_id,evaluable_count,spearman,pearson,positive_future_return_share_top,mean_future_return_top,unconditional_mean_return,top_temporal_quintile_excess,bottom_temporal_quintile_return,top_minus_bottom_spread
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,BTC_SPOT_FORWARD_7D_RETURN,722,0.1032360318016336,0.12751294934095533,0.6666666666666666,0.02989051250060376,0.019408897566329426,0.010481614934274335,0.011509000217941519,0.018381512282662243
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,BINANCE_MATCHED_EQUAL_WEIGHT_FORWARD_72H_RETURN,726,0.1276417684844983,0.13691381589337265,0.6413793103448275,0.017961469513441474,0.006026051750425865,0.01193541776301561,0.000300007214395681,0.017661462299045794
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,BINANCE_MATCHED_EQUAL_WEIGHT_FORWARD_7D_RETURN,722,0.11771482977996284,0.10830256436884783,0.6875,0.025114741495624815,0.014563873590883729,0.010550867904741086,0.007999737200905748,0.017115004294719065
MKT_BN_AGG_TAKER_IMBALANCE_6,PIT_EQUAL_WEIGHT_FORWARD_72H_RETURN,726,0.042754543925758996,0.04690363206141232,0.5241379310344828,0.00845618535784054,0.005908829871436527,0.002547355486404013,-0.0009626746036046489,0.009418859961445189
MKT_BN_AGG_TAKER_IMBALANCE_6,PIT_EQUAL_WEIGHT_FORWARD_7D_RETURN,722,-0.010277768580178452,0.0026257779069516975,0.5138888888888888,0.0171512509902514,0.014362814927692005,0.002788436062559397,0.009691574837994321,0.00745967615225708
MKT_BN_AGG_TAKER_IMBALANCE_6,BTC_SPOT_FORWARD_72H_RETURN,726,0.044497297771930934,0.06486294339952914,0.5517241379310345,0.01211087562581865,0.008095243072685401,0.004015632553133249,0.0025706271776691075,0.009540248448149543
MKT_BN_AGG_TAKER_IMBALANCE_6,BTC_SPOT_FORWARD_7D_RETURN,722,0.019911467850075408,0.023020867249686917,0.5694444444444444,0.02383430927997597,0.019408897566329426,0.004425411713646545,0.011906483061865623,0.011927826218110348
MKT_BN_AGG_TAKER_IMBALANCE_6,BINANCE_MATCHED_EQUAL_WEIGHT_FORWARD_72H_RETURN,726,0.04305007794850969,0.045605144538090156,0.5379310344827586,0.008220474649849265,0.006026051750425865,0.0021944228994234,-0.0006541485077257683,0.008874623157575033
MKT_BN_AGG_TAKER_IMBALANCE_6,BINANCE_MATCHED_EQUAL_WEIGHT_FORWARD_7D_RETURN,722,-0.009905301676749901,0.0023056238847505234,0.5138888888888888,0.01691695303166163,0.014563873590883729,0.0023530794407779013,0.01004769440140366,0.00686925863025797
MKT_BN_KC_RETURN_DIVERGENCE_6,PIT_EQUAL_WEIGHT_FORWARD_72H_RETURN,726,0.026307498540792923,0.02918165836673781,0.5103448275862069,-0.0004337733638846689,0.005908829871436527,-0.006342603235321196,-0.0013091274290532482,0.0008753540651685794
MKT_BN_KC_RETURN_DIVERGENCE_6,PIT_EQUAL_WEIGHT_FORWARD_7D_RETURN,722,0.004439934937218586,0.009952999141749158,0.4791666666666667,0.0027777665754313047,0.014362814927692005,-0.0115850483522607,0.010682366723321091,-0.007904600147889787
MKT_BN_KC_RETURN_DIVERGENCE_6,BTC_SPOT_FORWARD_72H_RETURN,726,0.023830331358585487,0.03132954872201951,0.5310344827586206,0.007426284727271239,0.008095243072685401,-0.0006689583454141624,0.005617305295519523,0.0018089794317517156
MKT_BN_KC_RETURN_DIVERGENCE_6,BTC_SPOT_FORWARD_7D_RETURN,722,0.006310718669342379,0.018854653208664484,0.5416666666666666,0.014226268242317418,0.019408897566329426,-0.0051826293240120076,0.017555060185748466,-0.003328791943431048
MKT_BN_KC_RETURN_DIVERGENCE_6,BINANCE_MATCHED_EQUAL_WEIGHT_FORWARD_72H_RETURN,726,0.023467499371825563,0.0280695756709392,0.503448275862069,-0.0006568057171387966,0.006026051750425865,-0.006682857467564661,-0.0013102966958463097,0.0006534909787075131
MKT_BN_KC_RETURN_DIVERGENCE_6,BINANCE_MATCHED_EQUAL_WEIGHT_FORWARD_7D_RETURN,722,0.0017903886544833982,0.00798113640254272,0.4791666666666667,0.0019941055223976043,0.014563873590883729,-0.012569768068486125,0.010417723163546055,-0.008423617641148452
MKT_LOW_REALIZED_VOLATILITY_42,PIT_EQUAL_WEIGHT_FORWARD_72H_RETURN,726,-0.06268493318223174,-0.11693912868057961,0.5379310344827586,0.002250806938867846,0.005908829871436527,-0.003658022932568681,0.016786608049915087,-0.014535801111047242
MKT_LOW_REALIZED_VOLATILITY_42,PIT_EQUAL_WEIGHT_FORWARD_7D_RETURN,722,-0.06978338970739906,-0.10428310597921782,0.5416666666666666,0.007079336346481238,0.014362814927692005,-0.0072834785812107665,0.03621543473635018,-0.029136098389868942
MKT_LOW_REALIZED_VOLATILITY_42,BTC_SPOT_FORWARD_72H_RETURN,726,0.02290305573053845,-0.02493890078207612,0.6,0.012979161649041542,0.008095243072685401,0.004883918576356141,0.008144314865882806,0.004834846783158736
MKT_LOW_REALIZED_VOLATILITY_42,BTC_SPOT_FORWARD_7D_RETURN,722,0.024581747517975348,0.012366091548928263,0.6180555555555556,0.026813629483868843,0.019408897566329426,0.007404731917539417,0.018366288185828323,0.00844734129804052
MKT_LOW_REALIZED_VOLATILITY_42,BINANCE_MATCHED_EQUAL_WEIGHT_FORWARD_72H_RETURN,726,-0.06575959715300761,-0.12255828463087608,0.5379310344827586,0.002150332791158729,0.006026051750425865,-0.003875718959267136,0.018044626219770196,-0.015894293428611466
MKT_LOW_REALIZED_VOLATILITY_42,BINANCE_MATCHED_EQUAL_WEIGHT_FORWARD_7D_RETURN,722,-0.07697995277080129,-0.11500363350236716,0.5486111111111112,0.007071989087475746,0.014563873590883729,-0.007491884503407983,0.038826463940937056,-0.031754474853461306
