canonical_symbol,venue_pair,status,endpoint_kind,row_count,cache_path,error
CRO,CRO-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/CRO-USDT/4h.parquet,
MATIC,MATIC-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
MATIC,POL-USDT,ACQUIRED,legacy,2512,data/research/rd04/venue-expansion/raw/POL-USDT/4h.parquet,
XVG,XVG-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
FTT,FTT-USDT,ACQUIRED,legacy,7168,data/research/rd04/venue-expansion/raw/FTT-USDT/4h.parquet,
BCH,BCH-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/BCH-USDT/4h.parquet,
BCH,BCHABC-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
ICP,ICP-USDT,ACQUIRED,legacy,7984,data/research/rd04/venue-expansion/raw/ICP-USDT/4h.parquet,
ETC,ETC-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/ETC-USDT/4h.parquet,
LEO,LEO-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
QNT,QNT-USDT,ACQUIRED,legacy,8541,data/research/rd04/venue-expansion/raw/QNT-USDT/4h.parquet,
ALGO,ALGO-USDT,ACQUIRED,legacy,8766,data/research/rd04/venue-expansion/raw/ALGO-USDT/4h.parquet,
HT,HT-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
LDO,LDO-USDT,ACQUIRED,legacy,5446,data/research/rd04/venue-expansion/raw/LDO-USDT/4h.parquet,
GNO,GNO-USDT,SOURCE_REQUEST_INCOMPLETE,,0,,uta:2022-04-26T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2022-12-22T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2023-08-19T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-04-15T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100 | uta:2024-12-11T00:00:00+00:00:PitDataExpansionError:KuCoin response code is not successful: 400100
CRV,CRV-USDT,ACQUIRED,legacy,8644,data/research/rd04/venue-expansion/raw/CRV-USDT/4h.parquet,
MANA,MANA-USDT,ACQUIRED,legacy,8314,data/research/rd04/venue-expansion/raw/MANA-USDT/4h.parquet,
