symbol,bar_count,flat_ohlc_share,zero_base_volume_share,zero_quote_turnover_share,longest_unchanged_close_run,largest_robust_return_zscore,unexpected_gap_count,first_eligible_time,last_eligible_time,quote_turnover_coverage,symbol_excluded
1INCH,8766,0.0,0.0,0.0,1,22.527484467937274,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
AAVE,8766,0.0,0.0,0.0,1,15.891293416632436,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ADA,8766,0.0,0.0,0.0,1,13.154498902079412,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
ALGO,8766,0.0,0.0,0.0,3,12.641108826199687,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
AVAX,8386,0.0,0.0,0.0,1,16.207557469030213,0,2021-03-05 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
BAL,7294,0.0061694543460378394,0.0021935837674801205,0.0021935837674801205,2,16.53613958239888,0,2021-09-03 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
BAT,8538,0.0,0.0,0.0,2,18.78169682926283,0,2021-02-08 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
BCH,8766,0.0,0.0,0.0,1,20.045419933070217,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
BNB,8766,0.0,0.0,0.0,1,20.256761525288137,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
BTC,8766,0.0,0.0,0.0,1,18.475700268800335,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
COMP,8766,0.0,0.0,0.0,2,17.375507546382355,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
CRO,8766,0.0,0.0,0.0,2,51.40434303284229,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
CRV,8644,0.0,0.0,0.0,2,15.837488037296074,0,2021-01-21 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
CVC,323,0.0,0.0,0.0,1,6.0222421335107255,0,2024-11-08 04:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
DASH,8766,0.0,0.0,0.0,2,19.8307267784716,0,2021-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
DCR,2434,0.018898931799506986,0.008216926869350863,0.008216926869350863,2,24.60006871800143,0,2023-11-22 08:00:00+00:00,2025-01-01 00:00:00+00:00,1.0,False
