symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason
AAVE/USDT,2021-01-23 00:00:00+00:00,2021-02-16 00:00:00+00:00,190.169,455.889,1.3877134750266094,24,DAILY_TRAILING_STOP
SNX/USDT,2021-01-02 00:00:00+00:00,2021-02-23 00:00:00+00:00,8.280186,20.988081,1.524616747197343,52,DAILY_TRAILING_STOP
UNI/USDT,2021-02-21 00:00:00+00:00,2021-02-23 00:00:00+00:00,28.933,27.7281,-0.0454702594948353,2,DAILY_TRAILING_STOP
UNI/USDT,2021-03-02 00:00:00+00:00,2021-03-25 00:00:00+00:00,25.6947,27.2649,0.056873911111331665,23,DAILY_TRAILING_STOP
BTC/USDT,2021-03-02 00:00:00+00:00,2021-03-26 00:00:00+00:00,49590.3,51301.7,0.03038099778406611,24,DAILY_TRAILING_STOP
TRX/USDT,2021-03-27 00:00:00+00:00,2021-04-07 00:00:00+00:00,0.064646,0.123956,0.9098036331507389,11,DAILY_TRAILING_STOP
ADA/USDT,2021-03-27 00:00:00+00:00,2021-04-08 00:00:00+00:00,1.2145,1.172922,-0.03809001511180998,12,DAILY_TRAILING_STOP
ZEC/USDT,2021-04-27 00:00:00+00:00,2021-05-14 00:00:00+00:00,227.022,296.017,0.298708034504064,17,DAILY_TRAILING_STOP
XRP/USDT,2021-05-06 00:00:00+00:00,2021-05-14 00:00:00+00:00,1.61293,1.36414,-0.15762349802079112,8,DAILY_TRAILING_STOP
ADA/USDT,2021-05-14 00:00:00+00:00,2021-05-20 00:00:00+00:00,1.928978,1.467041,-0.24250844286342532,6,DAILY_TRAILING_STOP
ZEC/USDT,2021-05-14 00:00:00+00:00,2021-05-20 00:00:00+00:00,296.017,146.17,-0.508182006351162,6,DAILY_TRAILING_STOP
XRP/USDT,2021-08-28 00:00:00+00:00,2021-09-08 00:00:00+00:00,1.19116,1.13001,-0.055123592098519025,11,DAILY_TRAILING_STOP
DOT/USDT,2021-08-28 00:00:00+00:00,2021-09-08 00:00:00+00:00,26.5295,27.9524,0.049428506864218846,11,DAILY_TRAILING_STOP
DOT/USDT,2021-09-12 00:00:00+00:00,2021-09-29 00:00:00+00:00,31.5654,26.3096,-0.16983242231409623,17,DAILY_TRAILING_STOP
AVAX/USDT,2021-09-11 00:00:00+00:00,2021-10-08 00:00:00+00:00,49.368,61.5,0.2407731935254429,27,DAILY_TRAILING_STOP
BTC/USDT,2021-10-01 00:00:00+00:00,2021-10-28 00:00:00+00:00,43817.2,58408.2,0.32767574224126883,27,DAILY_TRAILING_STOP
SOL/USDT,2021-11-14 00:00:00+00:00,2021-11-19 00:00:00+00:00,241.621,195.164,-0.1954966571795963,5,DAILY_TRAILING_STOP
