universe_mode,fold_id,entry_membership_role,alignment_tier,trade_count,net_pnl,mean_trade_pnl,win_rate,profit_factor
FIXED_SURVIVOR_30,WF01,COMMON_MEMBER,FOUR_HOUR_ONLY,1,565.6645508041421,565.6645508041421,1.0,
FIXED_SURVIVOR_30,WF01,COMMON_MEMBER,FULL,15,-35189.01304002764,-2345.9342026685094,0.26666666666666666,0.12277431726834065
FIXED_SURVIVOR_30,WF01,COMMON_MEMBER,MEDIUM,6,-4515.880500037498,-752.6467500062496,0.3333333333333333,0.07961754425054786
FIXED_SURVIVOR_30,WF01,REMOVED_SURVIVOR,FOUR_HOUR_ONLY,2,-695.4849814672414,-347.7424907336207,0.0,0.0
FIXED_SURVIVOR_30,WF01,REMOVED_SURVIVOR,FULL,4,-4953.857875841622,-1238.4644689604056,0.25,0.525998758917887
FIXED_SURVIVOR_30,WF01,REMOVED_SURVIVOR,MEDIUM,1,-59.82338377877316,-59.82338377877316,0.0,0.0
FIXED_SURVIVOR_30,WF02,COMMON_MEMBER,FULL,31,57269.93692890685,1847.4173202873178,0.4838709677419355,2.48823089641427
FIXED_SURVIVOR_30,WF02,COMMON_MEMBER,MEDIUM,4,-2370.030381028052,-592.507595257013,0.25,0.3712180593435461
FIXED_SURVIVOR_30,WF02,REMOVED_SURVIVOR,FOUR_HOUR_ONLY,1,-378.35784626344025,-378.35784626344025,0.0,0.0
FIXED_SURVIVOR_30,WF02,REMOVED_SURVIVOR,FULL,17,48963.37435482141,2880.198491460083,0.5294117647058824,2.4632999448973907
FIXED_SURVIVOR_30,WF02,REMOVED_SURVIVOR,MEDIUM,6,5455.593035290899,909.2655058818165,0.3333333333333333,3.1167912555032062
FIXED_SURVIVOR_30,WF03,COMMON_MEMBER,FULL,19,175738.79532462658,9249.410280243505,0.631578947368421,4.875338315771626
FIXED_SURVIVOR_30,WF03,COMMON_MEMBER,MEDIUM,2,-7013.627830213857,-3506.8139151069286,0.0,0.0
FIXED_SURVIVOR_30,WF03,REMOVED_SURVIVOR,FOUR_HOUR_ONLY,1,7571.491978654885,7571.491978654885,1.0,
FIXED_SURVIVOR_30,WF03,REMOVED_SURVIVOR,FULL,31,57623.4209586418,1858.820030923929,0.41935483870967744,1.7424510142448495
FIXED_SURVIVOR_30,WF03,REMOVED_SURVIVOR,MEDIUM,6,-14036.57932060801,-2339.429886768002,0.3333333333333333,0.21671613461073563
INTERSECTION_FIXED_AND_PIT,WF01,COMMON_MEMBER,FOUR_HOUR_ONLY,1,602.5710776029507,602.5710776029507,1.0,
INTERSECTION_FIXED_AND_PIT,WF01,COMMON_MEMBER,FULL,17,-38842.61962425709,-2284.859977897476,0.29411764705882354,0.11438762074392196
INTERSECTION_FIXED_AND_PIT,WF01,COMMON_MEMBER,MEDIUM,6,-3217.4492624679356,-536.2415437446559,0.5,0.3138094724377724
INTERSECTION_FIXED_AND_PIT,WF02,COMMON_MEMBER,FULL,42,41602.247758557656,990.529708537087,0.5476190476190477,1.9531175729470298
INTERSECTION_FIXED_AND_PIT,WF02,COMMON_MEMBER,MEDIUM,10,-3822.570598884786,-382.2570598884786,0.4,0.354420973845204
INTERSECTION_FIXED_AND_PIT,WF03,COMMON_MEMBER,FOUR_HOUR_ONLY,7,-484.76700619820224,-69.25242945688603,0.5714285714285714,0.5731846034343382
INTERSECTION_FIXED_AND_PIT,WF03,COMMON_MEMBER,FULL,34,47066.09840765319,1384.2970119897998,0.4117647058823529,1.8432834977827568
INTERSECTION_FIXED_AND_PIT,WF03,COMMON_MEMBER,MEDIUM,8,-4021.856870177801,-502.7321087722251,0.375,0.5702390134860413
PIT_UNIVERSE,WF01,COMMON_MEMBER,FOUR_HOUR_ONLY,1,441.895246417524,441.895246417524,1.0,
PIT_UNIVERSE,WF01,COMMON_MEMBER,FULL,9,-25603.0121722159,-2844.779130246211,0.0,0.0
PIT_UNIVERSE,WF01,COMMON_MEMBER,MEDIUM,5,-1435.8949160022014,-287.17898320044026,0.4,0.42501809757436476
PIT_UNIVERSE,WF01,PIT_ENTRANT,FOUR_HOUR_ONLY,2,-783.6322489761168,-391.8161244880584,0.0,0.0
PIT_UNIVERSE,WF01,PIT_ENTRANT,FULL,13,-25977.276990644386,-1998.2520762034144,0.23076923076923078,0.10237612026037723
PIT_UNIVERSE,WF01,PIT_ENTRANT,MEDIUM,3,-6690.682178799455,-2230.227392933152,0.0,0.0
PIT_UNIVERSE,WF02,COMMON_MEMBER,FULL,19,31012.81112985572,1632.2532173608274,0.5263157894736842,2.357333697664305
PIT_UNIVERSE,WF02,COMMON_MEMBER,MEDIUM,4,-2180.9392606229862,-545.2348151557466,0.5,0.2347097720424787
PIT_UNIVERSE,WF02,PIT_ENTRANT,FOUR_HOUR_ONLY,1,-14.680275710168846,-14.680275710168846,0.0,0.0
PIT_UNIVERSE,WF02,PIT_ENTRANT,FULL,28,-3941.6763611696747,-140.7741557560598,0.35714285714285715,0.8806919643123359
PIT_UNIVERSE,WF02,PIT_ENTRANT,MEDIUM,5,-3629.148866954594,-725.8297733909187,0.4,0.453235229000498
PIT_UNIVERSE,WF03,COMMON_MEMBER,FOUR_HOUR_ONLY,2,171.3692272692347,85.68461363461735,1.0,
PIT_UNIVERSE,WF03,COMMON_MEMBER,FULL,25,64950.18312463424,2598.0073249853695,0.56,4.649437736854901
PIT_UNIVERSE,WF03,COMMON_MEMBER,MEDIUM,8,-4720.526582727808,-590.065822840976,0.375,0.5052458484671828
PIT_UNIVERSE,WF03,PIT_ENTRANT,FULL,20,-42373.59599810412,-2118.679799905206,0.25,0.10759379051124784
PIT_UNIVERSE,WF03,PIT_ENTRANT,MEDIUM,8,-10890.850675833264,-1361.356334479158,0.25,0.021442405346519897
UNION_FIXED_AND_PIT,WF01,COMMON_MEMBER,FOUR_HOUR_ONLY,1,465.6998883273672,465.6998883273672,1.0,
UNION_FIXED_AND_PIT,WF01,COMMON_MEMBER,FULL,9,-26233.312057651114,-2914.8124508501237,0.0,0.0
UNION_FIXED_AND_PIT,WF01,COMMON_MEMBER,MEDIUM,4,-241.35562521499097,-60.33890630374774,0.5,0.8155696610434994
UNION_FIXED_AND_PIT,WF01,PIT_ENTRANT,FOUR_HOUR_ONLY,2,-857.6547733240943,-428.82738666204716,0.0,0.0
UNION_FIXED_AND_PIT,WF01,PIT_ENTRANT,FULL,10,-17891.839458755236,-1789.1839458755235,0.2,0.1444997855269759
UNION_FIXED_AND_PIT,WF01,PIT_ENTRANT,MEDIUM,3,-6923.411289660355,-2307.803763220118,0.0,0.0
UNION_FIXED_AND_PIT,WF01,REMOVED_SURVIVOR,FULL,3,-3502.4919188076406,-1167.4973062692136,0.3333333333333333,0.5782233250108719
UNION_FIXED_AND_PIT,WF02,COMMON_MEMBER,FULL,15,22771.43025841352,1518.0953505609011,0.4,2.0036967794849634
UNION_FIXED_AND_PIT,WF02,COMMON_MEMBER,MEDIUM,3,628.3560195026336,209.45200650087784,0.6666666666666666,21.557655995407128
UNION_FIXED_AND_PIT,WF02,PIT_ENTRANT,FULL,20,1015.9348646015951,50.796743230079755,0.4,1.0370978379059106
UNION_FIXED_AND_PIT,WF02,PIT_ENTRANT,MEDIUM,5,-3291.786627937526,-658.3573255875052,0.4,0.4760357860810519
UNION_FIXED_AND_PIT,WF02,REMOVED_SURVIVOR,FOUR_HOUR_ONLY,1,-323.72434337211314,-323.72434337211314,0.0,0.0
UNION_FIXED_AND_PIT,WF02,REMOVED_SURVIVOR,FULL,10,42007.40396347942,4200.740396347942,0.5,4.696534919600533
UNION_FIXED_AND_PIT,WF02,REMOVED_SURVIVOR,MEDIUM,1,820.380889641941,820.380889641941,1.0,
UNION_FIXED_AND_PIT,WF03,COMMON_MEMBER,FULL,16,134388.68771316955,8399.292982073097,0.75,9.655827500773134
UNION_FIXED_AND_PIT,WF03,COMMON_MEMBER,MEDIUM,2,-4628.969682481767,-2314.4848412408837,0.0,0.0
UNION_FIXED_AND_PIT,WF03,PIT_ENTRANT,FOUR_HOUR_ONLY,1,72.74427420672782,72.74427420672782,1.0,
UNION_FIXED_AND_PIT,WF03,PIT_ENTRANT,FULL,14,-56269.463639574795,-4019.247402826771,0.2857142857142857,0.1513937095249428
UNION_FIXED_AND_PIT,WF03,PIT_ENTRANT,MEDIUM,5,-13048.441010045857,-2609.6882020091716,0.0,0.0
