signal_id,fold_id,evaluable_count,spearman,pearson,positive_future_return_share_top,mean_future_return_top,unconditional_mean_return,top_temporal_quintile_excess,bottom_temporal_quintile_return,top_minus_bottom_spread
MKT_PIT_EW_RETURN_6BAR,WF01,180,-0.15224338199738674,-0.10636980575350055,0.4166666666666667,-0.0017227290314560304,0.0018821676011607786,-0.003604896632616809,0.003539244159441682,-0.005261973190897712
MKT_PIT_EW_RETURN_6BAR,WF02,182,0.016903031756758773,-0.029088734711115408,0.5277777777777778,0.0029604268130804462,0.002300077883269606,0.0006603489298108401,-0.0037273600430288763,0.006687786856109323
MKT_PIT_EW_RETURN_6BAR,WF03,366,0.012327971651845402,0.048259344570694494,0.6027397260273972,0.007827510338972814,0.0017953321074540255,0.006032178231518789,0.00124871901864189,0.006578791320330925
MKT_PIT_EW_RETURN_18BAR,WF01,180,0.002786094221015052,-0.025185581309474302,0.6111111111111112,0.0065020061314030155,0.0018821676011607786,0.004619838530242237,0.0013207267416932515,0.005181279389709764
MKT_PIT_EW_RETURN_18BAR,WF02,182,0.009774755631109222,-0.003956111442065071,0.6111111111111112,0.0017107364726819977,0.002300077883269606,-0.0005893414105876084,0.003470981372150163,-0.001760244899468165
MKT_PIT_EW_RETURN_18BAR,WF03,366,0.03510635759133695,0.04149900831293674,0.5753424657534246,0.0059858670751110985,0.0017953321074540255,0.0041905349676570735,0.0011153515615778542,0.004870515513533244
MKT_PIT_EW_RETURN_42BAR,WF01,180,0.09046987046925317,0.08243821484624328,0.5555555555555556,0.0083596859397067,0.0018821676011607786,0.006477518338545921,0.002386510902938605,0.0059731750367680945
MKT_PIT_EW_RETURN_42BAR,WF02,182,-0.0010739192878491855,0.007728760722668283,0.5833333333333334,0.0018372927407093334,0.002300077883269606,-0.0004627851425602727,0.002146603010215013,-0.0003093102695056794
MKT_PIT_EW_RETURN_42BAR,WF03,366,0.03635023016660231,0.02766003031039242,0.547945205479452,0.012806151158159192,0.0017953321074540255,0.011010819050705167,0.007830569318946391,0.0049755818392128014
MKT_BREADTH_POSITIVE_6BAR,WF01,180,-0.11894661977604923,-0.09043066380295121,0.3888888888888889,-0.0031386446261100977,0.0018821676011607786,-0.005020812227270876,0.009186310887505248,-0.012324955513615345
MKT_BREADTH_POSITIVE_6BAR,WF02,182,0.04272087642509649,0.039991959047358944,0.5277777777777778,0.0009567964954015946,0.002300077883269606,-0.0013432813878680116,-0.0023417956615865254,0.00329859215698812
MKT_BREADTH_POSITIVE_6BAR,WF03,366,-0.00622148450591452,0.02943847197778437,0.547945205479452,0.0020606063456615536,0.0017953321074540255,0.00026527423820752816,-0.0021178922772545714,0.004178498622916125
MKT_BREADTH_THRUST_6_42,WF01,180,-0.1719852203897473,-0.1397477592990345,0.5555555555555556,0.0038144401607550275,0.0018821676011607786,0.0019322725595942488,0.014600526784973707,-0.010786086624218679
