signal_id,raw_p_value,bh_adjusted_p_value,block_length
MKT_PIT_EW_RETURN_6BAR,0.795020497950205,0.8929107089291071,7
MKT_PIT_EW_RETURN_18BAR,0.32496750324967505,0.6499350064993502,7
MKT_PIT_EW_RETURN_42BAR,0.1362863713628637,0.5711428857114289,7
MKT_BREADTH_POSITIVE_6BAR,0.7977202279772023,0.8929107089291071,7
MKT_BREADTH_THRUST_6_42,0.8929107089291071,0.8929107089291071,7
MKT_BREADTH_ABOVE_EMA20,0.46735326467353266,0.8178682131786822,7
MKT_CROSS_SECTIONAL_DISPERSION_42,0.2685731426857314,0.6266706662667066,7
MKT_DISPERSION_ACCEL_18_42,0.028097190280971903,0.19668033196680332,7
MKT_AVG_PAIRWISE_CORRELATION_42,0.5568443155684432,0.82997700229977,7
MKT_CORRELATION_CHANGE_18_42,0.16318368163183683,0.5711428857114289,7
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,0.016198380161983803,0.19668033196680332,7
MKT_BN_AGG_TAKER_IMBALANCE_6,0.5928407159284071,0.82997700229977,7
MKT_BN_KC_RETURN_DIVERGENCE_6,0.21577842215778423,0.6041795820417958,7
MKT_LOW_REALIZED_VOLATILITY_42,0.8646135386461354,0.8929107089291071,7
