rebalance_time,symbol,completed_return_count,required_return_count,first_available_close,last_available_close,eligible,reason
2022-01-03T00:00:00+00:00,1INCH,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,AAVE,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,ADA,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,ALGO,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,AVAX,302,84,2021-03-07T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,BAT,328,84,2021-02-09T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,BCH,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,BTC,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,COMP,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,CRO,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,CRV,345,84,2021-01-23T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,DOGE,327,84,2021-02-10T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,DOT,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,ETC,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,ETH,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,FTT,99,84,2021-09-26T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,ICP,235,84,2021-05-13T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,LINK,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,LRC,332,84,2021-02-05T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,LTC,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,MANA,290,84,2021-03-19T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,NEO,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,QNT,328,84,2021-02-09T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,SHIB,236,84,2021-05-12T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,SUSHI,344,84,2021-01-24T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,UNI,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,XLM,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,XMR,283,84,2021-03-26T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,XRP,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-03T00:00:00+00:00,XTZ,366,84,2021-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,True,READY
2022-01-10T00:00:00+00:00,1INCH,373,84,2021-01-02T00:00:00+00:00,2022-01-10T00:00:00+00:00,True,READY
2022-01-10T00:00:00+00:00,AAVE,373,84,2021-01-02T00:00:00+00:00,2022-01-10T00:00:00+00:00,True,READY
2022-01-10T00:00:00+00:00,ADA,373,84,2021-01-02T00:00:00+00:00,2022-01-10T00:00:00+00:00,True,READY
2022-01-10T00:00:00+00:00,ALGO,373,84,2021-01-02T00:00:00+00:00,2022-01-10T00:00:00+00:00,True,READY
2022-01-10T00:00:00+00:00,AVAX,309,84,2021-03-07T00:00:00+00:00,2022-01-10T00:00:00+00:00,True,READY
