signal_id,weekday_bucket,decision_count,mean_rank_ic,mean_top_excess,classification
DISTANCE_FROM_EMA20_ATR_4H,MONDAY,105,0.021096456380104878,-0.0009618479162029233,POST_HOC_WEEKDAY_DIAGNOSTIC
DISTANCE_FROM_EMA20_ATR_4H,TUESDAY_THROUGH_SUNDAY,623,0.04653103550878966,0.00014467530821403107,POST_HOC_WEEKDAY_DIAGNOSTIC
DISTANCE_FROM_EMA20_ATR_4H,ALL_DAYS,728,0.042862586595998585,-1.4919387615337387e-05,POST_HOC_WEEKDAY_DIAGNOSTIC
DONCHIAN_42_POSITION,MONDAY,105,0.001724818959842005,0.0011800486676858217,POST_HOC_WEEKDAY_DIAGNOSTIC
DONCHIAN_42_POSITION,TUESDAY_THROUGH_SUNDAY,623,-0.029440835344503532,-1.3734187259031312e-05,POST_HOC_WEEKDAY_DIAGNOSTIC
DONCHIAN_42_POSITION,ALL_DAYS,728,-0.024945789050607535,0.00015844603220416877,POST_HOC_WEEKDAY_DIAGNOSTIC
DRAWDOWN_RESILIENCE_42,MONDAY,105,0.04448616376472724,-0.0003405204627435635,POST_HOC_WEEKDAY_DIAGNOSTIC
DRAWDOWN_RESILIENCE_42,TUESDAY_THROUGH_SUNDAY,623,0.03288421423575086,-2.5571915802559837e-05,POST_HOC_WEEKDAY_DIAGNOSTIC
DRAWDOWN_RESILIENCE_42,ALL_DAYS,728,0.034557572340891685,-7.099718699597373e-05,POST_HOC_WEEKDAY_DIAGNOSTIC
LOW_REALIZED_VOLATILITY_42,MONDAY,105,0.0875152285608348,0.0005234416299635474,POST_HOC_WEEKDAY_DIAGNOSTIC
LOW_REALIZED_VOLATILITY_42,TUESDAY_THROUGH_SUNDAY,623,0.06420254095889136,-0.0004300435714290239,POST_HOC_WEEKDAY_DIAGNOSTIC
LOW_REALIZED_VOLATILITY_42,ALL_DAYS,728,0.06756494782455627,-0.0002925216673820185,POST_HOC_WEEKDAY_DIAGNOSTIC
PATH_EFFICIENCY_42BAR,MONDAY,105,-0.04379741663072348,0.0008503752407366365,POST_HOC_WEEKDAY_DIAGNOSTIC
PATH_EFFICIENCY_42BAR,TUESDAY_THROUGH_SUNDAY,623,-0.049684127170323084,0.00012713233608394582,POST_HOC_WEEKDAY_DIAGNOSTIC
PATH_EFFICIENCY_42BAR,ALL_DAYS,728,-0.04883508238095777,0.0002314462165626993,POST_HOC_WEEKDAY_DIAGNOSTIC
PRICE_TURNOVER_CONFIRMATION_18,MONDAY,105,-0.018792157574932095,-0.00014182425944170039,POST_HOC_WEEKDAY_DIAGNOSTIC
PRICE_TURNOVER_CONFIRMATION_18,TUESDAY_THROUGH_SUNDAY,623,-0.006026653934819697,0.0004824373020513532,POST_HOC_WEEKDAY_DIAGNOSTIC
PRICE_TURNOVER_CONFIRMATION_18,ALL_DAYS,728,-0.007867832344451294,0.000392399576836009,POST_HOC_WEEKDAY_DIAGNOSTIC
QUOTE_TURNOVER_ACCELERATION_6_42,MONDAY,105,-0.03154116819141448,-0.0007438689821634955,POST_HOC_WEEKDAY_DIAGNOSTIC
QUOTE_TURNOVER_ACCELERATION_6_42,TUESDAY_THROUGH_SUNDAY,623,-0.015000741096816244,0.0009941042621214428,POST_HOC_WEEKDAY_DIAGNOSTIC
QUOTE_TURNOVER_ACCELERATION_6_42,ALL_DAYS,728,-0.01738637962007561,0.0007434350441957309,POST_HOC_WEEKDAY_DIAGNOSTIC
RETURN_18BAR,MONDAY,105,-0.01618941681233115,0.0013019025769548192,POST_HOC_WEEKDAY_DIAGNOSTIC
RETURN_18BAR,TUESDAY_THROUGH_SUNDAY,623,-0.05394432947007293,-0.0005135419090043006,POST_HOC_WEEKDAY_DIAGNOSTIC
RETURN_18BAR,ALL_DAYS,728,-0.04849890937520634,-0.0002516989542986582,POST_HOC_WEEKDAY_DIAGNOSTIC
RETURN_42BAR,MONDAY,105,-0.05520404379771931,0.0012000510754186513,POST_HOC_WEEKDAY_DIAGNOSTIC
RETURN_42BAR,TUESDAY_THROUGH_SUNDAY,623,-0.05582647912043563,0.0005992844696497263,POST_HOC_WEEKDAY_DIAGNOSTIC
RETURN_42BAR,ALL_DAYS,728,-0.055736704795043855,0.0006859334993279366,POST_HOC_WEEKDAY_DIAGNOSTIC
RETURN_6BAR,MONDAY,105,-0.04269082048837332,-0.0015438081051915747,POST_HOC_WEEKDAY_DIAGNOSTIC
RETURN_6BAR,TUESDAY_THROUGH_SUNDAY,623,-0.03625534326624148,-0.00047692526322184005,POST_HOC_WEEKDAY_DIAGNOSTIC
RETURN_6BAR,ALL_DAYS,728,-0.037183537096356654,-0.0006308025961982443,POST_HOC_WEEKDAY_DIAGNOSTIC
REVERSAL_1BAR_VOL_NORMALIZED,MONDAY,105,-0.020614553437155025,-0.0008498091634548983,POST_HOC_WEEKDAY_DIAGNOSTIC
REVERSAL_1BAR_VOL_NORMALIZED,TUESDAY_THROUGH_SUNDAY,623,0.0031901219810418816,-0.001066730324173692,POST_HOC_WEEKDAY_DIAGNOSTIC
REVERSAL_1BAR_VOL_NORMALIZED,ALL_DAYS,728,-0.00024324466581344183,-0.001035443618300789,POST_HOC_WEEKDAY_DIAGNOSTIC
REVERSAL_3BAR_VOL_NORMALIZED,MONDAY,105,0.004144918835471414,-0.0019197668192540178,POST_HOC_WEEKDAY_DIAGNOSTIC
REVERSAL_3BAR_VOL_NORMALIZED,TUESDAY_THROUGH_SUNDAY,623,0.013082999321844322,-0.0004649073007934425,POST_HOC_WEEKDAY_DIAGNOSTIC
REVERSAL_3BAR_VOL_NORMALIZED,ALL_DAYS,728,0.011793853097848233,-0.0006747428082637177,POST_HOC_WEEKDAY_DIAGNOSTIC
REVERSAL_6BAR_VOL_NORMALIZED,MONDAY,105,0.026748541463303896,-0.00019798507517659154,POST_HOC_WEEKDAY_DIAGNOSTIC
REVERSAL_6BAR_VOL_NORMALIZED,TUESDAY_THROUGH_SUNDAY,623,0.027482909703153594,-3.345119974767749e-05,POST_HOC_WEEKDAY_DIAGNOSTIC
REVERSAL_6BAR_VOL_NORMALIZED,ALL_DAYS,728,0.027376991207021424,-5.718204716530932e-05,POST_HOC_WEEKDAY_DIAGNOSTIC
VOLATILITY_CONTRACTION_BREAKOUT_4H,MONDAY,24,-0.008869225309031831,0.00431494039486447,POST_HOC_WEEKDAY_DIAGNOSTIC
VOLATILITY_CONTRACTION_BREAKOUT_4H,TUESDAY_THROUGH_SUNDAY,109,0.007179576136093557,0.001858434420427648,POST_HOC_WEEKDAY_DIAGNOSTIC
VOLATILITY_CONTRACTION_BREAKOUT_4H,ALL_DAYS,133,0.004283551815168678,0.0023017136940102325,POST_HOC_WEEKDAY_DIAGNOSTIC
XSM_18BAR_SKIP_1BAR,MONDAY,105,-0.028546003495947877,0.0015325660560607426,POST_HOC_WEEKDAY_DIAGNOSTIC
XSM_18BAR_SKIP_1BAR,TUESDAY_THROUGH_SUNDAY,623,-0.04886006916330809,7.5094396241972e-06,POST_HOC_WEEKDAY_DIAGNOSTIC
XSM_18BAR_SKIP_1BAR,ALL_DAYS,728,-0.04593015584590037,0.00022746952853331464,POST_HOC_WEEKDAY_DIAGNOSTIC
