cost_mode,transaction_cost,metric,fixed_value,union_value,intersection_value,pit_value,total_pit_minus_fixed,addition_on_fixed,addition_after_removal,removal_without_entrants,removal_with_entrants,addition_shapley,removal_shapley,interaction,decomposition_error,decomposition_exact
ZERO_COST,0.0,compounded_return,3.2184367709303876,0.7875379557266591,0.2853987554905293,-0.40411894482882516,-3.622555715759213,-2.4308988152037285,-0.6895177003193544,-2.933038015439858,-1.1916569005554842,-1.5602082577615415,-2.0623474579976713,1.741381114884374,-4.440892098500626e-16,True
ZERO_COST,0.0,mean_fold_return,1.0506985290683308,0.4781055849590234,0.1766771666332856,-0.058993547309334295,-1.1096920763776652,-0.5725929441093074,-0.23567071394261987,-0.8740213624350452,-0.5370991322683577,-0.4041318290259636,-0.7055602473517015,0.33692223016668754,0.0,True
ZERO_COST,0.0,expectancy,2144.282712384349,943.6294439980724,424.0251999198857,-115.67362217516548,-2259.9563345595143,-1200.6532683862765,-539.6988220950512,-1720.2575124644632,-1059.3030661732378,-870.1760452406638,-1389.7802893188505,660.9544462912254,0.0,True
ZERO_COST,0.0,mean_maximum_drawdown,0.4164948802205643,0.48863551635057895,0.3873359325116826,0.5389537577499274,0.12245887752936307,0.07214063613001465,0.1516178252382448,-0.02915894770888172,0.05031824139934843,0.11187923068412972,0.010579646845233354,0.07947718910823015,0.0,True
ZERO_COST,0.0,top_1_symbol_contribution,0.17817037984438203,0.17204400482030938,0.26336809067776074,0.29324617124013264,0.11507579139575061,-0.00612637502407265,0.0298780805623719,0.08519771083337871,0.12120216641982326,0.011875852769149625,0.10319993862660098,0.03600445558644455,0.0,True
ZERO_COST,0.0,trade_count,147.0,152.0,125.0,153.0,6.0,5.0,28.0,-22.0,1.0,16.5,-10.5,23.0,0.0,True
BASE_COST,0.002,compounded_return,2.6861470605832247,0.5555422754029571,0.14988002451666427,-0.4810345157020558,-3.1671815762852806,-2.1306047851802674,-0.6309145402187201,-2.5362670360665605,-1.0365767911050128,-1.3807596626994938,-1.7864219135857866,1.4996902449615477,-2.220446049250313e-16,True
BASE_COST,0.002,mean_fold_return,0.9465854065749347,0.401899994977103,0.12960551293942665,-0.10555219266528004,-1.0521375992402149,-0.5446854115978317,-0.2351577056047067,-0.816979893635508,-0.507452187642383,-0.3899215586012692,-0.6622160406389455,0.30952770599312507,-2.220446049250313e-16,True
BASE_COST,0.002,expectancy,1931.806952193744,793.2236742969137,311.0532310546238,-206.9650836574116,-2138.7720358511556,-1138.5832778968304,-518.0183147120354,-1620.7537211391204,-1000.1887579543253,-828.3007963044329,-1310.471239546723,620.564963184795,2.2737367544323206e-13,True
BASE_COST,0.002,mean_maximum_drawdown,0.4312530196716661,0.5021172736028611,0.4023137460758581,0.5534433874568565,0.12219036778519038,0.07086425393119494,0.15112964138099838,-0.028939273595808,0.051326113853995436,0.11099694765609666,0.011193420129093717,0.08026538744980344,0.0,True
BASE_COST,0.002,top_1_symbol_contribution,0.18040560400257027,0.17424881399195752,0.27383302225656475,0.3034823360035585,0.12307673200098823,-0.006156790010612756,0.029649313746993755,0.09342741825399448,0.129233522011601,0.0117462618681905,0.11133047013279773,0.03580610375760651,0.0,True
BASE_COST,0.002,trade_count,147.0,152.0,125.0,153.0,6.0,5.0,28.0,-22.0,1.0,16.5,-10.5,23.0,0.0,True
