universe_mode,cost_mode,transaction_cost,compounded_return_delta,expectancy_delta,maximum_drawdown_reduction,trade_cvar_10_control,trade_cvar_10_treatment,trade_cvar_10_improvement,improved_folds,control_trade_count,treatment_trade_count,stop_exit_count,same_bar_stop_count
FIXED_SURVIVOR_30,ZERO_COST,0.0,-0.4060581218440644,-941.5948384211847,0.06196477773913489,-0.24264437609034334,-0.15118540802396815,0.09145896806637518,1,147,189,114,3
PIT_UNIVERSE,ZERO_COST,0.0,0.19825365930452443,71.46000688794452,0.10515154400515586,-0.29980750729417416,-0.1722236554543528,0.12758385183982135,1,153,204,118,5
FIXED_SURVIVOR_30,BASE_COST,0.002,-0.4595211036258533,-901.237010657474,0.05494693238448167,-0.24566775183449371,-0.1545738894290621,0.0910938624054316,1,147,189,114,3
PIT_UNIVERSE,BASE_COST,0.002,0.14798842236375032,76.46523597601754,0.09336308058567527,-0.30260268690577424,-0.17552815183976458,0.12707453506600966,1,153,204,118,5
FIXED_SURVIVOR_30,STRESS_0_4_PERCENT,0.004,-0.4901009586785974,-860.6502951870806,0.047294110788761945,-0.24867908225695418,-0.1579488709082393,0.09073021134871487,1,147,189,114,3
PIT_UNIVERSE,STRESS_0_4_PERCENT,0.004,0.10811248939783058,82.37428180151107,0.08237977551055359,-0.30538673034362296,-0.17881948290093166,0.1265672474426913,1,153,204,118,5
