universe_mode,fold_id,entry_market_cap_rank_bucket,entry_pit_tenure_bucket,alignment_tier,trade_count,net_pnl,mean_trade_pnl,win_rate,profit_factor
PIT_UNIVERSE,WF03,RANK_21_30,TENURE_27_PLUS,MEDIUM,2,-965.3866993278468,-482.6933496639234,0.5,0.0632452450739116
PIT_UNIVERSE,WF03,RANK_31_PLUS,TENURE_01_04,FULL,6,-11142.50942676058,-1857.0849044600966,0.3333333333333333,0.21577069815790184
PIT_UNIVERSE,WF03,RANK_31_PLUS,TENURE_01_04,MEDIUM,1,-1372.7005273011976,-1372.7005273011976,0.0,0.0
PIT_UNIVERSE,WF03,RANK_31_PLUS,TENURE_27_PLUS,MEDIUM,2,-2386.3419798603436,-1193.1709899301718,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_01_10,TENURE_05_13,MEDIUM,1,-2370.437069383063,-2370.437069383063,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_11_20,TENURE_05_13,FULL,3,-12125.64890964152,-4041.882969880507,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_11_20,TENURE_27_PLUS,FOUR_HOUR_ONLY,1,-502.2729369946064,-502.2729369946064,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_11_20,TENURE_27_PLUS,FULL,2,-2510.749772475159,-1255.3748862375794,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_11_20,TENURE_27_PLUS,MEDIUM,1,-689.784314671671,-689.784314671671,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_21_30,TENURE_05_13,FULL,1,-3106.719707461501,-3106.719707461501,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_21_30,TENURE_05_13,MEDIUM,1,-3863.18990560562,-3863.18990560562,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_21_30,TENURE_27_PLUS,FULL,1,2967.7688273018,2967.7688273018,1.0,
UNION_FIXED_AND_PIT,WF01,RANK_31_PLUS,TENURE_01_04,FOUR_HOUR_ONLY,1,-355.38183632948784,-355.38183632948784,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_31_PLUS,TENURE_01_04,FULL,1,-2133.104539282516,-2133.104539282516,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_31_PLUS,TENURE_05_13,FULL,1,-1037.669500466579,-1037.669500466579,0.0,0.0
UNION_FIXED_AND_PIT,WF01,RANK_31_PLUS,TENURE_14_26,FULL,1,54.28414327023615,54.28414327023615,1.0,
UNION_FIXED_AND_PIT,WF02,RANK_11_20,TENURE_27_PLUS,FULL,4,5505.556975889503,1376.3892439723757,0.5,1.8157400573620046
UNION_FIXED_AND_PIT,WF02,RANK_11_20,TENURE_27_PLUS,MEDIUM,2,1299.730445435525,649.8652227177625,0.5,3.29494025875213
UNION_FIXED_AND_PIT,WF02,RANK_21_30,TENURE_14_26,FULL,1,3166.1852977459225,3166.1852977459225,1.0,
