signal_id,missing_reason,row_count
ATR_EXPANSION_WITH_POSITIVE_RETURN,INSUFFICIENT_ATR_HISTORY,10
BETA_ADJUSTED_MOMENTUM_28D,INSUFFICIENT_PAIRED_OBSERVATIONS,18
BTC_RELATIVE_RETURN_28D,INSUFFICIENT_BTC_HISTORY,8
DISTANCE_FROM_EMA20_ATR,INVALID_ATR,6
DONCHIAN_20_POSITION,INSUFFICIENT_DONCHIAN_HISTORY,6
DONCHIAN_55_POSITION,INSUFFICIENT_DONCHIAN_HISTORY,16
DOWNSIDE_VOLATILITY_28D,INSUFFICIENT_DOWNSIDE_HISTORY,2
DRAWDOWN_ADJUSTED_MOMENTUM_28D,INSUFFICIENT_DRAWDOWN_HISTORY,16
EMA_20_50_TREND_STATE,INSUFFICIENT_EMA_HISTORY,14
IDIOSYNCRATIC_STRENGTH_28D,INSUFFICIENT_PAIRED_OBSERVATIONS,288
ILLIQUIDITY_PROXY_30D,INSUFFICIENT_ILLIQUIDITY_HISTORY,9
MARKET_RESIDUAL_MOMENTUM_28D,INSUFFICIENT_PAIRED_OBSERVATIONS,288
MAX_DRAWDOWN_28D,INSUFFICIENT_DRAWDOWN_HISTORY,16
MULTI_HORIZON_TREND_AGREEMENT,INSUFFICIENT_CLOSE_HISTORY,24
OLS_TREND_TSTAT_28D,INSUFFICIENT_TREND_HISTORY,8
POSITIVE_BAR_BREADTH_28D,INSUFFICIENT_RETURN_HISTORY,8
PRICE_VOLUME_CONFIRMATION_28D,NONPOSITIVE_VOLUME_BASELINE,8
QUOTE_TURNOVER_CHANGE_7D_30D,INSUFFICIENT_QUOTE_TURNOVER_HISTORY,8
REALIZED_VOLATILITY_28D,INSUFFICIENT_VOLATILITY_HISTORY,1
RETURN_PATH_EFFICIENCY_28D,INSUFFICIENT_PATH_HISTORY,8
REVERSAL_1D_VOL_NORMALIZED,INSUFFICIENT_VOLATILITY_HISTORY,1
REVERSAL_3D_VOL_NORMALIZED,INSUFFICIENT_VOLATILITY_HISTORY,1
RSI14_OVEREXTENSION,INSUFFICIENT_RSI_HISTORY,4
TSM_RETURN_28D,INSUFFICIENT_CLOSE_HISTORY,8
TSM_RETURN_84D,INSUFFICIENT_CLOSE_HISTORY,24
VOLATILITY_CONTRACTION_BREAKOUT,INSUFFICIENT_ATR_HISTORY,22
VOLUME_ACCELERATION_7D_30D,NONPOSITIVE_VOLUME_BASELINE,8
XSM_28D_SKIP_1D,INSUFFICIENT_CLOSE_HISTORY,8
XSM_RETURN_28D,INSUFFICIENT_CLOSE_HISTORY,8
XSM_RETURN_7D,INSUFFICIENT_CLOSE_HISTORY,2
XSM_RETURN_84D,INSUFFICIENT_CLOSE_HISTORY,24
