source_id,concept,metric_id,entity_type,endpoint,authorization_requirement,free_or_paid,assets_supported_count,minimum_time,maximum_time,frequency,unit,methodology_reference,null_semantics,revision_backfill_risk,publication_database_timestamp_available,causal_grade,source_ready
COIN_METRICS_COMMUNITY,active_addresses,AdrActCnt,ASSET,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,NONE_COMMUNITY_ENDPOINT,FREE_NON_COMMERCIAL,35,2020-12-23T00:00:00.000000000Z,2026-07-27T00:00:00.000000000Z,1d,CATALOG_NOT_RECORDED,https://docs.coinmetrics.io/metrics,NULL_MEANS_NO_DATABASE_VALUE,REVIEWED_OR_REVISED_VALUES_MAY_CHANGE,PARTIAL_STATUS_TIME_ONLY,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
COIN_METRICS_COMMUNITY,transaction_count,TxCnt,ASSET,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,NONE_COMMUNITY_ENDPOINT,FREE_NON_COMMERCIAL,37,2020-12-23T00:00:00.000000000Z,2026-07-27T00:00:00.000000000Z,1d,CATALOG_NOT_RECORDED,https://docs.coinmetrics.io/metrics,NULL_MEANS_NO_DATABASE_VALUE,REVIEWED_OR_REVISED_VALUES_MAY_CHANGE,PARTIAL_STATUS_TIME_ONLY,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
COIN_METRICS_COMMUNITY,fees,FeeTotNtv,ASSET,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,NONE_COMMUNITY_ENDPOINT,FREE_NON_COMMERCIAL,16,2017-09-23T00:00:00.000000000Z,2026-07-27T00:00:00.000000000Z,1d,CATALOG_NOT_RECORDED,https://docs.coinmetrics.io/metrics,NULL_MEANS_NO_DATABASE_VALUE,REVIEWED_OR_REVISED_VALUES_MAY_CHANGE,PARTIAL_STATUS_TIME_ONLY,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
COIN_METRICS_COMMUNITY,supply,SplyCur,ASSET,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,NONE_COMMUNITY_ENDPOINT,FREE_NON_COMMERCIAL,37,2020-12-23T00:00:00.000000000Z,2026-07-27T00:00:00.000000000Z,1d,CATALOG_NOT_RECORDED,https://docs.coinmetrics.io/metrics,NULL_MEANS_NO_DATABASE_VALUE,REVIEWED_OR_REVISED_VALUES_MAY_CHANGE,PARTIAL_STATUS_TIME_ONLY,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
COIN_METRICS_COMMUNITY,issuance,IssTotNtv,ASSET,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,NONE_COMMUNITY_ENDPOINT,FREE_NON_COMMERCIAL,36,2020-12-23T00:00:00.000000000Z,2026-07-27T00:00:00.000000000Z,1d,CATALOG_NOT_RECORDED,https://docs.coinmetrics.io/metrics,NULL_MEANS_NO_DATABASE_VALUE,REVIEWED_OR_REVISED_VALUES_MAY_CHANGE,PARTIAL_STATUS_TIME_ONLY,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
COIN_METRICS_COMMUNITY,security,HashRate,ASSET,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,NONE_COMMUNITY_ENDPOINT,FREE_NON_COMMERCIAL,9,2017-08-01T00:00:00.000000000Z,2026-07-27T00:00:00.000000000Z,1d,CATALOG_NOT_RECORDED,https://docs.coinmetrics.io/metrics,NULL_MEANS_NO_DATABASE_VALUE,REVIEWED_OR_REVISED_VALUES_MAY_CHANGE,PARTIAL_STATUS_TIME_ONLY,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
COIN_METRICS_COMMUNITY,security,BlkCnt,ASSET,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,NONE_COMMUNITY_ENDPOINT,FREE_NON_COMMERCIAL,17,2017-09-23T00:00:00.000000000Z,2026-07-27T00:00:00.000000000Z,1d,CATALOG_NOT_RECORDED,https://docs.coinmetrics.io/metrics,NULL_MEANS_NO_DATABASE_VALUE,REVIEWED_OR_REVISED_VALUES_MAY_CHANGE,PARTIAL_STATUS_TIME_ONLY,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
DEFILLAMA_FREE_API,protocol_tvl,PROTOCOL_TVL,PROTOCOL,https://api.llama.fi/protocol/{slug},NONE_FOR_DOCUMENTED_FREE_ENDPOINT,FREE_WITH_OPTIONAL_PRO,14,ENTITY_DEPENDENT,CATALOG_CURRENT_METADATA_ONLY,DAILY_OR_ENDPOINT_DEPENDENT,USD_OR_NATIVE_ENDPOINT_DEPENDENT,https://defillama.com/docs/api,NOT_DOCUMENTED_UNIFORMLY,UNKNOWN_HISTORICAL_REVISION_POLICY,NO,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
DEFILLAMA_FREE_API,chain_tvl,CHAIN_TVL,CHAIN,https://api.llama.fi/v2/historicalChainTvl/{chain},NONE_FOR_DOCUMENTED_FREE_ENDPOINT,FREE_WITH_OPTIONAL_PRO,14,ENTITY_DEPENDENT,CATALOG_CURRENT_METADATA_ONLY,DAILY_OR_ENDPOINT_DEPENDENT,USD_OR_NATIVE_ENDPOINT_DEPENDENT,https://defillama.com/docs/api,NOT_DOCUMENTED_UNIFORMLY,UNKNOWN_HISTORICAL_REVISION_POLICY,NO,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
DEFILLAMA_FREE_API,protocol_fees,PROTOCOL_FEES,PROTOCOL,https://api.llama.fi/overview/fees,NONE_FOR_DOCUMENTED_FREE_ENDPOINT,FREE_WITH_OPTIONAL_PRO,14,ENTITY_DEPENDENT,CATALOG_CURRENT_METADATA_ONLY,DAILY_OR_ENDPOINT_DEPENDENT,USD_OR_NATIVE_ENDPOINT_DEPENDENT,https://defillama.com/docs/api,NOT_DOCUMENTED_UNIFORMLY,UNKNOWN_HISTORICAL_REVISION_POLICY,NO,D_DERIVED_HISTORICAL_SERIES_WITH_UNKNOWN_REVISION,False
