symbol,fixed_survivor_member,pit_ever_member,pit_entrant_symbol,pit_membership_weeks,pit_membership_share,common_weeks,entrant_weeks,removed_survivor_weeks,first_pit_rebalance,last_pit_rebalance,longest_consecutive_pit_weeks,best_market_cap_rank,median_market_cap_rank,worst_market_cap_rank,best_venue_rank,median_venue_rank,worst_venue_rank
1INCH,False,True,True,142,0.9044585987261147,0,142,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,136,26.0,30.0,36.0,22.0,25.0,30.0
ALGO,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,14.0,22.0,27.0,13.0,19.0,22.0
BAL,False,True,True,3,0.01910828025477707,0,3,0,2022-12-26T00:00:00+00:00,2023-01-09T00:00:00+00:00,3,37.0,37.0,37.0,30.0,30.0,30.0
BAT,False,True,True,30,0.1910828025477707,0,30,0,2022-01-03T00:00:00+00:00,2024-01-15T00:00:00+00:00,17,34.0,36.0,39.0,28.0,29.0,30.0
BCH,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,11.0,16.0,23.0,10.0,15.0,20.0
COMP,False,True,True,134,0.8535031847133758,0,134,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,80,30.0,34.0,38.0,25.0,28.0,30.0
CRO,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,4.0,9.0,13.0,4.0,9.0,12.0
CRV,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,18.0,24.0,33.0,17.0,20.0,28.0
DASH,False,True,True,71,0.45222929936305734,0,71,0,2022-03-14T00:00:00+00:00,2023-11-06T00:00:00+00:00,57,30.0,36.0,38.0,26.0,29.0,30.0
ETC,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,14.0,18.0,24.0,13.0,16.0,21.0
FLOW,False,True,True,29,0.18471337579617833,0,29,0,2024-06-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,29,27.0,27.0,29.0,23.0,23.0,25.0
FTT,False,True,True,146,0.9299363057324841,0,146,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,60,7.0,32.0,38.0,7.0,27.0,30.0
ICP,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,12.0,16.0,21.0,12.0,15.0,19.0
LDO,False,True,True,130,0.8280254777070064,0,130,0,2022-07-11T00:00:00+00:00,2024-12-30T00:00:00+00:00,130,15.0,22.0,33.0,14.0,19.0,27.0
LPT,False,True,True,6,0.03821656050955414,0,6,0,2024-02-19T00:00:00+00:00,2024-06-17T00:00:00+00:00,5,33.0,34.0,38.0,27.0,28.5,30.0
LRC,False,True,True,58,0.36942675159235666,0,58,0,2022-01-03T00:00:00+00:00,2024-04-08T00:00:00+00:00,20,30.0,36.0,38.0,26.0,29.0,30.0
MANA,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,18.0,27.0,31.0,17.0,23.0,26.0
MATIC,False,True,True,60,0.3821656050955414,0,60,0,2023-11-13T00:00:00+00:00,2024-12-30T00:00:00+00:00,60,9.0,14.0,18.0,9.0,13.0,16.0
NEO,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,23.0,28.0,32.0,20.0,22.0,27.0
PAXG,False,True,True,108,0.6878980891719745,0,108,0,2022-05-30T00:00:00+00:00,2024-11-18T00:00:00+00:00,50,31.0,34.0,38.0,25.0,28.0,30.0
QNT,False,True,True,157,1.0,0,157,0,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,157,14.0,21.0,29.0,13.0,18.0,25.0
SUSHI,False,True,True,3,0.01910828025477707,0,3,0,2022-01-03T00:00:00+00:00,2022-01-17T00:00:00+00:00,3,35.0,37.0,37.0,28.0,30.0,30.0
