fold_id,symbol,membership_exit_decision_time,reentry_time,return_before_reentry,return_4w_after_reentry,event_label
WF01,BAT,2022-01-10T00:00:00+00:00,2022-01-24T00:00:00+00:00,-0.2647628267182962,-0.07597103357472013,UNLABELLED
WF01,ZEC,2022-01-31T00:00:00+00:00,2022-02-07T00:00:00+00:00,0.33692129381210956,-0.138621093781356,UNLABELLED
WF01,COMP,2022-02-07T00:00:00+00:00,2022-02-14T00:00:00+00:00,-0.11773059717389767,-0.20289738430583493,UNLABELLED
WF01,SNX,2022-02-14T00:00:00+00:00,2022-03-21T00:00:00+00:00,0.1674391589499602,-0.041220938579930144,UNLABELLED
WF01,LRC,2022-03-14T00:00:00+00:00,2022-03-28T00:00:00+00:00,0.6252758569957335,-0.19073051507196526,UNLABELLED
WF01,COMP,2022-03-21T00:00:00+00:00,2022-04-04T00:00:00+00:00,0.4896294367786167,-0.3840372851733178,UNLABELLED
WF01,SNX,2022-03-28T00:00:00+00:00,2022-04-04T00:00:00+00:00,0.3460915770071331,-0.33879972602739716,UNLABELLED
WF01,BAT,2022-04-04T00:00:00+00:00,2022-06-13T00:00:00+00:00,-0.6746759405627569,0.3242630385487528,UNLABELLED
WF01,DASH,2022-04-04T00:00:00+00:00,2022-05-02T00:00:00+00:00,-0.3214070048309178,-0.35595105672969973,UNLABELLED
WF01,COMP,2022-05-30T00:00:00+00:00,2022-06-06T00:00:00+00:00,0.012222804260520359,-0.14800759013282727,UNLABELLED
WF01,COMP,2022-06-13T00:00:00+00:00,2022-07-04T00:00:00+00:00,0.20321246045266483,0.15351941747572817,UNLABELLED
WF01,DASH,2022-07-04T00:00:00+00:00,2022-08-29T00:00:00+00:00,0.03174603174603163,-0.07058823529411773,UNLABELLED
WF01,COMP,2022-07-11T00:00:00+00:00,2022-07-18T00:00:00+00:00,0.028795811518324665,0.14303889494729183,UNLABELLED
WF01,LRC,2022-07-18T00:00:00+00:00,2022-07-25T00:00:00+00:00,0.06529209621993126,-0.048138957816377226,UNLABELLED
WF01,COMP,2022-07-25T00:00:00+00:00,2022-08-08T00:00:00+00:00,0.14065335753176034,-0.2272076372315036,UNLABELLED
WF01,PAXG,2022-08-08T00:00:00+00:00,2022-08-22T00:00:00+00:00,-0.01442117068639337,-0.040436781609195394,UNLABELLED
WF01,COMP,2022-08-22T00:00:00+00:00,2022-09-12T00:00:00+00:00,0.09835100117785633,0.05808757819481669,UNLABELLED
WF01,LRC,2022-08-29T00:00:00+00:00,2023-02-06T00:00:00+00:00,0.08883025505716802,-0.11847065158858372,UNLABELLED
WF01,DASH,2022-09-12T00:00:00+00:00,2022-10-10T00:00:00+00:00,-0.11083488709343281,0.017707362534948645,UNLABELLED
WF01,BAT,2022-10-10T00:00:00+00:00,2024-01-08T00:00:00+00:00,-0.23332227016262863,-0.0696969696969697,UNLABELLED
WF01,FTT,2022-12-26T00:00:00+00:00,2023-01-16T00:00:00+00:00,1.422346368715084,-0.2061808118081181,TERMINAL_IMPAIRMENT
WF02,PAXG,2023-02-06T00:00:00+00:00,2023-02-13T00:00:00+00:00,-0.016161735998015514,0.04466101369757891,UNLABELLED
WF02,COMP,2023-02-13T00:00:00+00:00,2023-02-20T00:00:00+00:00,0.16941128036228914,-0.1894032740714664,UNLABELLED
WF02,PAXG,2023-02-20T00:00:00+00:00,2023-03-06T00:00:00+00:00,0.013083690503045364,0.07326848819590404,UNLABELLED
WF02,FTT,2023-03-06T00:00:00+00:00,2023-03-20T00:00:00+00:00,0.1346456692913387,0.35114503816793885,TERMINAL_IMPAIRMENT
WF02,COMP,2023-03-20T00:00:00+00:00,2023-03-27T00:00:00+00:00,-0.07335069444444431,-0.07306791569086657,UNLABELLED
WF02,FTT,2023-03-27T00:00:00+00:00,2023-04-03T00:00:00+00:00,0.002309468822170979,0.15591397849462352,TERMINAL_IMPAIRMENT
WF02,COMP,2023-04-03T00:00:00+00:00,2023-04-10T00:00:00+00:00,0.01158118648073736,-0.09509345794392521,UNLABELLED
WF02,FTT,2023-04-10T00:00:00+00:00,2023-04-17T00:00:00+00:00,0.552274541101357,-0.4370179948586118,TERMINAL_IMPAIRMENT
WF02,COMP,2023-04-17T00:00:00+00:00,2023-05-22T00:00:00+00:00,-0.25538793103448276,-0.19073806078147604,UNLABELLED
WF02,FTT,2023-05-22T00:00:00+00:00,2023-06-12T00:00:00+00:00,-0.18986083499005968,0.7791411042944787,TERMINAL_IMPAIRMENT
WF02,COMP,2023-06-12T00:00:00+00:00,2023-06-26T00:00:00+00:00,0.43990843189622275,0.8577106518282989,UNLABELLED
WF02,LRC,2023-06-26T00:00:00+00:00,2024-01-01T00:00:00+00:00,0.24364847980008308,-0.20997990622906892,UNLABELLED
WF03,ZEC,2024-01-01T00:00:00+00:00,2024-02-26T00:00:00+00:00,0.03043365166660461,0.07454020915975468,UNLABELLED
WF03,LRC,2024-01-08T00:00:00+00:00,2024-03-04T00:00:00+00:00,0.4544293015332199,0.12064421669106862,UNLABELLED
WF03,PAXG,2024-02-19T00:00:00+00:00,2024-04-15T00:00:00+00:00,0.2023622007619028,-0.019428691011823873,UNLABELLED
WF03,LPT,2024-02-26T00:00:00+00:00,2024-05-20T00:00:00+00:00,0.29251177016392305,0.17042977017239735,UNLABELLED
WF03,ZEC,2024-03-04T00:00:00+00:00,2024-07-15T00:00:00+00:00,-0.07138566596060825,0.39754196030368005,UNLABELLED
WF03,UMA,2024-03-11T00:00:00+00:00,2024-05-13T00:00:00+00:00,-0.08037974683544313,-0.28905712319339294,UNLABELLED
WF03,PAXG,2024-05-13T00:00:00+00:00,2024-06-24T00:00:00+00:00,-0.014496835618601267,0.044571948209414014,UNLABELLED
WF03,PAXG,2024-07-15T00:00:00+00:00,2024-08-05T00:00:00+00:00,0.025979737228967625,0.015879754741474406,UNLABELLED
WF03,FTT,2024-08-05T00:00:00+00:00,2024-08-12T00:00:00+00:00,0.023615635179152994,0.010342084327764622,TERMINAL_IMPAIRMENT
WF03,1INCH,2024-08-12T00:00:00+00:00,2024-11-25T00:00:00+00:00,0.5581778912232476,-0.042516192444366,UNLABELLED
