source_name,available,byte_count,line_count,sha256,normalized_text_sha256,contains_bf01,contains_equal_weight
BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,True,481196,11878,e3a43e211eb3195beef353bd61410d3a3ca6af13349adb3404f38d9012530eae,274b65dd4c6bde9f940ca6204ac20c45244271d799387f48723edbf9ddc22fcb,True,True
BF01_DEBUG_BUNDLE_FOR_CHATGPT.md,True,72708,1378,ae1fc8966d64a98f264bb4f209817554018b4e7307a888a2a3f6f0fcb5b67da9,5be76d3697653807303d46e48cb093f3ce99d8a4d91c08c3da74d06d7cf1fa5f,True,True
