artifact,sha256,size_bytes,status
ams-rd06-s1-quintile-detail-v1.parquet,a007ce57fabe97dd49e19a6c1afb907709630becce6ec802a823062eda1de719,3181384,PASS
ams-rd06-s1-quintile-summary-v1.csv,eb43dafc8a42b7e48562ac6cf47746cf0c0ff9d595442568ee9f30ddb5663f04,83375,PASS
ams-rd06-s1-intraweek-signal-diagnostic-v1.json,37af9ab1f78fef27e52044c6abab574e0f47ec3e1dff232a382a80c9433c8acc,462,PASS
ams-rd06-p1-feature-panel-v1.parquet,08c43deecacb048acb30f39d23ed315db761bf1e28d8ec0db68fae6beb39089f,13381950,PASS
