signal_id,grid_id,quintile,decision_count,mean_return,median_return,positive_return_share
MKT_PIT_EW_RETURN_6BAR,PRIMARY_GRID,1,146,0.0020442251857022437,0.0015394670976569863,0.5136986301369864
MKT_PIT_EW_RETURN_6BAR,PRIMARY_GRID,2,146,0.004406496576956329,0.008286772449108012,0.6232876712328768
MKT_PIT_EW_RETURN_6BAR,PRIMARY_GRID,3,145,-0.000479908953089129,0.00025004696311060616,0.5103448275862069
MKT_PIT_EW_RETURN_6BAR,PRIMARY_GRID,4,146,0.0010753452864047926,0.0014259749017621077,0.5136986301369864
MKT_PIT_EW_RETURN_6BAR,PRIMARY_GRID,5,145,0.002657082091909339,0.0018455331671190845,0.5241379310344828
MKT_PIT_EW_RETURN_6BAR,REPLICATION_A,1,146,0.0032483045348814907,0.007394473175564272,0.5753424657534246
MKT_PIT_EW_RETURN_6BAR,REPLICATION_A,2,145,-0.00016920822175113537,0.0030080928969066665,0.5517241379310345
MKT_PIT_EW_RETURN_6BAR,REPLICATION_A,3,146,0.0028486826758790966,0.0012260525761928045,0.5342465753424658
MKT_PIT_EW_RETURN_6BAR,REPLICATION_A,4,145,0.002504285048189146,0.000729528575465362,0.5103448275862069
MKT_PIT_EW_RETURN_6BAR,REPLICATION_A,5,145,0.0011999372410407068,-0.0019002127020623428,0.4689655172413793
MKT_PIT_EW_RETURN_6BAR,REPLICATION_B,1,146,0.0014306467417048803,0.002638702006877656,0.5753424657534246
MKT_PIT_EW_RETURN_6BAR,REPLICATION_B,2,145,-0.0011427774848892576,-0.0010138126709542505,0.47586206896551725
MKT_PIT_EW_RETURN_6BAR,REPLICATION_B,3,146,0.0008211852918322643,0.0026026500719272946,0.547945205479452
MKT_PIT_EW_RETURN_6BAR,REPLICATION_B,4,145,0.0014119569796661809,0.00043975110822194925,0.5172413793103449
MKT_PIT_EW_RETURN_6BAR,REPLICATION_B,5,145,0.007062839830694045,0.006142785962077901,0.5724137931034483
MKT_PIT_EW_RETURN_18BAR,PRIMARY_GRID,1,146,0.0008982608025657764,0.003198166254595706,0.5616438356164384
MKT_PIT_EW_RETURN_18BAR,PRIMARY_GRID,2,146,0.0020688578885512464,0.002128147470725609,0.5273972602739726
MKT_PIT_EW_RETURN_18BAR,PRIMARY_GRID,3,145,-0.00022319283557075792,-0.0014118152258314292,0.4896551724137931
MKT_PIT_EW_RETURN_18BAR,PRIMARY_GRID,4,146,0.000943061590955559,-0.00041641312995675713,0.5
MKT_PIT_EW_RETURN_18BAR,PRIMARY_GRID,5,145,0.006041189891498929,0.0066902183708079065,0.6068965517241379
MKT_PIT_EW_RETURN_18BAR,REPLICATION_A,1,146,0.0006817628795829702,0.0009127761962112291,0.5205479452054794
MKT_PIT_EW_RETURN_18BAR,REPLICATION_A,2,145,-0.0005199193140411955,0.000474262337878865,0.5172413793103449
MKT_PIT_EW_RETURN_18BAR,REPLICATION_A,3,146,0.0008105159775583893,0.0013161695163766234,0.5342465753424658
MKT_PIT_EW_RETURN_18BAR,REPLICATION_A,4,145,-0.0002652666538872929,-0.0016214458599845161,0.47586206896551725
MKT_PIT_EW_RETURN_18BAR,REPLICATION_A,5,145,0.008956664998361737,0.006206983770111118,0.593103448275862
MKT_PIT_EW_RETURN_18BAR,REPLICATION_B,1,146,-0.0008323418411246667,0.0003176775570299347,0.5136986301369864
MKT_PIT_EW_RETURN_18BAR,REPLICATION_B,2,145,0.00270685940024409,0.003899699752548458,0.593103448275862
MKT_PIT_EW_RETURN_18BAR,REPLICATION_B,3,146,-0.0011052828709265622,-0.002099611202167018,0.4726027397260274
MKT_PIT_EW_RETURN_18BAR,REPLICATION_B,4,145,0.0011117345394638632,0.003941440221466034,0.5517241379310345
MKT_PIT_EW_RETURN_18BAR,REPLICATION_B,5,145,0.00773177493649338,0.003227507307878967,0.5586206896551724
MKT_PIT_EW_RETURN_42BAR,PRIMARY_GRID,1,146,0.002299200024164133,0.003958368093309017,0.5753424657534246
MKT_PIT_EW_RETURN_42BAR,PRIMARY_GRID,2,146,0.001003759854294999,0.0019802515007498024,0.5342465753424658
MKT_PIT_EW_RETURN_42BAR,PRIMARY_GRID,3,145,-0.003898227601508809,-0.0021161048315866625,0.4689655172413793
MKT_PIT_EW_RETURN_42BAR,PRIMARY_GRID,4,146,0.0012796710445493686,0.0028848452467421497,0.547945205479452
MKT_PIT_EW_RETURN_42BAR,PRIMARY_GRID,5,145,0.009039136425873917,0.0061750059841714664,0.5586206896551724
