regime_id,available_rows,total_rows
BTC_TREND_STATE,98460,98460
BTC_REALIZED_VOLATILITY_TERCILE,90360,98460
CROSS_SECTIONAL_DISPERSION_TERCILE,90360,98460
AVERAGE_PAIRWISE_CORRELATION_TERCILE,90360,98460
MARKET_BREADTH_TERCILE,90360,98460
PIT_UNIVERSE_SIZE_TERCILE,90360,98460
