variant_id,cost_mode,scenario,compounded_return
MD01-M01,ZERO_COST,TOP_1_CONTRIBUTOR_REMOVAL,0.9860831721193808
MD01-M01,ZERO_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.3200025745313566
MD01-M01,BASE_COST,TOP_1_CONTRIBUTOR_REMOVAL,0.7128708595071975
MD01-M01,BASE_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.4263425791391917
MD01-M01,STRESS_0_4_PERCENT,TOP_1_CONTRIBUTOR_REMOVAL,0.4771223527073438
MD01-M01,STRESS_0_4_PERCENT,TOP_3_CONTRIBUTOR_REMOVAL,-0.516896065199268
MD01-M02,ZERO_COST,TOP_1_CONTRIBUTOR_REMOVAL,-0.2984773681639694
MD01-M02,ZERO_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.6032931188823207
MD01-M02,BASE_COST,TOP_1_CONTRIBUTOR_REMOVAL,-0.35948152781585874
MD01-M02,BASE_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.6366078967298484
MD01-M02,STRESS_0_4_PERCENT,TOP_1_CONTRIBUTOR_REMOVAL,-0.41509789849292733
MD01-M02,STRESS_0_4_PERCENT,TOP_3_CONTRIBUTOR_REMOVAL,-0.6669969207694781
MD01-M03,ZERO_COST,TOP_1_CONTRIBUTOR_REMOVAL,1.0424774855547008
MD01-M03,ZERO_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.36280116885604663
MD01-M03,BASE_COST,TOP_1_CONTRIBUTOR_REMOVAL,0.7656474504089821
MD01-M03,BASE_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.4567086787765038
MD01-M03,STRESS_0_4_PERCENT,TOP_1_CONTRIBUTOR_REMOVAL,0.5257782403927229
MD01-M03,STRESS_0_4_PERCENT,TOP_3_CONTRIBUTOR_REMOVAL,-0.5373505940071457
MD01-M04,ZERO_COST,TOP_1_CONTRIBUTOR_REMOVAL,-0.5612136376293069
MD01-M04,ZERO_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.8318910620710195
MD01-M04,BASE_COST,TOP_1_CONTRIBUTOR_REMOVAL,-0.5976119280725523
MD01-M04,BASE_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.8461047021462057
MD01-M04,STRESS_0_4_PERCENT,TOP_1_CONTRIBUTOR_REMOVAL,-0.6310516108025654
MD01-M04,STRESS_0_4_PERCENT,TOP_3_CONTRIBUTOR_REMOVAL,-0.8591296374404337
MD01-M05,ZERO_COST,TOP_1_CONTRIBUTOR_REMOVAL,1.473236704559242
MD01-M05,ZERO_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.26064072868825494
MD01-M05,BASE_COST,TOP_1_CONTRIBUTOR_REMOVAL,1.1550773128159775
MD01-M05,BASE_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.3652655377040942
MD01-M05,STRESS_0_4_PERCENT,TOP_1_CONTRIBUTOR_REMOVAL,0.8771636732827095
MD01-M05,STRESS_0_4_PERCENT,TOP_3_CONTRIBUTOR_REMOVAL,-0.45585054619090926
MD01-M06,ZERO_COST,TOP_1_CONTRIBUTOR_REMOVAL,-0.6271682259269096
MD01-M06,ZERO_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.8342115597882439
MD01-M06,BASE_COST,TOP_1_CONTRIBUTOR_REMOVAL,-0.6555613259195175
MD01-M06,BASE_COST,TOP_3_CONTRIBUTOR_REMOVAL,-0.8470867459599968
MD01-M06,STRESS_0_4_PERCENT,TOP_1_CONTRIBUTOR_REMOVAL,-0.6818462057370841
MD01-M06,STRESS_0_4_PERCENT,TOP_3_CONTRIBUTOR_REMOVAL,-0.8589763387111257
