canonical_symbol,status,row_count,first_bar_open_time,last_bar_close_time,missing_internal_bar_count,source_pairs,alias_transition_count,invalid_alias_transition_count
CRO,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,CRO-USDT,0,0
MATIC,SOURCE_REQUEST_INCOMPLETE,2512,2023-11-09T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,POL-USDT,0,0
XVG,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
FTT,COMPLETE,7168,2021-09-24T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,FTT-USDT,0,0
BCH,SOURCE_REQUEST_INCOMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,BCH-USDT,0,0
ICP,COMPLETE,7984,2021-05-11T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,ICP-USDT,0,0
ETC,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,ETC-USDT,0,0
LEO,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
QNT,COMPLETE,8541,2021-02-07T12:00:00+00:00,2025-01-01T00:00:00+00:00,0,QNT-USDT,0,0
ALGO,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,ALGO-USDT,0,0
HT,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
LDO,COMPLETE,5446,2022-07-08T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,LDO-USDT,0,0
GNO,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
CRV,COMPLETE,8644,2021-01-21T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,CRV-USDT,0,0
MANA,COMPLETE,8314,2021-03-17T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,MANA-USDT,0,0
MKR,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
NEO,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,NEO-USDT,0,0
XTZ,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,XTZ-USDT,0,0
BSV,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
1INCH,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,1INCH-USDT,0,0
FLOW,COMPLETE,7228,2021-09-14T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,FLOW-USDT,0,0
XAUT,NO_DATA,0,,,0,,0,0
COMP,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,COMP-USDT,0,0
DASH,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,DASH-USDT,0,0
LRC,COMPLETE,8566,2021-02-03T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,LRC-USDT,0,0
BTG,NO_DATA,0,,,0,,0,0
ZRX,COMPLETE,2434,2023-11-22T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,ZRX-USDT,0,0
PAXG,COMPLETE,6886,2021-11-10T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,PAXG-USDT,0,0
UMA,COMPLETE,8766,2021-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,UMA-USDT,0,0
ELF,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
LPT,COMPLETE,7684,2021-06-30T08:00:00+00:00,2025-01-01T00:00:00+00:00,0,LPT-USDT,0,0
BAT,COMPLETE,8538,2021-02-08T00:00:00+00:00,2025-01-01T00:00:00+00:00,0,BAT-USDT,0,0
POWR,SOURCE_REQUEST_INCOMPLETE,0,,,0,,0,0
