signal_id,mean_top_quintile_excess,quantile_monotonicity
XSM_RETURN_7D,0.005123764393559444,0.03653846153846152
XSM_RETURN_28D,-0.002011116652697995,-0.025961538461538466
XSM_RETURN_84D,-0.004381488863721205,-0.044230769230769226
XSM_28D_SKIP_1D,-0.0025636831016159784,-0.01153846153846154
TSM_RETURN_28D,-0.002011116652697995,-0.025961538461538466
TSM_RETURN_84D,-0.004381488863721205,-0.044230769230769226
EMA_20_50_TREND_STATE,-0.008831003110456141,-0.08365384615384615
MULTI_HORIZON_TREND_AGREEMENT,0.0015679378170460638,-0.03942307692307692
REVERSAL_1D_VOL_NORMALIZED,0.0006031495428449089,0.07211538461538461
REVERSAL_3D_VOL_NORMALIZED,-0.005161827878458237,-0.0625
DISTANCE_FROM_EMA20_ATR,-0.003029259987126509,-0.011538461538461523
RSI14_OVEREXTENSION,-0.00423271640612962,0.025961538461538463
DONCHIAN_20_POSITION,-0.0035097098236155097,8.540177112501205e-18
DONCHIAN_55_POSITION,-0.003731165182274001,-0.036538461538461534
VOLATILITY_CONTRACTION_BREAKOUT,0.005341792416667931,-0.03653846153846153
ATR_EXPANSION_WITH_POSITIVE_RETURN,-0.000435442634043659,-0.04326923076923079
RETURN_PATH_EFFICIENCY_28D,0.0011567858664197467,-0.011538461538461544
OLS_TREND_TSTAT_28D,-0.004615682069107782,0.0019230769230769227
POSITIVE_BAR_BREADTH_28D,0.007800094482365604,0.0019230769230769206
DRAWDOWN_ADJUSTED_MOMENTUM_28D,0.0012890491846464988,-0.04038461538461539
VOLUME_ZSCORE_30D,0.0027494888308048906,-0.0067307692307692285
VOLUME_ACCELERATION_7D_30D,0.0034111770064302596,0.08942307692307691
PRICE_VOLUME_CONFIRMATION_28D,-0.002071314508517553,-0.053846153846153835
QUOTE_TURNOVER_CHANGE_7D_30D,nan,nan
BTC_RELATIVE_RETURN_28D,-0.002011116652697995,-0.025961538461538466
MARKET_RESIDUAL_MOMENTUM_28D,nan,nan
BETA_ADJUSTED_MOMENTUM_28D,-0.0006190004475150639,-0.004807692307692308
IDIOSYNCRATIC_STRENGTH_28D,nan,nan
REALIZED_VOLATILITY_28D,-0.00010054879727215319,-0.06826923076923076
DOWNSIDE_VOLATILITY_28D,-0.0023648053534320135,-0.1471153846153846
MAX_DRAWDOWN_28D,0.0014762618874868728,0.08846153846153845
ILLIQUIDITY_PROXY_30D,-0.0015779836464993847,0.033653846153846166
AGE_OR_TENURE,0.0038059190077463006,0.03461538461538463
