source_id,endpoint,request_parameters,request_timestamp_utc,http_status,response_headers,raw_sha256,row_count,pilot_start,pilot_end,status,notes
COIN_METRICS_COMMUNITY,https://community-api.coinmetrics.io/v4/catalog-v2/asset-metrics,"{""assets"": [""1INCH"", ""AAVE"", ""ADA"", ""ALGO"", ""AVAX"", ""BAL"", ""BAT"", ""BCH"", ""BTC"", ""COMP"", ""CRO"", ""CRV"", ""DASH"", ""DOGE"", ""DOT"", ""ETC"", ""ETH"", ""FLOW"", ""FTT"", ""ICP"", ""LDO"", ""LINK"", ""LPT"", ""LRC"", ""LTC"", ""MANA"", ""MATIC"", ""NEO"", ""PAXG"", ""QNT"", ""SHIB"", ""SNX"", ""SUSHI"", ""UMA"", ""UNI"", ""XLM"", ""XMR"", ""XRP"", ""XTZ"", ""ZEC"", ""ZRX""]}",2026-07-29T00:39:13.332412+00:00,200,{},4a20b21a3ef3b165ec5e66095502f9a33370c3fcae8cd65efaa191159119e614,41,,,PASS_CATALOG_METADATA_ONLY,Catalog metadata is not a market observation or predictive input.
COIN_METRICS_COMMUNITY,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,"{""assets"": ""btc,eth,ada"", ""end_time"": ""2022-03-31"", ""frequency"": ""1d"", ""metrics"": ""AdrActCnt,BlkCnt,FeeTotNtv,HashRate,IssTotNtv,SplyCur,TxCnt"", ""page_size"": ""10000"", ""start_time"": ""2022-03-01""}",2026-07-29T00:39:13.340064+00:00,200,{},1192c7778862ba6e089bb6bde5dc6599f8b40babfd105c321900bf003aa7334e,93,2022-03-01,2022-03-31,PASS,Bounded Community API request; no observation after 2024.
COIN_METRICS_COMMUNITY,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,"{""assets"": ""btc,eth,ada"", ""end_time"": ""2023-03-31"", ""frequency"": ""1d"", ""metrics"": ""AdrActCnt,BlkCnt,FeeTotNtv,HashRate,IssTotNtv,SplyCur,TxCnt"", ""page_size"": ""10000"", ""start_time"": ""2023-03-01""}",2026-07-29T00:39:13.346163+00:00,200,{},68244fc76735beb7958301f3dc9fde568c9e153a42f66af635a65345e1ec4806,93,2023-03-01,2023-03-31,PASS,Bounded Community API request; no observation after 2024.
COIN_METRICS_COMMUNITY,https://community-api.coinmetrics.io/v4/timeseries/asset-metrics,"{""assets"": ""btc,eth,ada"", ""end_time"": ""2024-03-31"", ""frequency"": ""1d"", ""metrics"": ""AdrActCnt,BlkCnt,FeeTotNtv,HashRate,IssTotNtv,SplyCur,TxCnt"", ""page_size"": ""10000"", ""start_time"": ""2024-03-01""}",2026-07-29T00:39:13.350345+00:00,200,{},8361838d06e22c93170542d30133ebde0d12ebc8eab8a02904e616977de727c1,93,2024-03-01,2024-03-31,PASS,Bounded Community API request; no observation after 2024.
DEFILLAMA_FREE_API,OFFICIAL_FREE_API_DOCUMENTATION_ONLY,{},2026-07-29T00:39:13.353706+00:00,,{},,0,2022-03-01,2022-03-31,SKIPPED_RESEARCH_LOCK_UNBOUNDED_ENDPOINT,Free historical endpoints do not document a bounded end parameter.
DEFILLAMA_FREE_API,OFFICIAL_FREE_API_DOCUMENTATION_ONLY,{},2026-07-29T00:39:13.353719+00:00,,{},,0,2023-03-01,2023-03-31,SKIPPED_RESEARCH_LOCK_UNBOUNDED_ENDPOINT,Free historical endpoints do not document a bounded end parameter.
DEFILLAMA_FREE_API,OFFICIAL_FREE_API_DOCUMENTATION_ONLY,{},2026-07-29T00:39:13.353722+00:00,,{},,0,2024-03-01,2024-03-31,SKIPPED_RESEARCH_LOCK_UNBOUNDED_ENDPOINT,Free historical endpoints do not document a bounded end parameter.
DUNE_RAW_ONCHAIN,NO_QUERY_EXECUTED,{},2026-07-29T00:39:13.353725+00:00,,{},,0,2022-03-01,2022-03-31,SKIPPED_CREDENTIAL_REQUIRED,No private credential or paid query was authorized.
DUNE_RAW_ONCHAIN,NO_QUERY_EXECUTED,{},2026-07-29T00:39:13.353727+00:00,,{},,0,2023-03-01,2023-03-31,SKIPPED_CREDENTIAL_REQUIRED,No private credential or paid query was authorized.
DUNE_RAW_ONCHAIN,NO_QUERY_EXECUTED,{},2026-07-29T00:39:13.353729+00:00,,{},,0,2024-03-01,2024-03-31,SKIPPED_CREDENTIAL_REQUIRED,No private credential or paid query was authorized.
