namespace,metric,schema_contract_available,pilot_observed_available,observed_nonnull_days,total_pilot_days,optional_under_namespace_contract,metric_family,missing_reason
bitcoin,successful_transaction_count,True,True,93,93,False,TRANSACTION_ACTIVITY,
bitcoin,unique_sending_addresses,False,False,0,93,True,TRANSACTION_ACTIVITY,NOT_EXPOSED_BY_REGISTERED_NAMESPACE_SCHEMA
bitcoin,unique_receiving_addresses,False,False,0,93,True,TRANSACTION_ACTIVITY,NOT_EXPOSED_BY_REGISTERED_NAMESPACE_SCHEMA
bitcoin,unique_active_addresses,False,False,0,93,True,TRANSACTION_ACTIVITY,NOT_EXPOSED_BY_REGISTERED_NAMESPACE_SCHEMA
bitcoin,native_fees_paid,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
bitcoin,block_count,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
bitcoin,native_transfer_count,True,True,93,93,False,TRANSACTION_ACTIVITY,
ethereum,successful_transaction_count,True,True,93,93,False,TRANSACTION_ACTIVITY,
ethereum,unique_sending_addresses,True,True,93,93,False,TRANSACTION_ACTIVITY,
ethereum,unique_receiving_addresses,True,True,93,93,False,TRANSACTION_ACTIVITY,
ethereum,unique_active_addresses,True,True,93,93,False,TRANSACTION_ACTIVITY,
ethereum,native_fees_paid,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
ethereum,block_count,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
ethereum,native_transfer_count,True,True,93,93,False,TRANSACTION_ACTIVITY,
cardano,successful_transaction_count,True,True,93,93,False,TRANSACTION_ACTIVITY,
cardano,unique_sending_addresses,False,False,0,93,True,TRANSACTION_ACTIVITY,NOT_EXPOSED_BY_REGISTERED_NAMESPACE_SCHEMA
cardano,unique_receiving_addresses,False,False,0,93,True,TRANSACTION_ACTIVITY,NOT_EXPOSED_BY_REGISTERED_NAMESPACE_SCHEMA
cardano,unique_active_addresses,False,False,0,93,True,TRANSACTION_ACTIVITY,NOT_EXPOSED_BY_REGISTERED_NAMESPACE_SCHEMA
cardano,native_fees_paid,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
cardano,block_count,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
cardano,native_transfer_count,True,True,4,93,True,TRANSACTION_ACTIVITY,
avalanche_c,successful_transaction_count,True,True,93,93,False,TRANSACTION_ACTIVITY,
avalanche_c,unique_sending_addresses,True,True,93,93,False,TRANSACTION_ACTIVITY,
avalanche_c,unique_receiving_addresses,True,True,93,93,False,TRANSACTION_ACTIVITY,
avalanche_c,unique_active_addresses,True,True,93,93,False,TRANSACTION_ACTIVITY,
avalanche_c,native_fees_paid,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
avalanche_c,block_count,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
avalanche_c,native_transfer_count,True,True,93,93,False,TRANSACTION_ACTIVITY,
polkadot,successful_transaction_count,True,True,93,93,False,TRANSACTION_ACTIVITY,
polkadot,unique_sending_addresses,True,True,93,93,False,TRANSACTION_ACTIVITY,
polkadot,unique_receiving_addresses,False,False,0,93,True,TRANSACTION_ACTIVITY,NOT_EXPOSED_BY_REGISTERED_NAMESPACE_SCHEMA
polkadot,unique_active_addresses,False,False,0,93,True,TRANSACTION_ACTIVITY,NOT_EXPOSED_BY_REGISTERED_NAMESPACE_SCHEMA
polkadot,native_fees_paid,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
polkadot,block_count,True,True,93,93,False,FEES_OR_BLOCK_PRODUCTION,
polkadot,native_transfer_count,True,True,93,93,False,TRANSACTION_ACTIVITY,
