candidate_id,fold_id,trade_count,row_count,activated_count,changed_exit_count,changed_exit_rate,mean_delta_net_return,median_delta_net_return,total_delta_net_pnl,improved_trade_count,worsened_trade_count,rescued_winner_to_loser_count,new_loser_count,mean_holding_hours_saved,exit_rule_authorized
PP10_BREAKEVEN,WF01,29,29,15,8,0.27586206896551724,0.022717708432070452,0.0,11024.13045039954,7,1,0,1,229.5,False
PP10_BREAKEVEN,WF02,59,59,27,11,0.1864406779661017,-0.03371353089211596,0.0,-58242.3072150866,4,7,0,7,299.27272727272725,False
PP10_BREAKEVEN,WF03,59,59,32,13,0.22033898305084745,-0.040559314980961846,0.0,-87466.71383611238,6,7,0,6,420.61538461538464,False
PP10_FIXED_05,WF01,29,29,15,13,0.4482758620689655,0.033872390936997315,0.0,16717.10132571924,11,2,6,0,187.3846153846154,False
PP10_FIXED_05,WF02,59,59,27,14,0.23728813559322035,-0.02642982790339182,0.0,-46603.273103012434,8,6,4,1,354.0,False
PP10_FIXED_05,WF03,59,59,32,19,0.3220338983050847,-0.045428827546722415,0.0,-90207.21256093383,8,11,6,1,408.2105263157895,False
PP10_RETAIN_25,WF01,29,29,15,11,0.3793103448275862,0.03309421881844682,0.0,16099.076298413609,8,3,6,1,202.54545454545453,False
PP10_RETAIN_25,WF02,59,59,27,15,0.2542372881355932,-0.026750758877387676,0.0,-46570.992220089334,9,6,3,0,357.8666666666667,False
PP10_RETAIN_25,WF03,59,59,32,17,0.288135593220339,-0.045364878124327816,0.0,-94390.83392898408,9,8,5,1,496.47058823529414,False
PP10_RETAIN_50,WF01,29,29,15,14,0.4827586206896552,0.04147500849781026,0.0,21194.040420835583,11,3,6,0,210.57142857142858,False
PP10_RETAIN_50,WF02,59,59,27,20,0.3389830508474576,-0.03993763268097368,0.0,-72913.36992798091,12,8,4,0,427.4,False
PP10_RETAIN_50,WF03,59,59,32,28,0.4745762711864407,-0.08510000558542084,0.0,-185804.6068258979,10,18,6,0,445.7142857142857,False
