alignment_tier,trade_count,win_rate,mean_net_return,median_net_return,total_net_pnl,profit_factor,mean_holding_hours,median_holding_hours,mean_mfe,median_mfe,mean_mae,median_mae,mfe_10pct_count,mfe_10pct_rate,deep_mae_10pct_count,deep_mae_10pct_rate,best_case_mean_without_worst_trade,worst_case_mean_without_best_trade,maximum_absolute_pnl_share
FOUR_HOUR_ONLY,5,0.4,0.10194195282805178,-0.041140934116543196,7063.313701728346,7.577604766104389,126.4,132.0,0.1861971692416975,0.0569267022200175,-0.06649800780053239,-0.05211227402473828,2,0.4,1,0.2,0.14757231809231078,-0.01787885100995847,0.8220054833404049
FULL,117,0.46153846153846156,0.07549763097090081,-0.03275399445184204,299452.6566511273,2.2199236651662364,383.1111111111111,304.0,0.2856004365985436,0.11577758381680958,-0.12378758876755268,-0.10310077519379846,64,0.5470085470085471,62,0.5299145299145299,0.07884813353959204,0.05853397779928232,0.10206770600509192
MEDIUM,25,0.28,-0.04010804381787717,-0.028512556980554382,-22540.348380375293,0.3781403448947637,275.04,160.0,0.10883636812372488,0.05713503712066803,-0.13178912950199287,-0.08910891089108908,8,0.32,10,0.4,-0.03236385152108511,-0.06070826650232721,0.1546774786251291
