namespace,metric_bundle,registered_query_count,executed_query_count,acquired_day_count,expected_day_count,daily_availability_proven,causally_usable_asset_count,coverage_status
avalanche_c,NATIVE_CHAIN_ACTIVITY,3,0,0,93,False,0,NOT_ACQUIRED_CREDENTIAL_MISSING
bitcoin,NATIVE_CHAIN_ACTIVITY,3,0,0,93,False,0,NOT_ACQUIRED_CREDENTIAL_MISSING
cardano,NATIVE_CHAIN_ACTIVITY,3,0,0,93,False,0,NOT_ACQUIRED_CREDENTIAL_MISSING
ethereum,NATIVE_CHAIN_ACTIVITY,3,0,0,93,False,0,NOT_ACQUIRED_CREDENTIAL_MISSING
