weekly_low_weekday,weekly_path_count,share
MONDAY,37,0.24342105263157895
TUESDAY,20,0.13157894736842105
WEDNESDAY,26,0.17105263157894737
THURSDAY,21,0.13815789473684212
FRIDAY,17,0.1118421052631579
SATURDAY,10,0.06578947368421052
SUNDAY,21,0.13815789473684212
