fold_id,timestamp,m05_equity,m05_cash,m05_average_gross_exposure,m05_maximum_open_positions,m05_daily_return,btc_close,btc_daily_return,equal_weight_daily_return,exposure_matched_equal_weight_return,volatility_matched_equal_weight_exposure,volatility_matched_equal_weight_return,volatility_matched_btc_exposure,volatility_matched_btc_return
WF01,2022-01-02T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,47728.6,0.03271998684449673,0.04051806073003309,0.0,0.0,0.0,0.0,0.0
WF01,2022-01-03T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,47291.8,-0.009151745494315633,0.008485383819720036,0.0,0.0,0.0,0.0,-0.0
WF01,2022-01-04T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,46443.4,-0.017939685103971592,0.001476939658635659,0.0,0.0,0.0,0.0,-0.0
WF01,2022-01-05T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,45833.0,-0.013142879289629983,-0.023509525492495773,-0.0,0.0,-0.0,0.0,-0.0
WF01,2022-01-06T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,43456.8,-0.05184474068902312,-0.05577302331521322,-0.0,0.0,-0.0,0.0,-0.0
WF01,2022-01-07T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,43086.1,-0.008530310561293164,-0.006133829693305438,-0.0,0.0,-0.0,0.0,-0.0
WF01,2022-01-08T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,41561.4,-0.03538728267353042,-0.05012359988971327,-0.0,0.0,-0.0,0.0,-0.0
WF01,2022-01-09T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,41680.5,0.002865639752270166,-0.02417968120262192,-0.0,0.0,-0.0,0.0,0.0
WF01,2022-01-10T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,41877.6,0.004728830028430497,0.019747772655951207,0.0,0.0,0.0,0.0,0.0
WF01,2022-01-11T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,41816.3,-0.0014637897109670561,-0.025494020833540937,-0.0,0.0,-0.0,0.0,-0.0
WF01,2022-01-12T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,42734.6,0.021960336041208617,0.048058616409639224,0.0,0.0,0.0,0.0,0.0
WF01,2022-01-13T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,43916.9,0.027666106620864772,0.05056171255171661,0.0,0.0,0.0,0.0,0.0
WF01,2022-01-14T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,42569.6,-0.03067839487759849,-0.02398036752585705,-0.0,0.0,-0.0,0.0,-0.0
WF01,2022-01-15T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,43067.3,0.011691441780049772,0.028575140213943924,0.0,0.0,0.0,0.0,0.0
WF01,2022-01-16T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,43074.0,0.0001555704676168279,0.003997897970011155,0.0,0.0,0.0,0.0,0.0
WF01,2022-01-17T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,43072.6,-3.25022055068791e-05,0.01133326221433293,0.0,0.0,0.0,0.0,-0.0
WF01,2022-01-18T00:00:00+00:00,100000.0,100000.0,0.0,0.0,0.0,42202.2,-0.020207742276992846,-0.03474108003372674,-0.0,0.0,-0.0,0.0,-0.0
