universe_mode,portfolio_mode,cost_mode,transaction_cost,fold_id,status,initial_capital,final_equity,gross_return,net_return,cagr,maximum_drawdown,calmar,sharpe,sortino,profit_factor,expectancy,win_rate,payoff_ratio,trade_count,entries_per_year,rebalance_count,average_holding_hours,median_holding_hours,turnover,fees,break_even_fee,cluster_rejections,crisis_rejections,selection_expirations,natural_reselections,entries_by_alignment_tier,return_by_alignment_tier,per_symbol_pnl,per_symbol_trades,top_1_symbol_contribution,top_3_symbol_contribution,reconciliation_status,open_positions_after_fold
FIXED_SURVIVOR_30,CONTROL,ZERO_COST,0.0,WF01,PASS,100000.0,56565.230459581035,-0.43434769540418944,-0.4343476954041896,-0.4343476954041896,0.49594910321103036,-0.8757908676354056,-1.7289155587132476,-1.4483303816712287,0.216637985704448,-1497.7506738075497,0.27586206896551724,0.568674712474176,29,29,52,263.58620689655174,160.0,951329.4013830138,0.0,-0.0456569191252523,124,54,0,12,"{""FOUR_HOUR_ONLY"":3,""FULL"":19,""MEDIUM"":7}","{""FOUR_HOUR_ONLY"":-59.93761209660994,""FULL"":-39092.14662561628,""MEDIUM"":-4282.6853027060515}","{""AAVE"":-6091.551299884136,""AVAX"":1027.279665177087,""BNB"":-3407.006397074943,""BTC"":-1431.9687440943544,""DEXE"":-989.4674344476339,""DOGE"":-7743.21200129562,""ETH"":-357.96234151557235,""LTC"":-2081.3438266625826,""NEAR"":-743.7430908115994,""SHIB"":188.65359565254835,""SNX"":-18665.03513227054,""SOL"":-270.7472612512486,""TRX"":-15.120866688076104,""UNI"":1390.350123666578,""XMR"":-736.4305541292069,""XRP"":-1142.4380256539014,""ZEC"":-2365.0259491357474}","{""AAVE"":3,""AVAX"":1,""BNB"":1,""BTC"":1,""DEXE"":2,""DOGE"":3,""ETH"":1,""LTC"":1,""NEAR"":2,""SHIB"":1,""SNX"":5,""SOL"":1,""TRX"":1,""UNI"":2,""XMR"":2,""XRP"":1,""ZEC"":1}",0.5334608400365214,1.0,PASS,0
FIXED_SURVIVOR_30,CONTROL,ZERO_COST,0.0,WF02,PASS,100000.0,220633.37625800841,1.2063337625800845,1.2063337625800843,1.2063337625800843,0.36507978053862666,3.3043017633030765,1.7412637204776806,2.3735373791320793,2.548854278275887,2044.6334958984482,0.4576271186440678,3.0208643298084588,59,59,52,368.54237288135596,228.0,3061950.2211345118,0.0,0.039397562842583195,177,2,0,35,"{""FOUR_HOUR_ONLY"":1,""FULL"":48,""MEDIUM"":10}","{""FOUR_HOUR_ONLY"":-358.36594335043014,""FULL"":117319.87462630359,""MEDIUM"":3671.867575055309}","{""AAVE"":6011.709614650891,""ADA"":1048.7109926514381,""AVAX"":42742.45373781168,""BNB"":-593.187693034786,""BTC"":811.9645032355572,""DEXE"":544.1677104657151,""DOGE"":-1544.23909302826,""DOT"":-1960.874063844385,""ETH"":1566.0767850548561,""GRAM"":2240.057460496507,""LINK"":16274.121453913807,""LTC"":-4641.982086480322,""NEAR"":-14559.367547148482,""PEPE"":529.3112075465315,""SEI"":26170.014214315728,""SHIB"":-6369.543985963139,""SNX"":5966.720499603938,""SOL"":43836.83742219919,""SYN"":1585.1920632303231,""TRX"":1131.2773548087112,""UNI"":4032.7809157050824,""XLM"":-1676.719519928756,""XMR"":1561.2718780987739,""XRP"":-4073.3775663521465}","{""AAVE"":3,""ADA"":2,""AVAX"":2,""BNB"":1,""BTC"":3,""DEXE"":4,""DOGE"":1,""DOT"":1,""ETH"":1,""GRAM"":4,""LINK"":3,""LTC"":2,""NEAR"":3,""PEPE"":1,""SEI"":1,""SHIB"":2,""SNX"":5,""SOL"":5,""SYN"":1,""TRX"":3,""UNI"":2,""XLM"":3,""XMR"":3,""XRP"":3}",0.2809105287101397,0.7225080285642136,PASS,0
FIXED_SURVIVOR_30,CONTROL,ZERO_COST,0.0,WF03,PASS,100000.0,338010.9520029098,2.380109520029098,2.380109520029098,2.380109520029098,0.38845575691203593,6.127105796936518,1.8581678172871154,2.6508225350990835,2.612397310292126,4034.083932252709,0.4745762711864407,2.892297022109139,59,59,53,388.8813559322034,312.0,5244264.512511965,0.0,0.045385001354347074,121,2,0,33,"{""FOUR_HOUR_ONLY"":1,""FULL"":50,""MEDIUM"":8}","{""FOUR_HOUR_ONLY"":7978.662734950858,""FULL"":250609.23608376266,""MEDIUM"":-20576.94681580369}","{""AAVE"":-4643.736408200119,""ADA"":32372.917371251606,""AVAX"":-373.38217407365255,""BNB"":-485.7409722992217,""BTC"":1171.6861671495271,""DEXE"":61554.18220685116,""DOGE"":84468.59423671429,""ENA"":-6927.376107462283,""ETH"":2482.453593307308,""GRAM"":6894.504547054303,""LINK"":-57.21279942902055,""NEAR"":56.0651578721704,""ONDO"":-13184.337855952119,""PEPE"":15629.153707748581,""SEI"":-2344.2780072612513,""SHIB"":3958.9374721234713,""SOL"":-19838.05547926533,""SUI"":30054.84744348348,""SYN"":-15185.906361538066,""TAO"":1834.693325186824,""TRX"":-131.7708855583154,""UNI"":-6070.288505974759,""XLM"":64979.10703704089,""XMR"":-6278.137167912606,""XRP"":-13662.792725361323,""ZEC"":21736.825187414262}","{""AAVE"":3,""ADA"":2,""AVAX"":2,""BNB"":2,""BTC"":1,""DEXE"":2,""DOGE"":1,""ENA"":3,""ETH"":1,""GRAM"":3,""LINK"":1,""NEAR"":3,""ONDO"":2,""PEPE"":4,""SEI"":3,""SHIB"":1,""SOL"":3,""SUI"":5,""SYN"":3,""TAO"":1,""TRX"":4,""UNI"":3,""XLM"":1,""XMR"":1,""XRP"":2,""ZEC"":2}",0.25816061003263074,0.644883171664185,PASS,0
FIXED_SURVIVOR_30,TREATMENT,ZERO_COST,0.0,WF01,PASS,100000.0,75056.73720980853,-0.2494326279019143,-0.24943262790191467,-0.24943262790191467,0.31561580970538117,-0.7903046052564772,-1.5065257155969096,-1.0169143066867141,0.33683129867780753,-779.4769621934822,0.1875,1.4596022942704994,32,32,52,112.25,84.0,1185940.8536547136,0.0,-0.021032467777228336,124,62,1,15,"{""FOUR_HOUR_ONLY"":4,""FULL"":20,""MEDIUM"":8}","{""FOUR_HOUR_ONLY"":-253.10144766721896,""FULL"":-18760.88988715637,""MEDIUM"":-5929.271455367839}","{""AAVE"":-2363.039243355584,""AVAX"":1271.239093934901,""BNB"":-1037.4295328012531,""BTC"":-1302.018966255765,""DEXE"":-1171.3710951522512,""DOGE"":-9575.264369304608,""ETH"":-995.1151735271765,""LTC"":-2601.1516036090006,""NEAR"":3173.3811810268176,""SHIB"":-775.770861668842,""SNX"":-8450.188321660766,""SOL"":-400.1491281682469,""TRX"":-19.480081278534723,""UNI"":1743.2226179615227,""XMR"":614.0234129534765,""XRP"":-1172.368175966379,""ZEC"":-1881.7825433197374}","{""AAVE"":4,""AVAX"":1,""BNB"":1,""BTC"":1,""DEXE"":2,""DOGE"":3,""ETH"":1,""LTC"":3,""NEAR"":2,""SHIB"":1,""SNX"":5,""SOL"":1,""TRX"":1,""UNI"":2,""XMR"":2,""XRP"":1,""ZEC"":1}",0.4665456564891698,0.9097272152463555,PASS,0
FIXED_SURVIVOR_30,TREATMENT,ZERO_COST,0.0,WF02,PASS,100000.0,207699.7669888774,1.076997669888774,1.0769976698887742,1.0769976698887742,0.3457811401479183,3.114680197503126,1.7348745075683103,2.216643301501567,2.3379285433970476,1329.6267529491035,0.32098765432098764,4.945618072570678,81,81,52,188.79012345679013,80.0,3751208.3203630503,0.0,0.02871068674172006,177,2,0,57,"{""FOUR_HOUR_ONLY"":7,""FULL"":61,""MEDIUM"":13}","{""FOUR_HOUR_ONLY"":-1530.0004875331235,""FULL"":104864.95647034976,""MEDIUM"":4364.8110060607705}","{""AAVE"":-3093.379663271028,""ADA"":1851.2660305242086,""AVAX"":43086.33984911924,""BNB"":-214.38093583302373,""BTC"":-572.3834735935052,""DEXE"":-2181.803929154712,""DOGE"":-2535.0627234337016,""DOT"":-1415.1267843590854,""ETH"":1534.015945025902,""GRAM"":5886.67507954039,""LINK"":20245.1378507651,""LTC"":-2863.5735388714784,""NEAR"":-14320.848849532358,""PEPE"":-1092.7723555644457,""SEI"":24741.230233345566,""SHIB"":-3570.9211768293767,""SNX"":-236.88594493548408,""SOL"":42730.07940673962,""SYN"":-930.1853151619625,""TRX"":275.7333960399983,""UNI"":3855.529916650355,""XLM"":-415.75333987735735,""XMR"":1048.817375123704,""XRP"":-4111.980063579158}","{""AAVE"":5,""ADA"":3,""AVAX"":2,""BNB"":2,""BTC"":4,""DEXE"":5,""DOGE"":2,""DOT"":1,""ETH"":1,""GRAM"":4,""LINK"":3,""LTC"":4,""NEAR"":3,""PEPE"":2,""SEI"":1,""SHIB"":4,""SNX"":7,""SOL"":6,""SYN"":1,""TRX"":6,""UNI"":2,""XLM"":3,""XMR"":4,""XRP"":6}",0.2966258767964276,0.7611289292877299,PASS,0
FIXED_SURVIVOR_30,TREATMENT,ZERO_COST,0.0,WF03,PASS,100000.0,244551.5039803522,1.4455150398035217,1.4455150398035221,1.4455150398035221,0.40219335759098895,3.5940798437390917,1.557240563003852,2.1769752418835453,1.913643337683662,1901.9934734256865,0.32894736842105265,3.903832408874671,76,76,53,234.78947368421052,108.0,5531395.619228222,0.0,0.026132917247477766,121,4,0,50,"{""FOUR_HOUR_ONLY"":3,""FULL"":58,""MEDIUM"":15}","{""FOUR_HOUR_ONLY"":7613.464407222909,""FULL"":151703.29767392194,""MEDIUM"":-14765.258100792711}","{""AAVE"":2177.791690122342,""ADA"":24390.996993156325,""AVAX"":1568.0582702057725,""BNB"":-1924.7125499120184,""BTC"":1148.375109769243,""DEXE"":58008.12036040297,""DOGE"":61903.77585430915,""ENA"":-9059.099473741238,""ETH"":2474.865355963181,""GRAM"":6614.267827521469,""LINK"":-56.92454992617896,""NEAR"":-8287.94861601769,""ONDO"":-19191.617042228594,""PEPE"":12303.575923339633,""SEI"":-11573.699202689448,""SHIB"":3763.16317085205,""SOL"":-8828.480494589827,""SUI"":23663.329618700445,""SYN"":-3014.135607879413,""TAO"":-13596.170774413775,""TRX"":1091.1849786943428,""UNI"":-7783.186367692817,""XLM"":49467.13472915386,""XMR"":-3211.0240734945573,""XRP"":-18590.135785609527,""ZEC"":1093.9986363564512}","{""AAVE"":4,""ADA"":2,""AVAX"":2,""BNB"":2,""BTC"":1,""DEXE"":2,""DOGE"":1,""ENA"":3,""ETH"":1,""GRAM"":3,""LINK"":1,""NEAR"":5,""ONDO"":4,""PEPE"":4,""SEI"":4,""SHIB"":1,""SOL"":4,""SUI"":7,""SYN"":4,""TAO"":3,""TRX"":4,""UNI"":3,""XLM"":1,""XMR"":2,""XRP"":5,""ZEC"":3}",0.24794373943650305,0.6784153266061218,PASS,0
PIT_UNIVERSE,CONTROL,ZERO_COST,0.0,WF01,PASS,100000.0,41126.52520414399,-0.5887347479585598,-0.5887347479585601,-0.5887347479585601,0.6157344511742282,-0.9561504100279289,-2.3438872336631293,-1.958678002075496,0.07584616989726134,-1784.0446907835146,0.18181818181818182,0.34130776453767603,33,33,52,275.1515151515151,164.0,911373.1626930104,0.0,-0.06459864872681916,213,54,0,10,"{""FOUR_HOUR_ONLY"":3,""FULL"":22,""MEDIUM"":8}","{""FOUR_HOUR_ONLY"":-292.1434793276533,""FULL"":-50703.64907522558,""MEDIUM"":-7877.682241302754}","{""AAVE"":-5859.516845312266,""ALGO"":-5341.016434060527,""COMP"":-2005.4018603545735,""CRO"":-2324.7146364163073,""CRV"":-3073.9351461934702,""DASH"":-909.7292265324234,""DOGE"":-4458.4408068314615,""ETC"":-10322.595150210673,""ETH"":-278.3257448588629,""FTT"":-1802.7037908164339,""ICP"":-101.58252734021373,""LDO"":-3698.5435015348075,""LRC"":-130.48009806473598,""LTC"":-1599.354972823242,""MANA"":-5028.001041286995,""PAXG"":94.60290322902995,""QNT"":1840.9401559393261,""SHIB"":147.69797032013645,""SNX"":-10342.667921145454,""UNI"":469.63478365552976,""XMR"":-2688.6597949044067,""XRP"":-1100.247947156615,""ZEC"":-360.4331631565379}","{""AAVE"":2,""ALGO"":1,""COMP"":1,""CRO"":1,""CRV"":1,""DASH"":1,""DOGE"":2,""ETC"":3,""ETH"":1,""FTT"":1,""ICP"":1,""LDO"":1,""LRC"":2,""LTC"":1,""MANA"":1,""PAXG"":1,""QNT"":3,""SHIB"":1,""SNX"":4,""UNI"":1,""XMR"":1,""XRP"":1,""ZEC"":1}",0.7211240540808352,0.9629426144656364,PASS,0
PIT_UNIVERSE,CONTROL,ZERO_COST,0.0,WF02,PASS,100000.0,127828.0839167634,0.27828083916763346,0.2782808391676339,0.2782808391676339,0.4864511401600584,0.5720632889791776,0.7240349810496876,0.9589964652049746,1.433770367012669,488.2119985397078,0.43859649122807015,1.8352260697762162,57,57,52,350.8070175438597,296.0,2277651.40026784,0.0,0.01221788545582125,218,2,0,33,"{""FOUR_HOUR_ONLY"":1,""FULL"":47,""MEDIUM"":9}","{""FOUR_HOUR_ONLY"":4.267561609165698,""FULL"":33228.49489341956,""MEDIUM"":-5404.678538265382}","{""AAVE"":3136.2908894533152,""ADA"":-253.7964273179623,""ALGO"":-1463.2523625166814,""AVAX"":27397.634329881566,""BCH"":1045.5241295970989,""BTC"":1004.2284458068259,""COMP"":4724.49405748794,""CRO"":-272.8290173760481,""CRV"":-1775.54744612274,""DASH"":-112.02956268723418,""ETC"":1936.9504376649936,""FTT"":-10190.94252683457,""ICP"":8965.15247318199,""LDO"":-1460.5749741122713,""LINK"":13587.996713762392,""LRC"":-2631.040688178805,""LTC"":-2180.1529648837095,""MANA"":-3914.0097438437433,""NEO"":185.35751529346715,""PAXG"":415.1806786709821,""SHIB"":-3356.5741654543344,""SNX"":-768.5824512421723,""XLM"":-3014.769277227276,""XRP"":-3176.6241462396747}","{""AAVE"":2,""ADA"":2,""ALGO"":1,""AVAX"":1,""BCH"":4,""BTC"":4,""COMP"":1,""CRO"":3,""CRV"":1,""DASH"":1,""ETC"":1,""FTT"":4,""ICP"":4,""LDO"":3,""LINK"":2,""LRC"":2,""LTC"":1,""MANA"":2,""NEO"":3,""PAXG"":4,""SHIB"":2,""SNX"":4,""XLM"":2,""XRP"":3}",0.4390730283866657,0.8005085959227896,PASS,0
PIT_UNIVERSE,CONTROL,ZERO_COST,0.0,WF03,PASS,100000.0,113347.32668629232,0.133473266862923,0.13347326686292327,0.13347326686292327,0.5146756819154955,0.2593347064041744,0.5187546319172588,0.7223569909650508,1.1562651541993842,211.862328353846,0.4444444444444444,1.4453314427492303,63,63,53,353.14285714285717,252.0,2162099.0457085106,0.0,0.006173318799980524,147,3,0,33,"{""FOUR_HOUR_ONLY"":2,""FULL"":45,""MEDIUM"":16}","{""FOUR_HOUR_ONLY"":219.424093641689,""FULL"":28407.392614498094,""MEDIUM"":-15279.490021847489}","{""1INCH"":-1285.014637987873,""AAVE"":4577.036375229634,""ADA"":4777.683112038075,""ALGO"":-3393.51422983684,""AVAX"":-8328.939437728344,""BCH"":-5948.8829637487215,""BTC"":3396.99529387614,""CRO"":1209.214164161664,""CRV"":-7807.084109793791,""DOGE"":35296.542228222395,""ETC"":-1525.5234969910855,""ETH"":1978.8439682460323,""FTT"":25.4069828631948,""ICP"":-11595.443090966935,""LDO"":-3659.080866130393,""LINK"":588.5476164675667,""LPT"":1456.5368386121095,""LTC"":162.02627580467188,""MATIC"":-279.733532258345,""NEO"":-5969.4592313417825,""PAXG"":-503.08254968592837,""QNT"":84.461221324735,""SHIB"":2447.8302270393915,""UMA"":-6439.158628101986,""UNI"":505.6159995593416,""XLM"":22342.15979660846,""XMR"":-1414.9678467677222,""XRP"":-3211.24885403655,""ZEC"":2548.419862594993,""ZRX"":-6688.859800979812}","{""1INCH"":1,""AAVE"":4,""ADA"":3,""ALGO"":2,""AVAX"":5,""BCH"":2,""BTC"":2,""CRO"":1,""CRV"":2,""DOGE"":2,""ETC"":1,""ETH"":2,""FTT"":3,""ICP"":4,""LDO"":2,""LINK"":2,""LPT"":2,""LTC"":1,""MATIC"":1,""NEO"":1,""PAXG"":2,""QNT"":1,""SHIB"":2,""UMA"":2,""UNI"":2,""XLM"":1,""XMR"":4,""XRP"":3,""ZEC"":2,""ZRX"":1}",0.43363273194276264,0.7668113049116427,PASS,0
PIT_UNIVERSE,TREATMENT,ZERO_COST,0.0,WF01,PASS,100000.0,60359.79169188826,-0.39640208308111685,-0.39640208308111735,-0.39640208308111735,0.4022787626776295,-0.9853915241326784,-2.296322913619614,-1.3256238411810621,0.13135455864342477,-991.0052077027922,0.125,0.9194819105039732,40,40,52,89.2,68.0,1307159.3764317613,0.0,-0.030325459177227617,213,67,0,17,"{""FOUR_HOUR_ONLY"":5,""FULL"":25,""MEDIUM"":10}","{""FOUR_HOUR_ONLY"":-453.1172577802816,""FULL"":-32128.165715721785,""MEDIUM"":-7058.925334609626}","{""AAVE"":-2295.341706073607,""ALGO"":-1895.1914865166814,""COMP"":-1492.9195545783093,""CRO"":-1174.708734018081,""CRV"":-1721.148393670638,""DASH"":-1729.4032172753132,""DOGE"":-6145.572970649926,""ETC"":-7489.147796981926,""ETH"":-820.7114221940317,""FTT"":-1145.8267115885812,""ICP"":-134.90702279639675,""LDO"":-2699.306970449273,""LRC"":-168.71786465761986,""LTC"":-2135.8070430111243,""MANA"":-2509.794630858793,""PAXG"":132.59128055351093,""QNT"":2687.9778261012534,""SHIB"":-644.2345215894203,""SNX"":-5466.458431416659,""UNI"":641.7641089368244,""XMR"":-1859.5593567888934,""XRP"":-1170.8257416826275,""ZEC"":-402.9579469053829}","{""AAVE"":3,""ALGO"":1,""COMP"":1,""CRO"":1,""CRV"":1,""DASH"":2,""DOGE"":2,""ETC"":5,""ETH"":1,""FTT"":1,""ICP"":1,""LDO"":2,""LRC"":2,""LTC"":3,""MANA"":1,""PAXG"":1,""QNT"":3,""SHIB"":1,""SNX"":4,""UNI"":1,""XMR"":1,""XRP"":1,""ZEC"":1}",0.7763486812871575,1.0,PASS,0
