stage,path,exists,sha256,status,decision,expected_next_stage,observed_next_stage,authorization_safe,reconciliation_pass,notes
D0,reports/research/ams-rd04-d0-pit-universe-readiness-v1.json,True,21d3d1d8e231d9b9d4094a4bf7f5369d5b1a925365c3e71dfc3e268e439de2cf,COMPLETE,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,True,NOT_RECORDED
D0A,reports/research/ams-rd04-d0a-investable-universe-normalization-v1.json,True,db555ceff9568c488e54a826116902a0718362fcda95d70c2a76deb4b137b809,COMPLETE,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,True,NOT_RECORDED
D0B_DATA,reports/research/ams-rd04-d0b-expanded-dataset-registration-v1.json,True,a42297c083cd96e41279fe7893fcc6f54769f3756d5b0f47c8adce7885793cf2,PASS,BLOCKED_BY_DATA_INTEGRITY,NOT_RECORDED,NOT_RECORDED,True,True,PASS
D0B,reports/research/ams-rd04-d0b-pit-venue-data-expansion-v1.json,True,5f8def066d6655a0cd0d275ff38627c6c3b0c0ff6433d3e14a8433f20af29f28,COMPLETE,BLOCKED_BY_DATA_INTEGRITY,NOT_RECORDED,NOT_RECORDED,True,True,PASS
D0C,reports/research/ams-rd04-d0c-adjudicated-dataset-registration-v1.json,True,20274d913a7b52c818555d23308bac43b6ddb3b962531286b1c523e7e0f6ca07,PASS,PIT_UNIVERSE_REPLAY_READY,NOT_RECORDED,NOT_RECORDED,True,True,PASS
D0C_SOURCE,reports/research/ams-rd04-d0c-source-integrity-adjudication-v1.json,True,a122578ca97fea4e5d8c05a62a792d8c4380cb8f7b92cab63481fa3a3614e3f3,COMPLETE,PIT_UNIVERSE_REPLAY_READY,NOT_RECORDED,NOT_RECORDED,True,True,PASS
D1,reports/research/ams-rd04-d1-pit-universe-replay-v1.json,True,7f0d212bc11260077210d6c712b38c291eccfdd8e59de02a5e53ed02abd2340d,COMPLETE,PIT_UNIVERSE_REPLAY_FAIL,NOT_RECORDED,NOT_RECORDED,True,True,NOT_RECORDED
D2,reports/research/ams-rd04-d2-universe-membership-attribution-v1.json,True,3bc676368e51163cb2f25aa4ae8cd4242ba59f2e20c4887fcf6bc6af823bb135,COMPLETE,MIXED_MEMBERSHIP_FAILURE,MEMBERSHIP_SELECTION_INTERACTION_DIAGNOSTICS,MEMBERSHIP_SELECTION_INTERACTION_DIAGNOSTICS,True,True,NOT_RECORDED
D3,reports/research/ams-rd04-d3-membership-failure-diagnostics-v1.json,True,45068589985a9232cea874c1bd3bcd910511e07358c2e7b791adad338213fcbf,COMPLETE,ENTRANT_EDGE_AND_SURVIVOR_DISPLACEMENT_CONFIRMED,RD04_D4_CAUSAL_ELIGIBILITY_HYPOTHESIS_REGISTRATION,RD04_D4_CAUSAL_ELIGIBILITY_HYPOTHESIS_REGISTRATION,True,True,NOT_RECORDED
D4,reports/research/ams-rd04-d4-hypothesis-registry-v1.json,True,118d0b19673cdfafcbdb379efc5c1e804b155a3eaf1933a76674e90d2f515f55,COMPLETE,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,True,NOT_RECORDED
D5A_DATA,reports/research/ams-rd04-d5a-turnover-dataset-registration-v1.json,True,a3a595c6853397aabff01eec5a41b8501befdbb816d7eed6bdc18b3ebf243df3,PASS,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,True,PASS
D5A,reports/research/ams-rd04-d5a-liquidity-floor-v1.json,True,f031c5e6b546e57b805f615baa3cb2ed0f05a844968442eaa83f6bd8fb0e06d8,COMPLETE,LIQUIDITY_FLOOR_FAIL,RD04-D5D-PIT-EQUAL-WEIGHT-BENCHMARK,RD04-D5D-PIT-EQUAL-WEIGHT-BENCHMARK,True,True,NOT_RECORDED
D5D0,reports/research/ams-rd04-d5d0-bf01-protocol-recovery-v1.json,True,e8193adfc1d11e0e0334451407771259acda5781d77aa18b7fc549b960c66b09,COMPLETE,BF01_PROTOCOL_EVIDENCE_COLLECTED,NOT_RECORDED,NOT_RECORDED,True,True,NOT_RECORDED
D5D1,reports/research/ams-rd04-d5d1-bf01-protocol-adjudication-v1.json,True,fe8e9a708c2795ecf2205c2a06b44061ca590ac0de5b337a20f8ab51fa971531,COMPLETE,BF01_PROTOCOL_RECOVERED_ACCOUNTING_REPAIR_REGISTERED,NOT_RECORDED,NOT_RECORDED,True,True,NOT_RECORDED
D5D2,reports/research/ams-rd04-d5d2-pit-equal-weight-benchmark-v1.json,True,b4f44a4565aedb5422f2a9b95a39dfc46edc56e4b681684d9f08fa1b88aa1e3c,COMPLETE,M05_RELATIVE_EDGE_NOT_CONFIRMED,RD04-D5B0-V5R1-ATR-GRID-RECOVERY,RD04-D5B0-V5R1-ATR-GRID-RECOVERY,True,True,NOT_RECORDED
D5B0,reports/research/ams-rd04-d5b0-v5r1-atr-grid-recovery-v1.json,True,5dd7bb3616ca6a0280396cc3d0b9d56e56c3f5eb33327b8d856da047b1d59140,COMPLETE,V5R1_BOUNDED_STRUCTURAL_ATR_PROTOCOL_RECOVERED,NOT_RECORDED,NOT_RECORDED,True,True,PASS
D5B1,reports/research/ams-rd04-d5b1-stop-protocol-adjudication-v1.json,True,50bd5e8b608da9e63b6d1c88e4f1004e5edf7b2a31590a3967fbdbfb0fd3100d,COMPLETE,V5R1_DERIVED_EXIT_ONLY_STOP_OVERLAY_REGISTERED,NOT_RECORDED,NOT_RECORDED,True,True,PASS
D5B2,reports/research/ams-rd04-d5b2-structural-stop-evaluation-v1.json,True,bee517f310b924668310af0c26121beca6e45757a6d40ffe59f20464350e4888,COMPLETE,STRUCTURAL_STOP_EDGE_NOT_CONFIRMED,RD04-D5C0-EXTERNAL-EVENT-SOURCE-FREEZE,RD04-D5C0-EXTERNAL-EVENT-SOURCE-FREEZE,True,True,PASS
D5C0,reports/research/ams-rd04-d5c0-external-event-source-freeze-v1.json,True,1cfb656914cf8c87cda4c741da95defa3cde605ada33b3866abb90c3b0fee893,COMPLETE,EXTERNAL_TAIL_EVENT_SOURCE_REGISTRY_FROZEN,RD04-D5C1-IDIOSYNCRATIC-TAIL-LABEL-JOIN,RD04-D5C1-IDIOSYNCRATIC-TAIL-LABEL-JOIN,True,True,PASS
D5C1,reports/research/ams-rd04-d5c1-idiosyncratic-tail-label-join-v1.json,True,0d28859b723b788b7d36d9dc88ae4d26328c3d702112f5cab6f967dd14b07996,COMPLETE,IDIOSYNCRATIC_TAIL_LABEL_DIAGNOSTIC_COMPLETE,RD04-D5E0-MIDWEEK-PULLBACK-DIAGNOSTIC,RD04-D5E0-MIDWEEK-PULLBACK-DIAGNOSTIC,True,True,PASS
D5E0,reports/research/ams-rd04-d5e0-midweek-pullback-diagnostic-v1.json,True,ff43757d10be1e484494152f8dcc80722b6a3efce7f8e7943f47e87c1aa9c369,COMPLETE,MIDWEEK_PULLBACK_PATTERN_NOT_SUPPORTED,RD04-D5F-MEMBERSHIP-EXIT-PATH-DIAGNOSTIC,RD04-D5F-MEMBERSHIP-EXIT-PATH-DIAGNOSTIC,True,True,PASS
D5F,reports/research/ams-rd04-d5f-membership-exit-path-diagnostic-v1.json,True,4fd24932f735032d5cdd4ffa4335edf7697a073298692f9792b77b34bb848e08,COMPLETE,MEMBERSHIP_EXIT_PATH_DIAGNOSTIC_COMPLETE,NO_D5F_TREATMENT_AUTHORIZED,NO_D5F_TREATMENT_AUTHORIZED,True,True,PASS
