group_name,trade_count,winning_trade_count,losing_trade_count,net_pnl,gross_pnl,loss_amount,mean_return_fraction,maximum_adverse_excursion
ALL_PIT_TRADES_UNCHANGED,153,56,97,-31665.65779958396,-21219.102284323,215853.17015033442,-0.011314179644211851,-0.4514224369296833
LABELLED_TRADES,7,3,4,-10657.287679340297,-10169.94302606538,15450.620217626374,-0.07931972535152379,-0.4514224369296833
UNLABELLED_TRADES,146,53,93,-21008.370120243668,-11049.159258257616,200402.54993270806,-0.008053639781532512,-0.444234255537164
