asset,day,source_timestamp,available_at,market_cap_usd,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,raw_form_count,canonical_source_asset,rebalance_time,investable_rank,local_data_available
btc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,895826639879.7356,btc,BTC,IDENTITY,False,True,2,btc,2022-01-03T00:00:00+00:00,1,True
eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,452429174354.97003,eth,ETH,IDENTITY,False,True,2,eth,2022-01-03T00:00:00+00:00,2,True
xrp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,85949716924.47646,xrp,XRP,IDENTITY,False,True,1,xrp,2022-01-03T00:00:00+00:00,3,True
cro,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,58777276986.3213,cro,CRO,IDENTITY,False,True,1,cro,2022-01-03T00:00:00+00:00,4,False
ada,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,45345872744.50135,ada,ADA,IDENTITY,False,True,1,ada,2022-01-03T00:00:00+00:00,5,True
avaxp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,38009442424.67607,avax,AVAX,EXPLICIT_ALIAS,False,True,2,avaxp,2022-01-03T00:00:00+00:00,6,True
shib_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,34048163937.024635,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1,shib_eth,2022-01-03T00:00:00+00:00,7,True
dot,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,33573002049.69655,dot,DOT,IDENTITY,False,True,1,dot,2022-01-03T00:00:00+00:00,8,True
xlm,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,30744497509.82964,xlm,XLM,IDENTITY,False,True,1,xlm,2022-01-03T00:00:00+00:00,9,True
matic_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,25447051554.2857,matic,MATIC,NETWORK_FORM_TO_PARENT,False,True,1,matic_eth,2022-01-03T00:00:00+00:00,10,False
doge,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,23141588948.45676,doge,DOGE,IDENTITY,False,True,1,doge,2022-01-03T00:00:00+00:00,11,True
link,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,21811073084.4362,link,LINK,IDENTITY,False,True,1,link,2022-01-03T00:00:00+00:00,12,True
uni,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,18395486140.3873,uni,UNI,IDENTITY,False,True,1,uni,2022-01-03T00:00:00+00:00,13,True
algo,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,16739817081.1578,algo,ALGO,IDENTITY,False,True,1,algo,2022-01-03T00:00:00+00:00,14,False
ftt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,13461829749.62069,ftt,FTT,IDENTITY,False,True,1,ftt,2022-01-03T00:00:00+00:00,15,False
icp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,13034539002.752676,icp,ICP,IDENTITY,False,True,1,icp,2022-01-03T00:00:00+00:00,16,False
ltc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,10497001735.865566,ltc,LTC,IDENTITY,False,True,1,ltc,2022-01-03T00:00:00+00:00,17,True
crv,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,10039984903.018045,crv,CRV,IDENTITY,False,True,1,crv,2022-01-03T00:00:00+00:00,18,False
bch,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,8488466693.876067,bch,BCH,IDENTITY,False,True,1,bch,2022-01-03T00:00:00+00:00,19,False
