signal_id,available_rows,total_rows
XSM_RETURN_7D,4708,4710
XSM_RETURN_28D,4702,4710
XSM_RETURN_84D,4686,4710
XSM_28D_SKIP_1D,4702,4710
TSM_RETURN_28D,4702,4710
TSM_RETURN_84D,4686,4710
EMA_20_50_TREND_STATE,4696,4710
MULTI_HORIZON_TREND_AGREEMENT,4686,4710
REVERSAL_1D_VOL_NORMALIZED,4702,4710
REVERSAL_3D_VOL_NORMALIZED,4702,4710
DISTANCE_FROM_EMA20_ATR,4704,4710
RSI14_OVEREXTENSION,4706,4710
DONCHIAN_20_POSITION,4710,4710
DONCHIAN_55_POSITION,4710,4710
VOLATILITY_CONTRACTION_BREAKOUT,4688,4710
ATR_EXPANSION_WITH_POSITIVE_RETURN,4700,4710
RETURN_PATH_EFFICIENCY_28D,4702,4710
OLS_TREND_TSTAT_28D,4702,4710
POSITIVE_BAR_BREADTH_28D,4710,4710
DRAWDOWN_ADJUSTED_MOMENTUM_28D,4702,4710
VOLUME_ZSCORE_30D,4710,4710
VOLUME_ACCELERATION_7D_30D,4710,4710
PRICE_VOLUME_CONFIRMATION_28D,4702,4710
QUOTE_TURNOVER_CHANGE_7D_30D,0,4710
BTC_RELATIVE_RETURN_28D,4702,4710
MARKET_RESIDUAL_MOMENTUM_28D,0,4710
BETA_ADJUSTED_MOMENTUM_28D,4692,4710
IDIOSYNCRATIC_STRENGTH_28D,0,4710
REALIZED_VOLATILITY_28D,4702,4710
DOWNSIDE_VOLATILITY_28D,4709,4710
MAX_DRAWDOWN_28D,4702,4710
ILLIQUIDITY_PROXY_30D,4710,4710
AGE_OR_TENURE,4710,4710
