label_id,available_rows,total_rows
FORWARD_24H_RETURN,98400,98460
FORWARD_72H_RETURN,98220,98460
FORWARD_7D_RETURN,97860,98460
FORWARD_24H_MFE,98400,98460
FORWARD_24H_MAE,98400,98460
