factor,label,mean_rank_ic
AGE_OR_TENURE,FORWARD_24H_RETURN,0.0305611612654981
AGE_OR_TENURE,FORWARD_72H_RETURN,0.03719354994115731
AGE_OR_TENURE,FORWARD_7D_RETURN,0.0534934310979851
AGE_OR_TENURE,FORWARD_24H_MFE,-0.06252947626482691
AGE_OR_TENURE,FORWARD_24H_MAE,0.06390460568709168
LOW_REALIZED_VOLATILITY_42,FORWARD_24H_RETURN,0.07904987226868991
LOW_REALIZED_VOLATILITY_42,FORWARD_72H_RETURN,0.09165777670382372
LOW_REALIZED_VOLATILITY_42,FORWARD_7D_RETURN,0.10765444039128443
LOW_REALIZED_VOLATILITY_42,FORWARD_24H_MFE,-0.330879865279794
LOW_REALIZED_VOLATILITY_42,FORWARD_24H_MAE,0.43801260755653637
DRAWDOWN_RESILIENCE_42,FORWARD_24H_RETURN,0.04116283180429671
DRAWDOWN_RESILIENCE_42,FORWARD_72H_RETURN,0.056935334730571066
DRAWDOWN_RESILIENCE_42,FORWARD_7D_RETURN,0.08021100125255887
DRAWDOWN_RESILIENCE_42,FORWARD_24H_MFE,-0.2562681924882842
DRAWDOWN_RESILIENCE_42,FORWARD_24H_MAE,0.3389649256886815
LOG_MEDIAN_QUOTE_TURNOVER_42,FORWARD_24H_RETURN,0.012622294347234024
LOG_MEDIAN_QUOTE_TURNOVER_42,FORWARD_72H_RETURN,0.020180302985482033
LOG_MEDIAN_QUOTE_TURNOVER_42,FORWARD_7D_RETURN,0.029375222002037748
LOG_MEDIAN_QUOTE_TURNOVER_42,FORWARD_24H_MFE,-0.021902315908123214
LOG_MEDIAN_QUOTE_TURNOVER_42,FORWARD_24H_MAE,0.056642341559020946
QUOTE_TURNOVER_STABILITY_42,FORWARD_24H_RETURN,0.02724374169641989
QUOTE_TURNOVER_STABILITY_42,FORWARD_72H_RETURN,0.027741807711711874
QUOTE_TURNOVER_STABILITY_42,FORWARD_7D_RETURN,0.03679406273076528
QUOTE_TURNOVER_STABILITY_42,FORWARD_24H_MFE,-0.0635735051784125
QUOTE_TURNOVER_STABILITY_42,FORWARD_24H_MAE,0.09134766626522468
