signal_id,symbol,aggregate_contribution,absolute_contribution,absolute_contribution_share
AGE_OR_TENURE,1INCH,-0.08215141662414553,0.08215141662414553,0.12977247264053263
AGE_OR_TENURE,AAVE,0.1850255028878254,0.1850255028878254,0.2922800116906792
AGE_OR_TENURE,ADA,0.08329209660785747,0.08329209660785747,0.1315743753716214
AGE_OR_TENURE,ALGO,0.0017338924628057788,0.0017338924628057788,0.002738985174419432
AGE_OR_TENURE,BCH,0.16916664337131646,0.16916664337131646,0.2672281806050139
AGE_OR_TENURE,BTC,0.07521061839244839,0.07521061839244839,0.11880827280515645
AGE_OR_TENURE,COMP,-0.03646176029249283,0.03646176029249283,0.05759770171257713
ATR_EXPANSION_WITH_POSITIVE_RETURN,1INCH,-0.06365514330129479,0.06365514330129479,0.042358861994704
ATR_EXPANSION_WITH_POSITIVE_RETURN,AAVE,0.08004360753409645,0.08004360753409645,0.053264448860742324
ATR_EXPANSION_WITH_POSITIVE_RETURN,ADA,0.13704375769530727,0.13704375769530727,0.09119479304248297
ATR_EXPANSION_WITH_POSITIVE_RETURN,ALGO,-0.04284245347361072,0.04284245347361072,0.02850920569942838
ATR_EXPANSION_WITH_POSITIVE_RETURN,AVAX,0.03729135525463398,0.03729135525463398,0.024815266903882534
ATR_EXPANSION_WITH_POSITIVE_RETURN,BCH,0.06499593532701174,0.06499593532701174,0.04325108250408409
ATR_EXPANSION_WITH_POSITIVE_RETURN,BTC,0.031189337151944944,0.031189337151944944,0.020754722393322413
ATR_EXPANSION_WITH_POSITIVE_RETURN,COMP,0.078249031546108,0.078249031546108,0.052070261043830036
ATR_EXPANSION_WITH_POSITIVE_RETURN,CRO,-0.00496861031561641,0.00496861031561641,0.0033063263665667874
ATR_EXPANSION_WITH_POSITIVE_RETURN,CRV,-0.03567097223404537,0.03567097223404537,0.023736994557172122
ATR_EXPANSION_WITH_POSITIVE_RETURN,DASH,0.014218781618830627,0.014218781618830627,0.009461787014979973
ATR_EXPANSION_WITH_POSITIVE_RETURN,DOGE,0.06427024814503556,0.06427024814503556,0.04276817913448269
ATR_EXPANSION_WITH_POSITIVE_RETURN,ETC,-0.02559756878249358,0.02559756878249358,0.017033719935644755
ATR_EXPANSION_WITH_POSITIVE_RETURN,ETH,0.00936058555377746,0.00936058555377746,0.0062289350254909285
ATR_EXPANSION_WITH_POSITIVE_RETURN,FLOW,-0.014030239707554196,0.014030239707554196,0.009336323142215216
ATR_EXPANSION_WITH_POSITIVE_RETURN,FTT,-0.004710605756925404,0.004710605756925404,0.003134639069534585
ATR_EXPANSION_WITH_POSITIVE_RETURN,ICP,0.006711514978725347,0.006711514978725347,0.004466129868148974
