budget_key,declared_count,execution_status
maximum_primitive_trials,33,NOT_EXECUTED
maximum_regime_interactions,198,NOT_EXECUTED
maximum_ensemble_candidates,28,NOT_EXECUTED
maximum_model_families,2,NOT_EXECUTED
total_declared_trial_count,261,NOT_EXECUTED
