variant_id,symbol,net_pnl_after_removal,sign_positive
MD01-M01,AAVE,205049.49559561937,True
MD01-M01,ADA,195880.1985009947,True
MD01-M01,AVAX,179745.70442415393,True
MD01-M01,BNB,207075.0871596044,True
MD01-M01,BTC,202873.19391281137,True
MD01-M01,DEXE,158698.06527933493,True
MD01-M01,DOGE,151858.2405909435,True
MD01-M01,DOT,200159.82318019873,True
MD01-M01,ENA,205251.36965672538,True
MD01-M01,ETH,197690.12791195922,True
MD01-M01,GRAM,193238.28680047,True
MD01-M01,LINK,196403.59300905454,True
MD01-M01,LTC,207361.96268141415,True
MD01-M01,NEAR,207608.18934299535,True
MD01-M01,ONDO,221862.48013695877,True
MD01-M01,PEPE,156746.93139865453,True
MD01-M01,SEI,173543.05552313259,True
MD01-M01,SHIB,205454.49823646413,True
MD01-M01,SNX,217279.85410570583,True
MD01-M01,SOL,197043.9074374095,True
MD01-M01,SUI,170961.56277752994,True
MD01-M01,SYN,213592.95793348885,True
MD01-M01,TAO,216330.11018938202,True
MD01-M01,TRX,202948.33117782083,True
MD01-M01,UNI,206401.8653657432,True
MD01-M01,XLM,178025.84270767728,True
MD01-M01,XMR,212676.9783710927,True
MD01-M01,XRP,178417.45471169802,True
MD01-M01,ZEC,197507.83009467492,True
MD01-M02,AAVE,109743.65255132207,True
MD01-M02,ADA,101275.30915623286,True
MD01-M02,AVAX,85887.76048842134,True
MD01-M02,BNB,110696.97831824323,True
MD01-M02,BTC,112339.61245027237,True
MD01-M02,DEXE,114860.3248695876,True
MD01-M02,DOGE,100406.85039503683,True
MD01-M02,ENA,104230.63126875875,True
MD01-M02,ETH,114672.78743948706,True
MD01-M02,GRAM,100508.91836684561,True
MD01-M02,LINK,107189.37056609508,True
MD01-M02,LTC,109085.19857832715,True
MD01-M02,NEAR,118542.65583989667,True
MD01-M02,ONDO,124071.0922096583,True
MD01-M02,PEPE,108252.62645141073,True
MD01-M02,SEI,100985.55308282365,True
MD01-M02,SHIB,122064.79773223569,True
MD01-M02,SNX,118255.33605280655,True
MD01-M02,SOL,89000.48954372472,True
MD01-M02,SUI,30903.396324246452,True
MD01-M02,SYN,103767.91826183592,True
MD01-M02,TAO,112810.95451286058,True
MD01-M02,TRX,105060.14145663509,True
MD01-M02,UNI,110799.1740410569,True
MD01-M02,XLM,93401.19037588919,True
MD01-M02,XMR,120367.44906292652,True
MD01-M02,XRP,127312.28948532316,True
MD01-M02,ZEC,115487.3530945782,True
MD01-M03,AAVE,300996.56922261935,True
MD01-M03,ADA,262444.01903306996,True
MD01-M03,AVAX,256124.49016875157,True
MD01-M03,BNB,299871.3723043914,True
MD01-M03,BTC,294630.5610987379,True
MD01-M03,DEXE,235811.75221305527,True
MD01-M03,DOGE,218565.96347355613,True
MD01-M03,DOT,297553.5643179261,True
MD01-M03,ENA,303158.78564816347,True
MD01-M03,ETH,292130.1703934622,True
MD01-M03,GRAM,275359.47267783625,True
MD01-M03,LINK,281578.6073940678,True
MD01-M03,LTC,304464.6990821505,True
MD01-M03,NEAR,311184.3602569418,True
MD01-M03,ONDO,309017.957846119,True
MD01-M03,PEPE,280394.48500550305,True
MD01-M03,SEI,272988.51410514966,True
MD01-M03,SHIB,302039.6119603792,True
MD01-M03,SNX,307686.5846040679,True
MD01-M03,SOL,274130.59074768133,True
MD01-M03,SUI,265641.06120961986,True
MD01-M03,SYN,308693.2080938917,True
MD01-M03,TAO,293807.0906561438,True
MD01-M03,TRX,298756.650592436,True
MD01-M03,UNI,297321.0413805407,True
MD01-M03,XLM,233032.3676979664,True
MD01-M03,XMR,306061.91273377265,True
MD01-M03,XRP,314900.5476020768,True
MD01-M03,ZEC,275740.5924898053,True
MD01-M04,AAVE,33757.83300772532,True
MD01-M04,ADA,34455.68277484135,True
MD01-M04,AVAX,11916.070298873146,True
MD01-M04,BTC,38488.18861067386,True
MD01-M04,DEXE,34964.57269000453,True
MD01-M04,DOGE,-3925.546678438135,False
MD01-M04,ENA,37393.93850317561,True
MD01-M04,ETH,41308.1905216649,True
MD01-M04,GRAM,29822.839633024007,True
MD01-M04,LINK,15803.716622179123,True
MD01-M04,LTC,33022.47872403746,True
MD01-M04,NEAR,57546.2333199508,True
MD01-M04,ONDO,46436.511122555356,True
MD01-M04,PEPE,31954.90069719588,True
MD01-M04,SEI,24380.654959985586,True
MD01-M04,SHIB,47195.38959718588,True
MD01-M04,SNX,37874.517561559966,True
MD01-M04,SOL,-146.30053787051293,False
MD01-M04,SUI,6644.869699200783,True
MD01-M04,SYN,32810.328170816705,True
MD01-M04,TAO,36943.95772876067,True
MD01-M04,TRX,28574.90595540937,True
MD01-M04,UNI,40214.39809682965,True
MD01-M04,XLM,47624.54126857633,True
MD01-M04,XMR,43919.10193258875,True
MD01-M04,XRP,51767.49280616228,True
MD01-M04,ZEC,40492.10530280063,True
MD01-M05,AAVE,289556.4083149013,True
MD01-M05,ADA,253063.70855876294,True
MD01-M05,AVAX,243500.05312610517,True
MD01-M05,BNB,288713.4933068083,True
MD01-M05,BTC,283929.15121922403,True
MD01-M05,DEXE,224817.86619746868,True
MD01-M05,DOGE,212763.0324782966,True
MD01-M05,DOT,286026.09329005354,True
MD01-M05,ENA,291154.2050926127,True
MD01-M05,ETH,280586.22256560065,True
MD01-M05,GRAM,275999.4240806328,True
MD01-M05,LINK,268976.6790828271,True
MD01-M05,LTC,290718.0294631305,True
MD01-M05,NEAR,299538.27761518705,True
MD01-M05,ONDO,297168.4562485625,True
MD01-M05,PEPE,268849.99914332345,True
MD01-M05,SEI,262005.40272992104,True
MD01-M05,SHIB,286401.4692432599,True
MD01-M05,SNX,297735.05582060287,True
MD01-M05,SOL,262326.30607511377,True
MD01-M05,SUI,255756.48744369284,True
MD01-M05,SYN,297392.38974714326,True
MD01-M05,TAO,282385.3160057984,True
MD01-M05,TRX,284035.21371895703,True
MD01-M05,UNI,285230.8331230434,True
MD01-M05,XLM,224199.403161978,True
MD01-M05,XMR,289806.0242088159,True
MD01-M05,XRP,302943.1530374828,True
MD01-M05,ZEC,265739.261130144,True
MD01-M06,AAVE,6033.066395166634,True
MD01-M06,ADA,6548.039476016892,True
MD01-M06,AVAX,-12702.964959819634,False
MD01-M06,BTC,7927.70290138243,True
MD01-M06,DEXE,11064.079707450524,True
MD01-M06,DOGE,-31564.37448932067,False
MD01-M06,ENA,9589.994963885292,True
MD01-M06,ETH,11950.868157126864,True
MD01-M06,GRAM,2379.2205851370304,True
MD01-M06,LINK,1434.115343497957,True
MD01-M06,LTC,4989.711882665345,True
MD01-M06,NEAR,29745.887038023924,True
MD01-M06,ONDO,18632.567583265045,True
MD01-M06,PEPE,4150.9571579055655,True
MD01-M06,SEI,-3423.288579304729,False
MD01-M06,SHIB,19026.094886427996,True
MD01-M06,SNX,11764.584951300894,True
MD01-M06,SOL,-20113.11961481023,False
MD01-M06,SUI,-21159.07384008953,False
MD01-M06,SYN,5006.384631526389,True
MD01-M06,TAO,9140.014189470363,True
MD01-M06,TRX,6607.932406082006,True
MD01-M06,UNI,12427.423934140224,True
MD01-M06,XLM,19358.997126479804,True
MD01-M06,XMR,15506.942107994346,True
MD01-M06,XRP,22403.492217336046,True
MD01-M06,ZEC,11613.784208984347,True
