signal_id,signal_class,mean_rank_ic,ic_information_ratio,positive_ic_share,mean_top_excess,bh_adjusted_p_value,maximum_symbol_contribution_share,missing_primary_label_share,positive_regime_cells,external_mean_rank_ic,external_mean_top_excess,mean_net_top_excess_proxy,failed_gate_count,failed_gate_ids,confirmed,external_replication_candidate
BN_TAKER_BUY_IMBALANCE_1,CONFIRMATORY,-0.006912201730314653,-0.03454736208693659,0.49175824175824173,-0.00024930329380590976,0.9981001899810019,0.11317669058265746,0.0,4,-0.007226982317911478,-0.00021964374719841243,-0.0017268673963700125,13,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|grid_top|bh|external_ic|external_top|external_fold_ic|economic_proxy,False,False
BN_TAKER_BUY_IMBALANCE_6,CONFIRMATORY,-0.020265780596398254,-0.09960906908760075,0.4766483516483517,-0.00038755457909745594,0.9981001899810019,0.10471643365797267,0.0,0,-0.019621394894753477,-0.00034732400787103253,-0.0017533970699399467,14,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|grid_top|bh|regime|external_ic|external_top|external_fold_ic|economic_proxy,False,False
BN_TAKER_BUY_IMBALANCE_18,CONFIRMATORY,-0.022084755482822935,-0.10928042066910121,0.47115384615384615,-0.000669768362478085,0.9981001899810019,0.10005406980146023,0.0,0,-0.02182934429177483,-0.0006517263559852657,-0.0013964167141264367,14,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|grid_top|bh|regime|external_ic|external_top|external_fold_ic|economic_proxy,False,False
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,CONFIRMATORY,-0.008973271686420606,-0.04474320889313655,0.48214285714285715,-0.0004891556784386679,0.9981001899810019,0.08461415718262534,0.0,3,-0.009345047209836825,-0.0004551270519698679,-0.001922305861588851,13,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|grid_top|bh|external_ic|external_top|external_fold_ic|economic_proxy,False,False
BN_TRADE_COUNT_ZSCORE_42,CONFIRMATORY,-0.017821846483271266,-0.07892921488200033,0.4684065934065934,0.00013488644735457122,0.9981001899810019,0.0841710262687082,0.0,1,-0.018190276824133128,0.00011167764780397554,-0.0012410293035611797,10,mean_ic|ic_ir|positive_ic_share|fold_ic|grid_ic|bh|regime|external_ic|external_fold_ic|economic_proxy,False,False
BN_TRADE_COUNT_ACCEL_6_42,CONFIRMATORY,-0.01570600150554679,-0.06994135882774406,0.4958791208791209,-1.4346439028665298e-05,0.9981001899810019,0.09482549423353316,0.0,1,-0.016136071837250663,7.919653854398066e-06,-0.001230005779688006,12,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|bh|regime|external_ic|external_fold_ic|economic_proxy,False,False
BN_AVG_TRADE_SIZE_ACCEL_6_42,CONFIRMATORY,-0.013271910818329919,-0.06600435599213567,0.4835164835164835,-0.0003324829336727006,0.9981001899810019,0.12174965724497573,0.0,1,-0.01328852310668988,-0.00033582032786917253,-0.0015403583915481582,14,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|grid_ic|grid_top|bh|regime|external_ic|external_top|external_fold_ic|economic_proxy,False,False
BN_FLOW_PRICE_CONFIRMATION_6,CONFIRMATORY,0.006915795534239004,0.033052072859697364,0.4958791208791209,-0.0002792590210484434,0.658984101589841,0.09802614285549088,0.0,12,0.00850845966425377,-0.0002721178485156629,-0.0017746802664696886,10,mean_ic|ic_ir|positive_ic_share|top_excess|fold_top|grid_ic|grid_top|bh|external_top|economic_proxy,False,False
BN_KC_RETURN_DIVERGENCE_1,CONFIRMATORY,0.011128760543373908,0.05505514346067448,0.5357142857142857,-0.00017961949484195808,0.3410992234109922,0.0891459161443884,0.0,14,-0.018530970131070107,-0.001038905789845453,-0.0016365792018016652,10,mean_ic|ic_ir|positive_ic_share|top_excess|fold_top|bh|external_ic|external_top|external_fold_ic|economic_proxy,False,False
BN_KC_RETURN_DIVERGENCE_6,CONFIRMATORY,0.004219465398244069,0.021506216592376812,0.5123626373626373,-2.4190438183886095e-05,0.7268073192680731,0.17842186984776634,0.0,10,-0.026168282082391754,-0.0008635575838507652,-0.0017993735883670365,11,mean_ic|ic_ir|positive_ic_share|fold_ic|top_excess|fold_top|bh|external_ic|external_top|external_fold_ic|economic_proxy,False,False
