rebalance_time,panel_asset_count,top_candidate_count,registered_overlap_count,top_candidate_market_cap_usd,registered_overlap_market_cap_usd,registered_overlap_rate,registered_cap_overlap_rate,missing_local_candidate_count,snapshot_complete
2022-01-03T00:00:00+00:00,116,30,10,2156686350785.5405,1617714053372.3555,0.3333333333333333,0.7500924057794159,20,True
2022-01-10T00:00:00+00:00,116,30,10,1903448411081.6099,1406901415882.4824,0.3333333333333333,0.739132937720665,20,True
2022-01-17T00:00:00+00:00,116,30,10,1985191048947.2437,1473932989017.5586,0.3333333333333333,0.7424640514066353,20,True
2022-01-24T00:00:00+00:00,116,30,10,1633350283356.427,1182904653700.782,0.3333333333333333,0.7242198233620721,20,True
2022-01-31T00:00:00+00:00,115,30,10,1681033505615.9424,1218619138088.7734,0.3333333333333333,0.724922575319082,20,True
2022-02-07T00:00:00+00:00,115,30,10,1868641802981.9827,1376098681651.4014,0.3333333333333333,0.7364165135637125,20,True
2022-02-14T00:00:00+00:00,115,30,10,1851948215670.9194,1354152225583.2449,0.3333333333333333,0.7312041525376377,20,True
2022-02-21T00:00:00+00:00,115,30,10,1717945367120.023,1242034347760.701,0.3333333333333333,0.7229766275064131,20,True
2022-02-28T00:00:00+00:00,115,30,10,1680153879314.253,1209691959594.802,0.3333333333333333,0.7199887906032346,20,True
2022-03-07T00:00:00+00:00,115,30,10,1680573367575.9114,1214091576611.4531,0.3333333333333333,0.7224270002342594,20,True
2022-03-14T00:00:00+00:00,115,30,10,1659361734313.366,1199225105639.1992,0.3333333333333333,0.7227026397203449,20,True
2022-03-21T00:00:00+00:00,115,30,10,1803713299881.9907,1323197071875.129,0.3333333333333333,0.7335961163903931,20,True
2022-03-28T00:00:00+00:00,115,30,10,2018063354324.0554,1509799009293.145,0.3333333333333333,0.7481425229084783,20,True
2022-04-04T00:00:00+00:00,115,30,10,2047664923373.7148,1534228024771.3965,0.3333333333333333,0.7492573649421195,20,True
2022-04-11T00:00:00+00:00,115,30,10,1878874427804.3608,1392414714332.1353,0.3333333333333333,0.7410898215051557,20,True
2022-04-18T00:00:00+00:00,115,30,10,1780576409422.7654,1307532357100.643,0.3333333333333333,0.7343309448452843,20,True
2022-04-25T00:00:00+00:00,115,30,10,1753671701523.2126,1286714563411.9214,0.3333333333333333,0.7337260231172691,20,True
2022-05-02T00:00:00+00:00,114,30,11,1675729028966.159,1238417042107.9539,0.36666666666666664,0.7390318009063764,19,True
2022-05-09T00:00:00+00:00,114,30,11,1523701820108.5007,1106066714013.4817,0.36666666666666664,0.7259075886217161,19,True
2022-05-16T00:00:00+00:00,114,30,11,1354740687786.388,975341676775.186,0.36666666666666664,0.71994713495235,19,True
2022-05-23T00:00:00+00:00,114,30,11,1317058211224.5508,940533064095.5825,0.36666666666666664,0.7141165485928754,19,True
2022-05-30T00:00:00+00:00,114,30,11,1255352358209.4055,887438533080.4127,0.36666666666666664,0.7069238586895449,19,True
2022-06-06T00:00:00+00:00,113,30,10,1261313142227.4707,890582766236.1737,0.3333333333333333,0.706075863653819,20,True
2022-06-13T00:00:00+00:00,113,30,10,1130068031447.9902,773806868651.3782,0.3333333333333333,0.6847436146475855,20,True
2022-06-20T00:00:00+00:00,114,30,9,957125699486.4501,608371101969.751,0.3,0.63562299319324,21,True
2022-06-27T00:00:00+00:00,114,30,10,973543693055.2623,639419471924.9545,0.3333333333333333,0.6567958649275112,20,True
2022-07-04T00:00:00+00:00,114,30,10,906816424150.6835,580917922486.602,0.3333333333333333,0.6406124845287015,20,True
2022-07-11T00:00:00+00:00,114,30,10,954873278984.6945,624059225771.0609,0.3333333333333333,0.6535518790876793,20,True
2022-07-18T00:00:00+00:00,114,30,10,982198005552.9147,647920610546.6857,0.3333333333333333,0.6596639444222326,20,True
2022-07-25T00:00:00+00:00,115,30,10,1061782953165.4718,720368363847.7346,0.3333333333333333,0.6784516192317037,20,True
2022-08-01T00:00:00+00:00,115,30,10,1093642220680.6539,748097235581.9794,0.3333333333333333,0.6840420216370062,20,True
2022-08-08T00:00:00+00:00,115,30,10,1097756125265.6537,747844881350.183,0.3333333333333333,0.6812486527180222,20,True
2022-08-15T00:00:00+00:00,115,30,10,1160077146787.8513,803657190535.8883,0.3333333333333333,0.6927618501589677,20,True
2022-08-22T00:00:00+00:00,115,30,10,1039668784240.1672,699423800628.2749,0.3333333333333333,0.6727371363173538,20,True
2022-08-29T00:00:00+00:00,115,30,10,967164005359.4541,634550817144.7131,0.3333333333333333,0.6560943269480726,20,True
2022-09-05T00:00:00+00:00,115,30,10,998588231173.4733,662229916871.4137,0.3333333333333333,0.6631661541746852,20,True
2022-09-12T00:00:00+00:00,115,30,10,1062925658168.651,722911742987.4335,0.3333333333333333,0.6801150554902978,20,True
