fold_id,dominance_quadrant,status,observations,m05_minus_exposure_matched_return,m05_minus_equal_weight_return,beta_vs_btc,beta_vs_equal_weight,metrics
AGGREGATE,BTC_DOWN_STABLE_DOWN,VALID,151,-0.45351047612180895,-0.7264604013796723,"{""alpha_intercept"":2.651981154764356e-05,""beta"":0.7002642474618269,""correlation"":0.4800178431550742,""downside_beta"":1.0568575480180138,""observations"":151,""r_squared"":0.2304171297472496,""residual_return"":-1.942890293094024e-16,""residual_volatility"":0.02943004905493434,""upside_beta"":0.3466171596511286}","{""alpha_intercept"":-0.0022147078717230165,""beta"":0.6692416410386556,""correlation"":0.6713047985479906,""downside_beta"":0.7292643378026482,""observations"":151,""r_squared"":0.450650132553558,""residual_return"":2.7755575615628914e-17,""residual_volatility"":0.024864962112759372,""upside_beta"":0.5449857129529152}","{""btc_daily_return"":{""annualized_return"":0.23590785459200658,""annualized_volatility"":0.4393444550548083,""compounded_return"":0.09157736210242096,""maximum_drawdown"":0.16676680855190573,""mean_daily_return"":0.0008420128366753969,""observations"":151,""positive_day_ratio"":0.5165562913907285,""sharpe"":0.6995301337038151},""equal_weight_daily_return"":{""annualized_return"":2.797984857520169,""annualized_volatility"":0.6429045777453044,""compounded_return"":0.7368422570536519,""maximum_drawdown"":0.20050375949747912,""mean_daily_return"":0.004229950730957047,""observations"":151,""positive_day_ratio"":0.5894039735099338,""sharpe"":2.401494825583544},""exposure_matched_equal_weight_return"":{""annualized_return"":1.5123014687011236,""annualized_volatility"":0.41361347058921716,""compounded_return"":0.4638923317957886,""maximum_drawdown"":0.16417296860135044,""mean_daily_return"":0.0027607769027915797,""observations"":151,""positive_day_ratio"":0.5231788079470199,""sharpe"":2.4362929188051368},""m05_daily_return"":{""annualized_return"":0.025280097640329124,""annualized_volatility"":0.6409287041775448,""compounded_return"":0.010381855673979645,""maximum_drawdown"":0.3145005157706473,""mean_daily_return"":0.0006161512969753385,""observations"":151,""positive_day_ratio"":0.4105960264900662,""sharpe"":0.35088961054504425},""volatility_matched_btc_return"":{""annualized_return"":-0.2657751493761603,""annualized_volatility"":0.3248084150682835,""compounded_return"":-0.11997770691159049,""maximum_drawdown"":0.2262783216826061,""mean_daily_return"":-0.0007016371193960321,""observations"":151,""positive_day_ratio"":0.48344370860927155,""sharpe"":-0.7884572464839406},""volatility_matched_equal_weight_return"":{""annualized_return"":0.4683839704375534,""annualized_volatility"":0.4990482881471622,""compounded_return"":0.17225293403629616,""maximum_drawdown"":0.214308163716186,""mean_daily_return"":0.001398786006186787,""observations"":151,""positive_day_ratio"":0.5629139072847682,""sharpe"":1.0230611032726782}}"
AGGREGATE,BTC_DOWN_STABLE_UP,VALID,272,0.09585399381855875,0.3613202587786972,"{""alpha_intercept"":-9.396188941066582e-05,""beta"":0.31220446004057495,""correlation"":0.44957972162461945,""downside_beta"":0.2694781698366002,""observations"":272,""r_squared"":0.20212192609607016,""residual_return"":-8.326672684688674e-17,""residual_volatility"":0.019562822106274712,""upside_beta"":0.2598175221889858}","{""alpha_intercept"":-0.00033156049745915227,""beta"":0.30752518033849713,""correlation"":0.5578192984162966,""downside_beta"":0.3103069579194927,""observations"":272,""r_squared"":0.3111623696856488,""residual_return"":-9.71445146547012e-17,""residual_volatility"":0.018176977616845228,""upside_beta"":0.33087299791179675}","{""btc_daily_return"":{""annualized_return"":-0.9347714762626474,""annualized_volatility"":0.6025280693685411,""compounded_return"":-0.8692287226893872,""maximum_drawdown"":0.8733719895262337,""mean_daily_return"":-0.006941370152476551,""observations"":272,""positive_day_ratio"":0.41911764705882354,""sharpe"":-4.204949502699839},""equal_weight_daily_return"":{""annualized_return"":-0.9253301558037312,""annualized_volatility"":0.7589663582634136,""compounded_return"":-0.8553689090355336,""maximum_drawdown"":0.8780116612988688,""mean_daily_return"":-0.0062743743787853756,""observations"":272,""positive_day_ratio"":0.45955882352941174,""sharpe"":-3.0174547571472505},""exposure_matched_equal_weight_return"":{""annualized_return"":-0.6976371225206695,""annualized_volatility"":0.33491528019294997,""compounded_return"":-0.5899026440753952,""maximum_drawdown"":0.5899026440753952,""mean_daily_return"":-0.0031153244164806525,""observations"":272,""positive_day_ratio"":0.29411764705882354,""sharpe"":-3.395167313239159},""m05_daily_return"":{""annualized_return"":-0.5991886027435585,""annualized_volatility"":0.41841733847942814,""compounded_return"":-0.4940486502568364,""maximum_drawdown"":0.5048832398131157,""mean_daily_return"":-0.002261088609806371,""observations"":272,""positive_day_ratio"":0.2977941176470588,""sharpe"":-1.9724262516905755},""volatility_matched_btc_return"":{""annualized_return"":-0.7558483066138839,""annualized_volatility"":0.38260811801692485,""compounded_return"":-0.6503120367342179,""maximum_drawdown"":0.6503120367342179,""mean_daily_return"":-0.003649715581770069,""observations"":272,""positive_day_ratio"":0.36764705882352944,""sharpe"":-3.481750973425888},""volatility_matched_equal_weight_return"":{""annualized_return"":-0.7352388720236163,""annualized_volatility"":0.4141227327402312,""compounded_return"":-0.6285436351758239,""maximum_drawdown"":0.6495245434019353,""mean_daily_return"":-0.003394778799871321,""observations"":272,""positive_day_ratio"":0.40808823529411764,""sharpe"":-2.9920942850782466}}"
AGGREGATE,BTC_UP_STABLE_DOWN,VALID,429,4.194544431651536,-8.3026874276067,"{""alpha_intercept"":0.0011008562958472285,""beta"":0.7300420434777887,""correlation"":0.6069531559253939,""downside_beta"":0.6645808916858713,""observations"":429,""r_squared"":0.3683921334877953,""residual_return"":0.0,""residual_volatility"":0.02610475567109372,""upside_beta"":0.6350156698864479}","{""alpha_intercept"":0.000538743176270921,""beta"":0.7706546731940889,""correlation"":0.7343842241024724,""downside_beta"":0.8026020929004298,""observations"":429,""r_squared"":0.5393201886105905,""residual_return"":-2.220446049250313e-16,""residual_volatility"":0.022294383002506534,""upside_beta"":0.8434730129174093}","{""btc_daily_return"":{""annualized_return"":10.915487663544745,""annualized_volatility"":0.5217345552617658,""compounded_return"":17.399241573973537,""maximum_drawdown"":0.15252585932037088,""mean_daily_return"":0.007174327186882747,""observations"":429,""positive_day_ratio"":0.5501165501165501,""sharpe"":5.019083740578344},""equal_weight_daily_return"":{""annualized_return"":11.968446138553722,""annualized_volatility"":0.5980063868401746,""compounded_return"":19.324714724565364,""maximum_drawdown"":0.2565900552591762,""mean_daily_return"":0.00752564514483363,""observations"":429,""positive_day_ratio"":0.5594405594405595,""sharpe"":4.593363111685981},""exposure_matched_equal_weight_return"":{""annualized_return"":4.758480083405381,""annualized_volatility"":0.41599076467628204,""compounded_return"":6.827482865307127,""maximum_drawdown"":0.1777746869397211,""mean_daily_return"":0.005041228716848412,""observations"":429,""positive_day_ratio"":0.5198135198135199,""sharpe"":4.423291663894436},""m05_daily_return"":{""annualized_return"":7.295874128387837,""annualized_volatility"":0.6275412808350127,""compounded_return"":11.022027296958663,""maximum_drawdown"":0.20395848811531947,""mean_daily_return"":0.006338416775937364,""observations"":429,""positive_day_ratio"":0.4988344988344988,""sharpe"":3.686645315410553},""volatility_matched_btc_return"":{""annualized_return"":5.150227061207736,""annualized_volatility"":0.44920220134695893,""compounded_return"":7.4570182791753385,""maximum_drawdown"":0.15252585932037066,""mean_daily_return"":0.005259152467009792,""observations"":429,""positive_day_ratio"":0.5104895104895105,""sharpe"":4.273333133058052},""volatility_matched_equal_weight_return"":{""annualized_return"":5.592457154901002,""annualized_volatility"":0.4974943122902465,""compounded_return"":8.176162416400192,""maximum_drawdown"":0.18488632660164772,""mean_daily_return"":0.005513389577905158,""observations"":429,""positive_day_ratio"":0.5151515151515151,""sharpe"":4.045045634132441}}"
AGGREGATE,BTC_UP_STABLE_UP,VALID,244,-0.0026925715739245515,0.27605619928808645,"{""alpha_intercept"":-0.001495086602814816,""beta"":0.4163155227323507,""correlation"":0.4606029666034075,""downside_beta"":0.37888467731245234,""observations"":244,""r_squared"":0.2121550928438598,""residual_return"":-9.71445146547012e-17,""residual_volatility"":0.022094315458373166,""upside_beta"":0.24130732352421144}","{""alpha_intercept"":-0.0003616185070697915,""beta"":0.365386109842424,""correlation"":0.5547941433334288,""downside_beta"":0.324045935367501,""observations"":244,""r_squared"":0.30779654147707325,""residual_return"":-9.71445146547012e-17,""residual_volatility"":0.0207098554173315,""upside_beta"":0.2712024842432936}","{""btc_daily_return"":{""annualized_return"":-0.32243082581127325,""annualized_volatility"":0.5261514156624448,""compounded_return"":-0.2291077742013593,""maximum_drawdown"":0.41540295445584097,""mean_daily_return"":-0.0006881078379477187,""observations"":244,""positive_day_ratio"":0.4918032786885246,""sharpe"":-0.47735186749369096},""equal_weight_daily_return"":{""annualized_return"":-0.814948138759551,""annualized_volatility"":0.7220818866956318,""compounded_return"":-0.6762642247201174,""maximum_drawdown"":0.7407464497665459,""mean_daily_return"":-0.0038861304021896663,""observations"":244,""positive_day_ratio"":0.4959016393442623,""sharpe"":-1.9643722172428908},""exposure_matched_equal_weight_return"":{""annualized_return"":-0.5313800984216421,""annualized_volatility"":0.3599821847390308,""compounded_return"":-0.3975154538581064,""maximum_drawdown"":0.4520527493171762,""mean_daily_return"":-0.0018948925944910447,""observations"":244,""positive_day_ratio"":0.3319672131147541,""sharpe"":-1.9213056265288038},""m05_daily_return"":{""annualized_return"":-0.5345095139392251,""annualized_volatility"":0.4755614217232803,""compounded_return"":-0.40020802543203093,""maximum_drawdown"":0.4744874856598237,""mean_daily_return"":-0.0017815565770662482,""observations"":244,""positive_day_ratio"":0.29508196721311475,""sharpe"":-1.3673694310039273},""volatility_matched_btc_return"":{""annualized_return"":-0.3182831069412494,""annualized_volatility"":0.3456822898359722,""compounded_return"":-0.22595635183986562,""maximum_drawdown"":0.3113664222656376,""mean_daily_return"":-0.000885491442180653,""observations"":244,""positive_day_ratio"":0.42213114754098363,""sharpe"":-0.9349752240686101},""volatility_matched_equal_weight_return"":{""annualized_return"":-0.6217924135621344,""annualized_volatility"":0.4500195561142134,""compounded_return"":-0.47794584687713493,""maximum_drawdown"":0.5274266671551708,""mean_daily_return"":-0.0023790072592666496,""observations"":244,""positive_day_ratio"":0.430327868852459,""sharpe"":-1.9295553667270982}}"
WF01,BTC_DOWN_STABLE_DOWN,VALID,59,-0.22848473471723119,-0.430013464715977,"{""alpha_intercept"":-0.002030285929792406,""beta"":0.4731126106600696,""correlation"":0.4951231697539695,""downside_beta"":0.554862784489966,""observations"":59,""r_squared"":0.2451469532272179,""residual_return"":4.163336342344337e-17,""residual_volatility"":0.021524500178407666,""upside_beta"":0.11092659719580303}","{""alpha_intercept"":-0.004020450964037054,""beta"":0.4444272741460009,""correlation"":0.6543230887415558,""downside_beta"":0.3991810038443582,""observations"":59,""r_squared"":0.42813870446028923,""residual_return"":2.7755575615628914e-17,""residual_volatility"":0.018734720625363716,""upside_beta"":0.3243630578207354}","{""btc_daily_return"":{""annualized_return"":0.21839239914054764,""annualized_volatility"":0.4953327319039737,""compounded_return"":0.03244510366231901,""maximum_drawdown"":0.16676680855190573,""mean_daily_return"":0.0008688280175755478,""observations"":59,""positive_day_ratio"":0.4576271186440678,""sharpe"":0.6402206153348915},""equal_weight_daily_return"":{""annualized_return"":4.64342232656606,""annualized_volatility"":0.6968508649417766,""compounded_return"":0.3227635552444379,""maximum_drawdown"":0.19857247564383174,""mean_daily_return"":0.005402950416282492,""observations"":59,""positive_day_ratio"":0.559322033898305,""sharpe"":2.8299841489152495},""exposure_matched_equal_weight_return"":{""annualized_return"":1.029761141484551,""annualized_volatility"":0.325454911041153,""compounded_return"":0.12123482524569207,""maximum_drawdown"":0.10096969216274576,""mean_daily_return"":0.002083655984110864,""observations"":59,""positive_day_ratio"":0.3898305084745763,""sharpe"":2.3368350219926395},""m05_daily_return"":{""annualized_return"":-0.5043290496003107,""annualized_volatility"":0.47331285678455076,""compounded_return"":-0.10724990947153912,""maximum_drawdown"":0.19744278230009327,""mean_daily_return"":-0.0016192324381826256,""observations"":59,""positive_day_ratio"":0.3220338983050847,""sharpe"":-1.2486874832679373},""volatility_matched_btc_return"":{""annualized_return"":-0.3930505778118274,""annualized_volatility"":0.26532334635071986,""compounded_return"":-0.0775391599322881,""maximum_drawdown"":0.1445244922258051,""mean_daily_return"":-0.001270730943099606,""observations"":59,""positive_day_ratio"":0.4576271186440678,""sharpe"":-1.7481190427104598},""volatility_matched_equal_weight_return"":{""annualized_return"":-0.1774714096806832,""annualized_volatility"":0.3706347906641448,""compounded_return"":-0.031087223796883,""maximum_drawdown"":0.17317557279833584,""mean_daily_return"":-0.0003462412047994321,""observations"":59,""positive_day_ratio"":0.559322033898305,""sharpe"":-0.34097727179182075}}"
WF01,BTC_DOWN_STABLE_UP,VALID,148,0.003492069466244474,0.45191436057027823,"{""alpha_intercept"":0.00039984857959845426,""beta"":0.2446594730347214,""correlation"":0.5008233744258812,""downside_beta"":0.25094645407306565,""observations"":148,""r_squared"":0.2508240523713262,""residual_return"":6.938893903907228e-17,""residual_volatility"":0.01609515444381162,""upside_beta"":0.35866866345126036}","{""alpha_intercept"":-7.718946232997495e-05,""beta"":0.21934617079151345,""correlation"":0.5582558437716063,""downside_beta"":0.23491686927947966,""observations"":148,""r_squared"":0.31164958710514845,""residual_return"":2.7755575615628914e-17,""residual_volatility"":0.015427942944306354,""upside_beta"":0.32785737023949}","{""btc_daily_return"":{""annualized_return"":-0.9513265798547427,""annualized_volatility"":0.727230729225025,""compounded_return"":-0.7064217858641879,""maximum_drawdown"":0.7374860679296463,""mean_daily_return"":-0.00750386467479539,""observations"":148,""positive_day_ratio"":0.43243243243243246,""sharpe"":-3.7662195727331866},""equal_weight_daily_return"":{""annualized_return"":-0.9321473678420615,""annualized_volatility"":0.904175819478578,""compounded_return"":-0.6640889382986142,""maximum_drawdown"":0.7220043490495595,""mean_daily_return"":-0.006195018268280826,""observations"":148,""positive_day_ratio"":0.4797297297297297,""sharpe"":-2.500820768715629},""exposure_matched_equal_weight_return"":{""annualized_return"":-0.45069206303083653,""annualized_volatility"":0.3349764004152156,""compounded_return"":-0.2156666471945804,""maximum_drawdown"":0.268330887674439,""mean_daily_return"":-0.001483156313736788,""observations"":148,""positive_day_ratio"":0.1891891891891892,""sharpe"":-1.6160901300596155},""m05_daily_return"":{""annualized_return"":-0.4446408085057638,""annualized_volatility"":0.3552627454555487,""compounded_return"":-0.21217457772833592,""maximum_drawdown"":0.33415056293029477,""mean_daily_return"":-0.001436042997460847,""observations"":148,""positive_day_ratio"":0.14864864864864866,""sharpe"":-1.4754029258009904},""volatility_matched_btc_return"":{""annualized_return"":-0.7378755132083531,""annualized_volatility"":0.43029975355173083,""compounded_return"":-0.4189456223387079,""maximum_drawdown"":0.46102767281261803,""mean_daily_return"":-0.003399766859646814,""observations"":148,""positive_day_ratio"":0.3716216216216216,""sharpe"":-2.8838382860516876},""volatility_matched_equal_weight_return"":{""annualized_return"":-0.6775392422109453,""annualized_volatility"":0.411944836519028,""compounded_return"":-0.3680285330060349,""maximum_drawdown"":0.4242109063014854,""mean_daily_return"":-0.0028575665155916863,""observations"":148,""positive_day_ratio"":0.41216216216216217,""sharpe"":-2.53192098972404}}"
WF01,BTC_UP_STABLE_DOWN,VALID,64,-0.06893979236379222,-0.28125092155973186,"{""alpha_intercept"":-0.0008124905395592026,""beta"":0.15184074221162192,""correlation"":0.4109378711827349,""downside_beta"":0.37522307191715887,""observations"":64,""r_squared"":0.16886993397219807,""residual_return"":1.0408340855860843e-17,""residual_volatility"":0.008748452330286212,""upside_beta"":0.09229471531869818}","{""alpha_intercept"":-0.0008507370734135318,""beta"":0.21582787962010613,""correlation"":0.5907263002287982,""downside_beta"":0.5110500577064316,""observations"":64,""r_squared"":0.3489575617820043,""residual_return"":-1.3877787807814457e-17,""residual_volatility"":0.0077428595697037654,""upside_beta"":0.13496986698273272}","{""btc_daily_return"":{""annualized_return"":6.233339674192674,""annualized_volatility"":0.4961705852743436,""compounded_return"":0.41474639058533946,""maximum_drawdown"":0.061602526550225245,""mean_daily_return"":0.005752742116441858,""observations"":64,""positive_day_ratio"":0.5,""sharpe"":4.2319132468126455},""equal_weight_daily_return"":{""annualized_return"":3.1281077164608595,""annualized_volatility"":0.5017899145387618,""compounded_return"":0.2822340406343813,""maximum_drawdown"":0.11123520153931066,""mean_daily_return"":0.004224417939757126,""observations"":64,""positive_day_ratio"":0.46875,""sharpe"":3.072824908066666},""exposure_matched_equal_weight_return"":{""annualized_return"":0.47028289953954294,""annualized_volatility"":0.16755795123012354,""compounded_return"":0.06992291143844165,""maximum_drawdown"":0.053090915318965815,""mean_daily_return"":0.0010943815471949655,""observations"":64,""positive_day_ratio"":0.25,""sharpe"":2.3839469377228184},""m05_daily_return"":{""annualized_return"":0.00561982900113267,""annualized_volatility"":0.18333406389339482,""compounded_return"":0.00098311907464943,""maximum_drawdown"":0.09666684261103864,""mean_daily_return"":6.101009315338587e-05,""observations"":64,""positive_day_ratio"":0.265625,""sharpe"":0.12146506507342052},""volatility_matched_btc_return"":{""annualized_return"":0.5991528234207086,""annualized_volatility"":0.19344308269317176,""compounded_return"":0.08580183165830646,""maximum_drawdown"":0.032761105908056476,""mean_daily_return"":0.0013367569065861934,""observations"":64,""positive_day_ratio"":0.5,""sharpe"":2.522273033034038},""volatility_matched_equal_weight_return"":{""annualized_return"":-0.02022932140718936,""annualized_volatility"":0.16854386676187416,""compounded_return"":-0.0035770148912218636,""maximum_drawdown"":0.06958591744371789,""mean_daily_return"":-1.771608875821885e-05,""observations"":64,""positive_day_ratio"":0.46875,""sharpe"":-0.0383661091974699}}"
WF01,BTC_UP_STABLE_UP,VALID,94,-0.041053733797778214,0.24276730687754666,"{""alpha_intercept"":-0.0023620466565335337,""beta"":0.10996253021722208,""correlation"":0.28919791134758455,""downside_beta"":0.09807730933710543,""observations"":94,""r_squared"":0.08363543192780487,""residual_return"":-4.7704895589362195e-18,""residual_volatility"":0.012057652520516644,""upside_beta"":0.036933600707229466}","{""alpha_intercept"":-0.0019776029520379036,""beta"":0.09954140897867493,""correlation"":0.3743463910944442,""downside_beta"":0.10467824661803556,""observations"":94,""r_squared"":0.14013522052543426,""residual_return"":-1.951563910473908e-18,""residual_volatility"":0.011680023056157587,""upside_beta"":0.04867204375100097}","{""btc_daily_return"":{""annualized_return"":-0.5044702920932882,""annualized_volatility"":0.632885986950671,""compounded_return"":-0.16541609705879345,""maximum_drawdown"":0.294117219445293,""mean_daily_return"":-0.001380986481552964,""observations"":94,""positive_day_ratio"":0.48936170212765956,""sharpe"":-0.7964468737812641},""equal_weight_daily_return"":{""annualized_return"":-0.9082095558148067,""annualized_volatility"":0.9049923727383347,""compounded_return"":-0.4593890621472393,""maximum_drawdown"":0.5194547687589011,""mean_daily_return"":-0.00538771228683197,""observations"":94,""positive_day_ratio"":0.48936170212765956,""sharpe"":-2.1729630480126243},""exposure_matched_equal_weight_return"":{""annualized_return"":-0.5274682601364474,""annualized_volatility"":0.2065977042088956,""compounded_return"":-0.17556802147191441,""maximum_drawdown"":0.19057567445371337,""mean_daily_return"":-0.0019927285438186898,""observations"":94,""positive_day_ratio"":0.1276595744680851,""sharpe"":-3.5205905180746146},""m05_daily_return"":{""annualized_return"":-0.6124804511590745,""annualized_volatility"":0.24064400790390034,""compounded_return"":-0.21662175526969263,""maximum_drawdown"":0.21844834377028666,""mean_daily_return"":-0.002513903424240877,""observations"":94,""positive_day_ratio"":0.0851063829787234,""sharpe"":-3.8129964582968032},""volatility_matched_btc_return"":{""annualized_return"":-0.4105236516495375,""annualized_volatility"":0.26113053117582846,""compounded_return"":-0.12725527355378385,""maximum_drawdown"":0.13401651301216744,""mean_daily_return"":-0.0013544135785030784,""observations"":94,""positive_day_ratio"":0.3723404255319149,""sharpe"":-1.8931564759110944},""volatility_matched_equal_weight_return"":{""annualized_return"":-0.5747338556270072,""annualized_volatility"":0.35786176007444725,""compounded_return"":-0.19764337776698793,""maximum_drawdown"":0.20061520319779202,""mean_daily_return"":-0.002163660484154984,""observations"":94,""positive_day_ratio"":0.3829787234042553,""sharpe"":-2.2068188468985266}}"
WF02,BTC_DOWN_STABLE_DOWN,VALID,47,-0.03232658243634068,-0.014244864650440836,"{""alpha_intercept"":-0.000584862199472446,""beta"":1.0376884734473386,""correlation"":0.7038252760969725,""downside_beta"":1.263722871820495,""observations"":47,""r_squared"":0.4953700192729801,""residual_return"":-2.42861286636753e-17,""residual_volatility"":0.02079276343772273,""upside_beta"":0.6239235749759163}","{""alpha_intercept"":-0.0002920725761906372,""beta"":0.9535738244601792,""correlation"":0.8522603193658443,""downside_beta"":0.9604221501298389,""observations"":47,""r_squared"":0.726347651965571,""residual_return"":0.0,""residual_volatility"":0.015311765791962589,""upside_beta"":0.9524971797737118}","{""btc_daily_return"":{""annualized_return"":-0.26483941011523227,""annualized_volatility"":0.3792887723943842,""compounded_return"":-0.03884280230752424,""maximum_drawdown"":0.10690285785125486,""mean_daily_return"":-0.0006499390081351195,""observations"":47,""positive_day_ratio"":0.48936170212765956,""sharpe"":-0.625454153234595},""equal_weight_daily_return"":{""annualized_return"":-0.38965412208323125,""annualized_volatility"":0.4997928830669893,""compounded_return"":-0.06159731788994982,""maximum_drawdown"":0.2005037594974789,""mean_daily_return"":-0.001014314587562181,""observations"":47,""positive_day_ratio"":0.5319148936170213,""sharpe"":-0.7407564953472402},""exposure_matched_equal_weight_return"":{""annualized_return"":-0.2921433362120852,""annualized_volatility"":0.3999847092468491,""compounded_return"":-0.04351560010404998,""maximum_drawdown"":0.1641729686013501,""mean_daily_return"":-0.0007306627704366149,""observations"":47,""positive_day_ratio"":0.5319148936170213,""sharpe"":-0.666755265998872},""m05_daily_return"":{""annualized_return"":-0.45801659008406104,""annualized_volatility"":0.5592063834425519,""compounded_return"":-0.07584218254039066,""maximum_drawdown"":0.19251158862732476,""mean_daily_return"":-0.0012592964166580555,""observations"":47,""positive_day_ratio"":0.425531914893617,""sharpe"":-0.82195626818593},""volatility_matched_btc_return"":{""annualized_return"":-0.4138626345064894,""annualized_volatility"":0.31548661832655117,""compounded_return"":-0.06647500381941662,""maximum_drawdown"":0.10619521252976905,""mean_daily_return"":-0.001328733535801813,""observations"":47,""positive_day_ratio"":0.46808510638297873,""sharpe"":-1.5372688171061024},""volatility_matched_equal_weight_return"":{""annualized_return"":-0.4198201898773505,""annualized_volatility"":0.4254737050019132,""compounded_return"":-0.06770224666302571,""maximum_drawdown"":0.16936330459564597,""mean_daily_return"":-0.001247033082287338,""observations"":47,""positive_day_ratio"":0.5106382978723404,""sharpe"":-1.0697889662366598}}"
WF02,BTC_DOWN_STABLE_UP,VALID,56,0.05217355145044833,0.1900278164200908,"{""alpha_intercept"":-0.0002862291262417235,""beta"":0.5032730268812619,""correlation"":0.5951921809261695,""downside_beta"":0.5073950789485522,""observations"":56,""r_squared"":0.3542537322356496,""residual_return"":1.3877787807814457e-17,""residual_volatility"":0.012903533953748863,""upside_beta"":0.46691727226608304}","{""alpha_intercept"":0.0005959649864619616,""beta"":0.4927512455986255,""correlation"":0.7121877377293876,""downside_beta"":0.4965690647453701,""observations"":56,""r_squared"":0.5072113737721031,""residual_return"":2.7755575615628914e-17,""residual_volatility"":0.011272183611689517,""upside_beta"":0.49919490970654024}","{""btc_daily_return"":{""annualized_return"":-0.8840922890652361,""annualized_volatility"":0.3628087154274048,""compounded_return"":-0.2815248452639828,""maximum_drawdown"":0.2925931877861625,""mean_daily_return"":-0.005707062723120826,""observations"":56,""positive_day_ratio"":0.375,""sharpe"":-5.741532122471598},""equal_weight_daily_return"":{""annualized_return"":-0.9445430233875375,""annualized_volatility"":0.4433951208888259,""compounded_return"":-0.3583592933095827,""maximum_drawdown"":0.34623086061786135,""mean_daily_return"":-0.007619270123627655,""observations"":56,""positive_day_ratio"":0.44642857142857145,""sharpe"":-6.27213395932111},""exposure_matched_equal_weight_return"":{""annualized_return"":-0.8028237230969237,""annualized_volatility"":0.25554199274948736,""compounded_return"":-0.22050502833994023,""maximum_drawdown"":0.20753329047234803,""mean_daily_return"":-0.004348361329151493,""observations"":56,""positive_day_ratio"":0.44642857142857145,""sharpe"":-6.210923958381312},""m05_daily_return"":{""annualized_return"":-0.6992211733554583,""annualized_volatility"":0.30677795549653225,""compounded_return"":-0.1683314768894919,""maximum_drawdown"":0.17825317863834855,""mean_daily_return"":-0.0031584398575079586,""observations"":56,""positive_day_ratio"":0.42857142857142855,""sharpe"":-3.757866324275168},""volatility_matched_btc_return"":{""annualized_return"":-0.7933253321364677,""annualized_volatility"":0.2574097076731127,""compounded_return"":-0.21485805305137085,""maximum_drawdown"":0.21865287692997937,""mean_daily_return"":-0.004219603030114511,""observations"":56,""positive_day_ratio"":0.375,""sharpe"":-5.983282914674125},""volatility_matched_equal_weight_return"":{""annualized_return"":-0.8467506341971146,""annualized_volatility"":0.27447298987944246,""compounded_return"":-0.25007113101293155,""maximum_drawdown"":0.23444379484536582,""mean_daily_return"":-0.005022544772186129,""observations"":56,""positive_day_ratio"":0.44642857142857145,""sharpe"":-6.67908650192921}}"
