cost_mode,transaction_cost,control_compounded_return,treatment_compounded_return,delta_compounded_return,control_mean_fold_return,treatment_mean_fold_return,delta_mean_fold_return,control_worst_fold_return,treatment_worst_fold_return,delta_worst_fold_return,control_mean_maximum_drawdown,treatment_mean_maximum_drawdown,delta_mean_maximum_drawdown,control_expectancy,treatment_expectancy,delta_expectancy,control_trade_count,treatment_trade_count,delta_trade_count,control_turnover,treatment_turnover,delta_turnover,control_fees,treatment_fees,delta_fees,control_top_1_symbol_contribution,treatment_top_1_symbol_contribution,delta_top_1_symbol_contribution,control_profit_factor,treatment_profit_factor,delta_profit_factor,control_break_even_fee,treatment_break_even_fee,delta_break_even_fee
ZERO_COST,0.0,-0.40411894482882516,-0.4669418463673515,-0.06282290153852632,-0.058993547309334295,-0.10164686259429494,-0.04265331528496064,-0.5887347479585601,-0.5832700984642101,0.0054646494943499935,0.5389537577499274,0.547784184403398,0.008830426653470669,-115.67362217516548,-194.2296737470605,-78.55605157189503,153.0,157.0,4.0,5351123.608669361,5353892.450086029,2768.841416668147,0.0,0.0,0.0,0.29324617124013264,0.2993818034969217,0.0061356322567890365,0.9170171807414186,0.8579945990785747,-0.05902258166284391,-0.0033073547701510182,-0.005695680117331928,-0.0023883253471809096
BASE_COST,0.002,-0.4810345157020558,-0.536161104407697,-0.055126588705641244,-0.10555219266528004,-0.14622877621956598,-0.04067658355428594,-0.6004860326022057,-0.5947237537668995,0.005762278835306223,0.5534433874568565,0.560379994277317,0.006936606820460489,-206.9650836574116,-279.41804373165445,-72.45296007424284,153.0,157.0,4.0,5223277.757630483,5227560.856620428,4283.098989944905,10446.555515260969,10455.121713240858,8.566197979889694,0.3034823360035585,0.30975702828819396,0.0062746922846354525,0.8533000104768909,0.7978429750880108,-0.05545703538888003,-0.004062411242313284,-0.00639179764121014,-0.0023293863988968558
STRESS_0_4_PERCENT,0.004,-0.5481740878572945,-0.5965234842287889,-0.04834939637149438,-0.14984169069945708,-0.1886072081204346,-0.03876551742097753,-0.6119255068690967,-0.6058852857008451,0.006040221168251647,0.5674969464635001,0.5741718403592486,0.0066748938957484905,-293.8072366656021,-360.39593908363304,-66.58870241803095,153.0,157.0,4.0,5099663.546565982,5105417.717464318,5754.170898335986,20398.654186263928,20421.670869857273,23.01668359334508,0.3150068567240161,0.3212867443196784,0.006279887595662281,0.7943213832026699,0.742119885712044,-0.05220149749062586,-0.00481479862335375,-0.007082768456453114,-0.0022679698330993637
