group_name,trade_count,winning_trade_count,losing_trade_count,net_pnl,gross_pnl,loss_amount,mean_return_fraction,maximum_adverse_excursion,timing_label
PRE_EVENT_EXPOSURE,0,0,0,0,0,0,,,PRE_EVENT_EXPOSURE
EVENT_WINDOW_ENTRY,7,3,4,-10657.287679340297,-10169.94302606538,15450.620217626374,-0.07931972535152379,-0.4514224369296833,EVENT_WINDOW_ENTRY
