variant_id,cost_mode,baseline_return
MD01-M01,ZERO_COST,2.296082511265581
MD01-M01,BASE_COST,1.851906978212594
MD01-M01,STRESS_0_4_PERCENT,1.467352523288386
MD01-M02,ZERO_COST,0.3600546810054577
MD01-M02,BASE_COST,0.2446144333021083
MD01-M02,STRESS_0_4_PERCENT,0.13900458850382624
MD01-M03,ZERO_COST,2.48938598950988
MD01-M03,BASE_COST,2.0246910843194907
MD01-M03,STRESS_0_4_PERCENT,1.6210670117932446
MD01-M04,ZERO_COST,-0.10956410478580669
MD01-M04,BASE_COST,-0.18510859278711767
MD01-M04,STRESS_0_4_PERCENT,-0.25444418323739404
MD01-M05,ZERO_COST,3.2184367709303876
MD01-M05,BASE_COST,2.6861470605832247
MD01-M05,STRESS_0_4_PERCENT,2.22009138426767
MD01-M06,ZERO_COST,-0.23969783763714758
MD01-M06,BASE_COST,-0.2978147919302585
MD01-M06,STRESS_0_4_PERCENT,-0.35164155580997614
