signal_id,raw_bootstrap_p_value,bh_adjusted_p_value,bootstrap_replications
XSM_RETURN_7D,0.8126187381261873,0.9998000199980002,10000
XSM_RETURN_28D,0.9716028397160283,0.9998000199980002,10000
XSM_RETURN_84D,0.9728027197280272,0.9998000199980002,10000
XSM_28D_SKIP_1D,0.9623037696230377,0.9998000199980002,10000
TSM_RETURN_28D,0.9723027697230276,0.9998000199980002,10000
TSM_RETURN_84D,0.9693030696930307,0.9998000199980002,10000
EMA_20_50_TREND_STATE,0.9128087191280871,0.9998000199980002,10000
MULTI_HORIZON_TREND_AGREEMENT,0.9611038896110389,0.9998000199980002,10000
REVERSAL_1D_VOL_NORMALIZED,0.11788821117888211,0.6439070378676418,10000
REVERSAL_3D_VOL_NORMALIZED,0.23887611238876114,0.8758790787587908,10000
DISTANCE_FROM_EMA20_ATR,0.0430956904309569,0.35553944605539445,10000
RSI14_OVEREXTENSION,0.029597040295970403,0.32556744325567444,10000
DONCHIAN_20_POSITION,0.7567243275672433,0.9998000199980002,10000
DONCHIAN_55_POSITION,0.8021197880211979,0.9998000199980002,10000
VOLATILITY_CONTRACTION_BREAKOUT,0.7649235076492351,0.9998000199980002,10000
ATR_EXPANSION_WITH_POSITIVE_RETURN,0.8422157784221578,0.9998000199980002,10000
RETURN_PATH_EFFICIENCY_28D,0.9742025797420258,0.9998000199980002,10000
OLS_TREND_TSTAT_28D,0.941005899410059,0.9998000199980002,10000
POSITIVE_BAR_BREADTH_28D,0.708029197080292,0.9998000199980002,10000
DRAWDOWN_ADJUSTED_MOMENTUM_28D,0.9988001199880012,0.9998000199980002,10000
VOLUME_ZSCORE_30D,0.857014298570143,0.9998000199980002,10000
VOLUME_ACCELERATION_7D_30D,0.09159084091590841,0.6044995500449956,10000
PRICE_VOLUME_CONFIRMATION_28D,0.9803019698030196,0.9998000199980002,10000
QUOTE_TURNOVER_CHANGE_7D_30D,0.1645835416458354,0.678907109289071,10000
BTC_RELATIVE_RETURN_28D,0.9703029697030296,0.9998000199980002,10000
MARKET_RESIDUAL_MOMENTUM_28D,0.928007199280072,0.9998000199980002,10000
BETA_ADJUSTED_MOMENTUM_28D,0.9681031896810319,0.9998000199980002,10000
IDIOSYNCRATIC_STRENGTH_28D,0.9683031696830317,0.9998000199980002,10000
REALIZED_VOLATILITY_28D,0.9998000199980002,0.9998000199980002,10000
DOWNSIDE_VOLATILITY_28D,0.9968003199680032,0.9998000199980002,10000
MAX_DRAWDOWN_28D,0.0072992700729927005,0.12043795620437955,10000
ILLIQUIDITY_PROXY_30D,0.13658634136586342,0.6439070378676418,10000
AGE_OR_TENURE,0.00039996000399960006,0.013198680131986803,10000
