signal_id,family,fold_id,grid_id,decision_time,matched_symbol_count,evaluable,exclusion_reason,rank_ic,top_count,top_excess,top_hit_rate
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-02 00:00:00+00:00,30,True,,0.142841251301072,6,0.019085782817451474,1.0
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-03 00:00:00+00:00,30,True,,-0.1781979977753059,6,-0.00276891909885657,0.6666666666666666
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-04 00:00:00+00:00,30,True,,-0.2538375973303671,6,0.013869997009909568,1.0
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-05 00:00:00+00:00,30,True,,-0.42825361512791993,6,-0.00400757658786657,0.0
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-06 00:00:00+00:00,30,True,,-0.09187986651835373,6,-0.006312192041268799,1.0
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-07 00:00:00+00:00,30,True,,-0.1657397107897664,6,-0.004657076098093578,0.5
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-08 00:00:00+00:00,30,True,,0.41490545050055616,6,-0.004188408721329931,1.0
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-09 00:00:00+00:00,30,True,,-0.10700778642936597,6,-0.011147222620200735,0.8333333333333334
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-10 00:00:00+00:00,30,True,,0.4206896551724138,6,0.011790733104774681,1.0
REVERSAL_1BAR_VOL_NORMALIZED,REVERSAL,WF01,PRIMARY_GRID,2023-01-11 00:00:00+00:00,30,True,,0.2790076777749911,6,0.001869290416822881,1.0
