symbol,exchange_symbol,status,row_count,research_row_count,pre_research_row_count,first_open_time,last_open_time,last_close_time,has_pre_2025_history,listing_age_90d_proxy,recent_at_research_start_proxy,eligible_at_research_start_proxy,covers_research_end_proxy,calendar_gap_count,quote_volume_source,test_period_accessed,holdout_period_accessed
AAVE/USDT,AAVE-USDT,PASS,1531,1460,71,2020-10-22T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,True,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
ADA/USDT,ADA-USDT,PASS,2007,1460,547,2019-07-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,0,KUCOIN_REPORTED_TURNOVER,False,False
ADI/USDT,ADI-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
AKE/USDT,AKE-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
ANSEM/USDT,ANSEM-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
ASTER/USDT,ASTER-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
AVAX/USDT,AVAX-USDT,PASS,1397,1397,0,2021-03-05T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
BANK/USDT,BANK-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
BILL/USDT,BILL-USDT,NO_DATA,0,0,0,,,,False,False,False,False,False,0,KUCOIN_REPORTED_TURNOVER,False,False
BNB/USDT,BNB-USDT,PASS,2022,1460,562,2019-06-19T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,0,KUCOIN_REPORTED_TURNOVER,False,False
BTC/USDT,BTC-USDT,PASS,2623,1460,1163,2017-10-19T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,7,KUCOIN_REPORTED_TURNOVER,False,False
DEXE/USDT,DEXE-USDT,PASS,1191,1191,0,2021-09-27T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
DOGE/USDT,DOGE-USDT,PASS,1421,1421,0,2021-02-09T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
DOT/USDT,DOT-USDT,PASS,1593,1460,133,2020-08-21T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,0,KUCOIN_REPORTED_TURNOVER,False,False
ENA/USDT,ENA-USDT,PASS,273,273,0,2024-04-02T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
ETH/USDT,ETH-USDT,PASS,2614,1460,1154,2017-10-19T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,True,True,True,True,16,KUCOIN_REPORTED_TURNOVER,False,False
GRAM/USDT,GRAM-USDT,PASS,796,796,0,2022-10-27T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
HYPE/USDT,HYPE-USDT,PASS,24,24,0,2024-12-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,True,False,False,False,True,0,KUCOIN_REPORTED_TURNOVER,False,False
