variant_id,fold_removed,remaining_compounded_return
MD01-M01,WF01,3.8554550546086865
MD01-M01,WF02,0.4433536700094387
MD01-M01,WF03,0.1605611076196083
MD01-M02,WF01,2.286630654914305
MD01-M02,WF02,-0.13603271145900986
MD01-M02,WF03,-0.4544664497496751
MD01-M03,WF01,6.255051687428124
MD01-M03,WF02,0.4222571079304318
MD01-M03,WF03,-0.11336794489826019
MD01-M04,WF01,1.166329454822478
MD01-M04,WF02,-0.50590594566977
MD01-M04,WF03,-0.37960920683802724
MD01-M05,WF01,5.683662381138226
MD01-M05,WF02,0.7642088425611799
MD01-M05,WF03,0.15234047638579473
MD01-M06,WF01,0.7758380927761961
MD01-M06,WF02,-0.4806230123514825
MD01-M06,WF03,-0.46541436769968547
