candidate_id,observed_folds,valid_folds,minimum_fold_mean_delta_net_return,maximum_fold_mean_delta_net_return,median_fold_mean_delta_net_return,minimum_fold_total_delta_net_pnl,all_fold_means_positive,all_fold_pnl_positive,rescued_winner_to_loser_count,new_loser_count,portfolio_replay_candidate,exit_rule_authorized,production_ready
PP10_BREAKEVEN,3,3,-0.040559314980961846,0.022717708432070452,-0.03371353089211596,-87466.71383611238,False,False,0,14,False,False,False
PP10_FIXED_05,3,3,-0.045428827546722415,0.033872390936997315,-0.02642982790339182,-90207.21256093383,False,False,16,2,False,False,False
PP10_RETAIN_25,3,3,-0.045364878124327816,0.03309421881844682,-0.026750758877387676,-94390.83392898408,False,False,14,2,False,False,False
PP10_RETAIN_50,3,3,-0.08510000558542084,0.04147500849781026,-0.03993763268097368,-185804.6068258979,False,False,16,0,False,False,False
