check_id,expected,observed,passed,notes
PROTOCOL_REGISTERED_BEFORE_ACQUISITION,True,True,True,
EXACTLY_15_MANUAL_EXPORTS_PRESENT,15,15,True,
EXACTLY_465_DAILY_ROWS_PRESENT,465,465,True,
ALL_MONTH_QUALITY_GATES_PASS,True,True,True,
NO_2025_OR_2026_EXPORT_ACCESSED,0,0,True,
ZERO_API_CREDITS_CONSUMED,0.0,0.0,True,Manual Query Editor export used
ZERO_PAID_SPEND,0.0,0.0,True,
ORIGINAL_RD09_SCORE_UNCHANGED,65,65,True,
NO_SIGNAL_LABEL_OR_PORTFOLIO,True,True,True,
